"Name","Code","year","co2emission"
"Aruba","ABW","1960",NA
"Afghanistan","AFG","1960",0.0460567126299034
"Angola","AGO","1960",0.100835335649402
"Albania","ALB","1960",1.25819492789657
"Andorra","AND","1960",NA
"Arab World","ARB","1960",0.645735873485164
"United Arab Emirates","ARE","1960",0.119035252872817
"Argentina","ARG","1960",2.38334297035428
"Armenia","ARM","1960",NA
"American Samoa","ASM","1960",NA
"Antigua and Barbuda","ATG","1960",0.677430677430677
"Australia","AUS","1960",8.58293664258675
"Austria","AUT","1960",4.37331882803344
"Azerbaijan","AZE","1960",NA
"Burundi","BDI","1960",NA
"Belgium","BEL","1960",9.94159407412845
"Benin","BEN","1960",0.0663540632548974
"Burkina Faso","BFA","1960",0.00911190221001522
"Bangladesh","BGD","1960",NA
"Bulgaria","BGR","1960",2.83390112126359
"Bahrain","BHR","1960",3.54447844262346
"Bahamas, The","BHS","1960",3.74955721511129
"Bosnia and Herzegovina","BIH","1960",NA
"Belarus","BLR","1960",NA
"Belize","BLZ","1960",0.477971845672576
"Bermuda","BMU","1960",3.55137387387387
"Bolivia","BOL","1960",0.274752628894805
"Brazil","BRA","1960",0.649885938095263
"Barbados","BRB","1960",0.746164170058014
"Brunei Darussalam","BRN","1960",4.08431862133118
"Bhutan","BTN","1960",NA
"Botswana","BWA","1960",NA
"Central African Republic","CAF","1960",0.058606829205923
"Canada","CAN","1960",10.7708472869716
"Central Europe and the Baltics","CEB","1960",5.1042057522311
"Switzerland","CHE","1960",3.66436597885029
"Channel Islands","CHI","1960",NA
"Chile","CHL","1960",1.65878637499862
"China","CHN","1960",1.17038137226978
"Cote d'Ivoire","CIV","1960",0.131878124863531
"Cameroon","CMR","1960",0.0524169013300964
"Congo, Dem. Rep.","COD","1960",0.152228016183627
"Congo, Rep.","COG","1960",0.219677231493548
"Colombia","COL","1960",1.02192720462751
"Comoros","COM","1960",0.0575603936773039
"Cabo Verde","CPV","1960",0.109047654449483
"Costa Rica","CRI","1960",0.369240040818105
"Caribbean small states","CSS","1960",1.4013366835848
"Cuba","CUB","1960",1.91841932434798
"Curacao","CUW","1960",NA
"Cayman Islands","CYM","1960",1.39872854418309
"Cyprus","CYP","1960",1.54890475276212
"Czech Republic","CZE","1960",NA
"Germany","DEU","1960",NA
"Djibouti","DJI","1960",0.48229231431441
"Dominica","DMA","1960",0.183316391994801
"Denmark","DNK","1960",6.50268309283578
"Dominican Republic","DOM","1960",0.316137578986736
"Algeria","DZA","1960",0.557120304348137
"East Asia & Pacific (excluding high income)","EAP","1960",0.952973838379155
"Early-demographic dividend","EAR","1960",0.594012981950408
"East Asia & Pacific","EAS","1960",1.16245968172587
"Europe & Central Asia (excluding high income)","ECA","1960",NA
"Europe & Central Asia","ECS","1960",NA
"Ecuador","ECU","1960",0.38819468684538
"Egypt, Arab Rep.","EGY","1960",0.602793147451419
"Euro area","EMU","1960",NA
"Eritrea","ERI","1960",NA
"Spain","ESP","1960",1.60659271055656
"Estonia","EST","1960",NA
"Ethiopia","ETH","1960",0.0158921756117187
"European Union","EUU","1960",6.61124885462181
"Fragile and conflict affected situations","FCS","1960",0.194584729947387
"Finland","FIN","1960",3.4098467277432
"Fiji","FJI","1960",0.493927279843245
"France","FRA","1960",5.81743768117782
"Faroe Islands","FRO","1960",1.6949877220858
"Micronesia, Fed. Sts.","FSM","1960",NA
"Gabon","GAB","1960",0.263534879264086
"United Kingdom","GBR","1960",11.1507591603053
"Georgia","GEO","1960",NA
"Ghana","GHA","1960",0.220509763791157
"Gibraltar","GIB","1960",2.03548249359522
"Guinea","GIN","1960",0.117540056814767
"Gambia, The","GMB","1960",0.0502264092021028
"Guinea-Bissau","GNB","1960",0.0297580404326318
"Equatorial Guinea","GNQ","1960",0.0861698252869782
"Greece","GRC","1960",1.12892048165296
"Grenada","GRD","1960",0.244651514477605
"Greenland","GRL","1960",6.88267692307692
"Guatemala","GTM","1960",0.31960813603857
"Guam","GUM","1960",NA
"Guyana","GUY","1960",1.15431631337888
"High income","HIC","1960",7.51566938504867
"Hong Kong SAR, China","HKG","1960",0.960982310797388
"Honduras","HND","1960",0.302190880943692
"Heavily indebted poor countries (HIPC)","HPC","1960",0.122136482557034
"Croatia","HRV","1960",NA
"Haiti","HTI","1960",0.073981954699742
"Hungary","HUN","1960",4.54446524112109
"IBRD only","IBD","1960",1.33311819291412
"IDA & IBRD total","IBT","1960",1.15110373013398
"IDA total","IDA","1960",0.222904521258277
"IDA blend","IDB","1960",0.373644386970312
"Indonesia","IDN","1960",0.243920438666342
"IDA only","IDX","1960",0.137711354005163
"Isle of Man","IMN","1960",NA
"India","IND","1960",0.267634185282308
"Not classified","INX","1960",NA
"Ireland","IRL","1960",3.95272679063848
"Iran, Islamic Rep.","IRN","1960",1.70687660525805
"Iraq","IRQ","1960",1.13383952283751
"Iceland","ISL","1960",6.91319329741306
"Israel","ISR","1960",3.05985184624554
"Italy","ITA","1960",2.1784447715823
"Jamaica","JAM","1960",0.902946847444305
"Jordan","JOR","1960",0.79777023305062
"Japan","JPN","1960",2.51653751935718
"Kazakhstan","KAZ","1960",NA
"Kenya","KEN","1960",0.298956906828504
"Kyrgyz Republic","KGZ","1960",NA
"Cambodia","KHM","1960",0.0410123777385943
"Kiribati","KIR","1960",NA
"St. Kitts and Nevis","KNA","1960",0.214884266041606
"Korea, Rep.","KOR","1960",0.501837250634426
"Kuwait","KWT","1960",29.0057057045895
"Latin America & Caribbean (excluding high income)","LAC","1960",1.29698993730528
"Lao PDR","LAO","1960",0.0380376614056876
"Lebanon","LBN","1960",1.43027833042742
"Liberia","LBR","1960",0.147511703766213
"Libya","LBY","1960",0.478496869340804
"St. Lucia","LCA","1960",0.163528323132323
"Latin America & Caribbean","LCN","1960",1.32443029802092
"Least developed countries: UN classification","LDC","1960",0.102717783851904
"Low income","LIC","1960",0.192492812143948
"Liechtenstein","LIE","1960",NA
"Sri Lanka","LKA","1960",0.228758670333494
"Lower middle income","LMC","1960",0.375758704063339
"Low & middle income","LMY","1960",1.05319143176688
"Lesotho","LSO","1960",NA
"Late-demographic dividend","LTE","1960",1.79924974473696
"Lithuania","LTU","1960",NA
"Luxembourg","LUX","1960",36.6851832977673
"Latvia","LVA","1960",NA
"Macao SAR, China","MAC","1960",0.305963967078091
"St. Martin (French part)","MAF","1960",NA
"Morocco","MAR","1960",0.295358036139258
"Monaco","MCO","1960",NA
"Moldova","MDA","1960",NA
"Madagascar","MDG","1960",0.0783827737253188
"Maldives","MDV","1960",NA
"Middle East & North Africa","MEA","1960",0.971951786738928
"Mexico","MEX","1960",1.67099014109949
"Marshall Islands","MHL","1960",NA
"Middle income","MIC","1960",1.11709432748114
"North Macedonia","MKD","1960",NA
"Mali","MLI","1960",0.0229895779288197
"Malta","MLT","1960",1.04434542949012
"Myanmar","MMR","1960",0.125005946098582
