Temperature - (Celsius), Year, Statistics, Country, ISO3
-8.4776, 1901, Jan Average, China, CHN
-6.9409, 1901, Feb Average, China, CHN
0.74114, 1901, Mar Average, China, CHN
7.5113, 1901, Apr Average, China, CHN
12.5595, 1901, May Average, China, CHN
16.6915, 1901, Jun Average, China, CHN
19.105, 1901, Jul Average, China, CHN
18.3123, 1901, Aug Average, China, CHN
13.9078, 1901, Sep Average, China, CHN
6.69937, 1901, Oct Average, China, CHN
-0.162, 1901, Nov Average, China, CHN
-7.5248, 1901, Dec Average, China, CHN
-7.6428, 1902, Jan Average, China, CHN
-5.5134, 1902, Feb Average, China, CHN
1.03915, 1902, Mar Average, China, CHN
6.59469, 1902, Apr Average, China, CHN
12.4582, 1902, May Average, China, CHN
16.4749, 1902, Jun Average, China, CHN
18.5502, 1902, Jul Average, China, CHN
17.6549, 1902, Aug Average, China, CHN
13.855, 1902, Sep Average, China, CHN
7.36125, 1902, Oct Average, China, CHN
-0.2695, 1902, Nov Average, China, CHN
-6.5077, 1902, Dec Average, China, CHN
-8.5981, 1903, Jan Average, China, CHN
-5.4011, 1903, Feb Average, China, CHN
-0.2636, 1903, Mar Average, China, CHN
7.07574, 1903, Apr Average, China, CHN
12.1957, 1903, May Average, China, CHN
16.425, 1903, Jun Average, China, CHN
18.9447, 1903, Jul Average, China, CHN
17.9023, 1903, Aug Average, China, CHN
13.9546, 1903, Sep Average, China, CHN
6.88413, 1903, Oct Average, China, CHN
-1.3292, 1903, Nov Average, China, CHN
-7.5356, 1903, Dec Average, China, CHN
-9.474, 1904, Jan Average, China, CHN
-5.421, 1904, Feb Average, China, CHN
-0.6014, 1904, Mar Average, China, CHN
6.74305, 1904, Apr Average, China, CHN
12.4919, 1904, May Average, China, CHN
17.0918, 1904, Jun Average, China, CHN
18.7024, 1904, Jul Average, China, CHN
18.2163, 1904, Aug Average, China, CHN
13.7421, 1904, Sep Average, China, CHN
6.54352, 1904, Oct Average, China, CHN
-0.4848, 1904, Nov Average, China, CHN
-6.5707, 1904, Dec Average, China, CHN
-7.288, 1905, Jan Average, China, CHN
-7.9821, 1905, Feb Average, China, CHN
-2.056, 1905, Mar Average, China, CHN
5.23351, 1905, Apr Average, China, CHN
12.2351, 1905, May Average, China, CHN
17.0907, 1905, Jun Average, China, CHN
19.1794, 1905, Jul Average, China, CHN
17.8238, 1905, Aug Average, China, CHN
13.7463, 1905, Sep Average, China, CHN
7.32467, 1905, Oct Average, China, CHN
-0.6221, 1905, Nov Average, China, CHN
-6.5827, 1905, Dec Average, China, CHN
-9.4931, 1906, Jan Average, China, CHN
-8.0132, 1906, Feb Average, China, CHN
-0.2274, 1906, Mar Average, China, CHN
7.38155, 1906, Apr Average, China, CHN
12.6027, 1906, May Average, China, CHN
16.942, 1906, Jun Average, China, CHN
19.1162, 1906, Jul Average, China, CHN
18.1094, 1906, Aug Average, China, CHN
13.9041, 1906, Sep Average, China, CHN
7.31679, 1906, Oct Average, China, CHN
-2.0354, 1906, Nov Average, China, CHN
-5.7087, 1906, Dec Average, China, CHN
-7.3852, 1907, Jan Average, China, CHN
-7.3171, 1907, Feb Average, China, CHN
-0.8628, 1907, Mar Average, China, CHN
6.98806, 1907, Apr Average, China, CHN
12.5448, 1907, May Average, China, CHN
16.2262, 1907, Jun Average, China, CHN
18.421, 1907, Jul Average, China, CHN
18.621, 1907, Aug Average, China, CHN
13.669, 1907, Sep Average, China, CHN
7.49806, 1907, Oct Average, China, CHN
-1.3371, 1907, Nov Average, China, CHN
-7.1397, 1907, Dec Average, China, CHN
-8.8922, 1908, Jan Average, China, CHN
-6.8215, 1908, Feb Average, China, CHN
-0.8987, 1908, Mar Average, China, CHN
6.99386, 1908, Apr Average, China, CHN
12.6853, 1908, May Average, China, CHN
17.077, 1908, Jun Average, China, CHN
19.1395, 1908, Jul Average, China, CHN
18.549, 1908, Aug Average, China, CHN
13.7696, 1908, Sep Average, China, CHN
7.12731, 1908, Oct Average, China, CHN
-1.1746, 1908, Nov Average, China, CHN
-6.0347, 1908, Dec Average, China, CHN
-9.3601, 1909, Jan Average, China, CHN
-5.9505, 1909, Feb Average, China, CHN
-1.0853, 1909, Mar Average, China, CHN
7.1054, 1909, Apr Average, China, CHN
12.5951, 1909, May Average, China, CHN
16.1539, 1909, Jun Average, China, CHN
19.2, 1909, Jul Average, China, CHN
18.7001, 1909, Aug Average, China, CHN
13.9807, 1909, Sep Average, China, CHN
6.99626, 1909, Oct Average, China, CHN
0.57629, 1909, Nov Average, China, CHN
-7.1171, 1909, Dec Average, China, CHN
-9.0037, 1910, Jan Average, China, CHN
-6.5631, 1910, Feb Average, China, CHN
-1.1611, 1910, Mar Average, China, CHN
6.42657, 1910, Apr Average, China, CHN
12.8033, 1910, May Average, China, CHN
16.3105, 1910, Jun Average, China, CHN
19.1567, 1910, Jul Average, China, CHN
18.38, 1910, Aug Average, China, CHN
13.2981, 1910, Sep Average, China, CHN
7.21336, 1910, Oct Average, China, CHN
-1.6258, 1910, Nov Average, China, CHN
-8.4542, 1910, Dec Average, China, CHN
-8.9653, 1911, Jan Average, China, CHN
-6.3444, 1911, Feb Average, China, CHN
-1.0161, 1911, Mar Average, China, CHN
7.22421, 1911, Apr Average, China, CHN
12.4861, 1911, May Average, China, CHN
16.6105, 1911, Jun Average, China, CHN
18.7147, 1911, Jul Average, China, CHN
17.9431, 1911, Aug Average, China, CHN
13.9544, 1911, Sep Average, China, CHN
6.59032, 1911, Oct Average, China, CHN
-0.7923, 1911, Nov Average, China, CHN
-7.9137, 1911, Dec Average, China, CHN
-8.4944, 1912, Jan Average, China, CHN
-4.3925, 1912, Feb Average, China, CHN
-0.8788, 1912, Mar Average, China, CHN
7.44611, 1912, Apr Average, China, CHN
12.8178, 1912, May Average, China, CHN
