Temperature - (Celsius), Year, Statistics, Country, ISO3
-3.5364, 1901, Jan Average, Germany, DEU
-3.7733, 1901, Feb Average, Germany, DEU
2.49967, 1901, Mar Average, Germany, DEU
8.24991, 1901, Apr Average, Germany, DEU
12.723, 1901, May Average, Germany, DEU
15.679, 1901, Jun Average, Germany, DEU
18.4899, 1901, Jul Average, Germany, DEU
16.7474, 1901, Aug Average, Germany, DEU
13.7535, 1901, Sep Average, Germany, DEU
9.41819, 1901, Oct Average, Germany, DEU
2.70382, 1901, Nov Average, Germany, DEU
0.82253, 1901, Dec Average, Germany, DEU
2.35, 1902, Jan Average, Germany, DEU
-1.079, 1902, Feb Average, Germany, DEU
3.75277, 1902, Mar Average, Germany, DEU
8.06287, 1902, Apr Average, Germany, DEU
8.71941, 1902, May Average, Germany, DEU
15.2468, 1902, Jun Average, Germany, DEU
15.9843, 1902, Jul Average, Germany, DEU
15.1044, 1902, Aug Average, Germany, DEU
12.5414, 1902, Sep Average, Germany, DEU
7.30314, 1902, Oct Average, Germany, DEU
1.83536, 1902, Nov Average, Germany, DEU
-1.8596, 1902, Dec Average, Germany, DEU
0.07851, 1903, Jan Average, Germany, DEU
3.57592, 1903, Feb Average, Germany, DEU
6.1114, 1903, Mar Average, Germany, DEU
4.94527, 1903, Apr Average, Germany, DEU
12.7329, 1903, May Average, Germany, DEU
14.7904, 1903, Jun Average, Germany, DEU
16.3775, 1903, Jul Average, Germany, DEU
15.8184, 1903, Aug Average, Germany, DEU
13.754, 1903, Sep Average, Germany, DEU
9.66768, 1903, Oct Average, Germany, DEU
4.24075, 1903, Nov Average, Germany, DEU
-0.9348, 1903, Dec Average, Germany, DEU
-1.2425, 1904, Jan Average, Germany, DEU
1.02483, 1904, Feb Average, Germany, DEU
3.38866, 1904, Mar Average, Germany, DEU
9.09452, 1904, Apr Average, Germany, DEU
12.366, 1904, May Average, Germany, DEU
15.3686, 1904, Jun Average, Germany, DEU
18.8248, 1904, Jul Average, Germany, DEU
17.0364, 1904, Aug Average, Germany, DEU
12.1862, 1904, Sep Average, Germany, DEU
8.48939, 1904, Oct Average, Germany, DEU
3.37902, 1904, Nov Average, Germany, DEU
2.08584, 1904, Dec Average, Germany, DEU
-2.0094, 1905, Jan Average, Germany, DEU
1.23218, 1905, Feb Average, Germany, DEU
4.81584, 1905, Mar Average, Germany, DEU
6.11805, 1905, Apr Average, Germany, DEU
12.0567, 1905, May Average, Germany, DEU
17.0306, 1905, Jun Average, Germany, DEU
18.6306, 1905, Jul Average, Germany, DEU
16.7318, 1905, Aug Average, Germany, DEU
13.1885, 1905, Sep Average, Germany, DEU
5.16223, 1905, Oct Average, Germany, DEU
3.12251, 1905, Nov Average, Germany, DEU
0.83296, 1905, Dec Average, Germany, DEU
