Temperature - (Celsius), Year, Statistics, Country, ISO3
1.97471, 1901, Jan Average, France, FRA
-0.3691, 1901, Feb Average, France, FRA
4.4733, 1901, Mar Average, France, FRA
9.78651, 1901, Apr Average, France, FRA
12.958, 1901, May Average, France, FRA
16.9689, 1901, Jun Average, France, FRA
19.108, 1901, Jul Average, France, FRA
18.0125, 1901, Aug Average, France, FRA
15.5242, 1901, Sep Average, France, FRA
10.4494, 1901, Oct Average, France, FRA
4.36819, 1901, Nov Average, France, FRA
3.12069, 1901, Dec Average, France, FRA
3.63617, 1902, Jan Average, France, FRA
2.81331, 1902, Feb Average, France, FRA
7.06779, 1902, Mar Average, France, FRA
10.4252, 1902, Apr Average, France, FRA
9.72844, 1902, May Average, France, FRA
15.1308, 1902, Jun Average, France, FRA
18.3357, 1902, Jul Average, France, FRA
17.3228, 1902, Aug Average, France, FRA
14.7911, 1902, Sep Average, France, FRA
9.97346, 1902, Oct Average, France, FRA
5.66103, 1902, Nov Average, France, FRA
2.78467, 1902, Dec Average, France, FRA
3.16155, 1903, Jan Average, France, FRA
5.40226, 1903, Feb Average, France, FRA
7.40526, 1903, Mar Average, France, FRA
6.77019, 1903, Apr Average, France, FRA
12.7177, 1903, May Average, France, FRA
14.7647, 1903, Jun Average, France, FRA
17.3849, 1903, Jul Average, France, FRA
17.3325, 1903, Aug Average, France, FRA
15.3961, 1903, Sep Average, France, FRA
11.9894, 1903, Oct Average, France, FRA
6.53614, 1903, Nov Average, France, FRA
2.22301, 1903, Dec Average, France, FRA
2.31453, 1904, Jan Average, France, FRA
4.31378, 1904, Feb Average, France, FRA
5.31368, 1904, Mar Average, France, FRA
10.2777, 1904, Apr Average, France, FRA
13.6244, 1904, May Average, France, FRA
16.4062, 1904, Jun Average, France, FRA
20.3551, 1904, Jul Average, France, FRA
18.6201, 1904, Aug Average, France, FRA
13.7611, 1904, Sep Average, France, FRA
10.9288, 1904, Oct Average, France, FRA
5.00218, 1904, Nov Average, France, FRA
4.27568, 1904, Dec Average, France, FRA
1.07739, 1905, Jan Average, France, FRA
3.5489, 1905, Feb Average, France, FRA
7.22248, 1905, Mar Average, France, FRA
9.16099, 1905, Apr Average, France, FRA
11.6565, 1905, May Average, France, FRA
16.5961, 1905, Jun Average, France, FRA
20.1117, 1905, Jul Average, France, FRA
17.6363, 1905, Aug Average, France, FRA
14.7487, 1905, Sep Average, France, FRA
7.67433, 1905, Oct Average, France, FRA
5.2665, 1905, Nov Average, France, FRA
3.18299, 1905, Dec Average, France, FRA
3.80028, 1906, Jan Average, France, FRA
2.74098, 1906, Feb Average, France, FRA
5.32744, 1906, Mar Average, France, FRA
8.46809, 1906, Apr Average, France, FRA
12.6366, 1906, May Average, France, FRA
15.986, 1906, Jun Average, France, FRA
18.2763, 1906, Jul Average, France, FRA
18.9385, 1906, Aug Average, France, FRA
15.3264, 1906, Sep Average, France, FRA
12.6055, 1906, Oct Average, France, FRA
7.20755, 1906, Nov Average, France, FRA
1.66468, 1906, Dec Average, France, FRA
1.99812, 1907, Jan Average, France, FRA
1.52917, 1907, Feb Average, France, FRA
5.85167, 1907, Mar Average, France, FRA
8.19405, 1907, Apr Average, France, FRA
12.709, 1907, May Average, France, FRA
15.2291, 1907, Jun Average, France, FRA
16.469, 1907, Jul Average, France, FRA
17.9762, 1907, Aug Average, France, FRA
16.0064, 1907, Sep Average, France, FRA
11.635, 1907, Oct Average, France, FRA
7.2525, 1907, Nov Average, France, FRA
5.15762, 1907, Dec Average, France, FRA
1.01646, 1908, Jan Average, France, FRA
4.25271, 1908, Feb Average, France, FRA
4.79184, 1908, Mar Average, France, FRA
7.43306, 1908, Apr Average, France, FRA
14.2273, 1908, May Average, France, FRA
17.0634, 1908, Jun Average, France, FRA
17.9516, 1908, Jul Average, France, FRA
16.883, 1908, Aug Average, France, FRA
14.656, 1908, Sep Average, France, FRA
11.6036, 1908, Oct Average, France, FRA
5.72818, 1908, Nov Average, France, FRA
3.07428, 1908, Dec Average, France, FRA
1.46593, 1909, Jan Average, France, FRA
1.44492, 1909, Feb Average, France, FRA
4.40007, 1909, Mar Average, France, FRA
10.3407, 1909, Apr Average, France, FRA
12.623, 1909, May Average, France, FRA
14.2196, 1909, Jun Average, France, FRA
16.1758, 1909, Jul Average, France, FRA
17.8868, 1909, Aug Average, France, FRA
14.112, 1909, Sep Average, France, FRA
12.1412, 1909, Oct Average, France, FRA
4.60509, 1909, Nov Average, France, FRA
4.59258, 1909, Dec Average, France, FRA
3.70393, 1910, Jan Average, France, FRA
5.03076, 1910, Feb Average, France, FRA
6.27916, 1910, Mar Average, France, FRA
8.3426, 1910, Apr Average, France, FRA
11.73, 1910, May Average, France, FRA
16.2286, 1910, Jun Average, France, FRA
16.442, 1910, Jul Average, France, FRA
17.2535, 1910, Aug Average, France, FRA
13.9933, 1910, Sep Average, France, FRA
11.7101, 1910, Oct Average, France, FRA
5.55451, 1910, Nov Average, France, FRA
