Temperature - (Celsius), Year, Statistics, Country, ISO3
3.00745, 1901, Jan Average, United Kingdom, GBR
1.4627, 1901, Feb Average, United Kingdom, GBR
3.21093, 1901, Mar Average, United Kingdom, GBR
7.09611, 1901, Apr Average, United Kingdom, GBR
10.4586, 1901, May Average, United Kingdom, GBR
12.3283, 1901, Jun Average, United Kingdom, GBR
16.1101, 1901, Jul Average, United Kingdom, GBR
14.4008, 1901, Aug Average, United Kingdom, GBR
12.7425, 1901, Sep Average, United Kingdom, GBR
8.37045, 1901, Oct Average, United Kingdom, GBR
4.99304, 1901, Nov Average, United Kingdom, GBR
2.60783, 1901, Dec Average, United Kingdom, GBR
3.52003, 1902, Jan Average, United Kingdom, GBR
1.07641, 1902, Feb Average, United Kingdom, GBR
5.52677, 1902, Mar Average, United Kingdom, GBR
6.62377, 1902, Apr Average, United Kingdom, GBR
7.8013, 1902, May Average, United Kingdom, GBR
11.8605, 1902, Jun Average, United Kingdom, GBR
13.1153, 1902, Jul Average, United Kingdom, GBR
12.9387, 1902, Aug Average, United Kingdom, GBR
11.9741, 1902, Sep Average, United Kingdom, GBR
8.55881, 1902, Oct Average, United Kingdom, GBR
6.40798, 1902, Nov Average, United Kingdom, GBR
3.73297, 1902, Dec Average, United Kingdom, GBR
2.98441, 1903, Jan Average, United Kingdom, GBR
5.45105, 1903, Feb Average, United Kingdom, GBR
5.21461, 1903, Mar Average, United Kingdom, GBR
5.27442, 1903, Apr Average, United Kingdom, GBR
9.6691, 1903, May Average, United Kingdom, GBR
11.8093, 1903, Jun Average, United Kingdom, GBR
13.6408, 1903, Jul Average, United Kingdom, GBR
12.874, 1903, Aug Average, United Kingdom, GBR
11.8227, 1903, Sep Average, United Kingdom, GBR
8.97644, 1903, Oct Average, United Kingdom, GBR
5.46021, 1903, Nov Average, United Kingdom, GBR
2.38365, 1903, Dec Average, United Kingdom, GBR
3.37858, 1904, Jan Average, United Kingdom, GBR
2.28716, 1904, Feb Average, United Kingdom, GBR
3.43163, 1904, Mar Average, United Kingdom, GBR
7.32651, 1904, Apr Average, United Kingdom, GBR
9.45755, 1904, May Average, United Kingdom, GBR
12.3497, 1904, Jun Average, United Kingdom, GBR
14.6659, 1904, Jul Average, United Kingdom, GBR
13.8177, 1904, Aug Average, United Kingdom, GBR
11.6277, 1904, Sep Average, United Kingdom, GBR
8.83542, 1904, Oct Average, United Kingdom, GBR
5.06208, 1904, Nov Average, United Kingdom, GBR
3.87294, 1904, Dec Average, United Kingdom, GBR
3.67008, 1905, Jan Average, United Kingdom, GBR
3.75763, 1905, Feb Average, United Kingdom, GBR
5.31383, 1905, Mar Average, United Kingdom, GBR
5.90464, 1905, Apr Average, United Kingdom, GBR
9.83854, 1905, May Average, United Kingdom, GBR
13.3267, 1905, Jun Average, United Kingdom, GBR
15.4388, 1905, Jul Average, United Kingdom, GBR
13.4198, 1905, Aug Average, United Kingdom, GBR
11.3732, 1905, Sep Average, United Kingdom, GBR
6.50567, 1905, Oct Average, United Kingdom, GBR
4.20801, 1905, Nov Average, United Kingdom, GBR
4.99078, 1905, Dec Average, United Kingdom, GBR
4.17193, 1906, Jan Average, United Kingdom, GBR
2.03353, 1906, Feb Average, United Kingdom, GBR
