Temperature - (Celsius), Year, Statistics, Country, ISO3
25.6515, 1901, Jan Average, Indonesia, IDN
25.1426, 1901, Feb Average, Indonesia, IDN
25.8091, 1901, Mar Average, Indonesia, IDN
25.7992, 1901, Apr Average, Indonesia, IDN
26.2116, 1901, May Average, Indonesia, IDN
25.397, 1901, Jun Average, Indonesia, IDN
25.3541, 1901, Jul Average, Indonesia, IDN
24.8615, 1901, Aug Average, Indonesia, IDN
25.1059, 1901, Sep Average, Indonesia, IDN
25.7462, 1901, Oct Average, Indonesia, IDN
26.1062, 1901, Nov Average, Indonesia, IDN
25.383, 1901, Dec Average, Indonesia, IDN
25.1595, 1902, Jan Average, Indonesia, IDN
25.0648, 1902, Feb Average, Indonesia, IDN
25.4933, 1902, Mar Average, Indonesia, IDN
25.737, 1902, Apr Average, Indonesia, IDN
26.2487, 1902, May Average, Indonesia, IDN
25.3682, 1902, Jun Average, Indonesia, IDN
24.9485, 1902, Jul Average, Indonesia, IDN
25.0919, 1902, Aug Average, Indonesia, IDN
25.1411, 1902, Sep Average, Indonesia, IDN
25.7553, 1902, Oct Average, Indonesia, IDN
26.0977, 1902, Nov Average, Indonesia, IDN
25.6632, 1902, Dec Average, Indonesia, IDN
26, 1903, Jan Average, Indonesia, IDN
25.354, 1903, Feb Average, Indonesia, IDN
25.7773, 1903, Mar Average, Indonesia, IDN
25.636, 1903, Apr Average, Indonesia, IDN
26.2122, 1903, May Average, Indonesia, IDN
25.2157, 1903, Jun Average, Indonesia, IDN
24.9817, 1903, Jul Average, Indonesia, IDN
25.0985, 1903, Aug Average, Indonesia, IDN
25.2067, 1903, Sep Average, Indonesia, IDN
25.2048, 1903, Oct Average, Indonesia, IDN
25.9668, 1903, Nov Average, Indonesia, IDN
25.0135, 1903, Dec Average, Indonesia, IDN
24.924, 1904, Jan Average, Indonesia, IDN
24.7365, 1904, Feb Average, Indonesia, IDN
25.7996, 1904, Mar Average, Indonesia, IDN
25.0839, 1904, Apr Average, Indonesia, IDN
26.0456, 1904, May Average, Indonesia, IDN
25.4791, 1904, Jun Average, Indonesia, IDN
25.2926, 1904, Jul Average, Indonesia, IDN
24.5871, 1904, Aug Average, Indonesia, IDN
25.5941, 1904, Sep Average, Indonesia, IDN
25.0578, 1904, Oct Average, Indonesia, IDN
25.7973, 1904, Nov Average, Indonesia, IDN
25.1697, 1904, Dec Average, Indonesia, IDN
25.3743, 1905, Jan Average, Indonesia, IDN
25.0592, 1905, Feb Average, Indonesia, IDN
25.7914, 1905, Mar Average, Indonesia, IDN
25.55, 1905, Apr Average, Indonesia, IDN
26.2233, 1905, May Average, Indonesia, IDN
25.6557, 1905, Jun Average, Indonesia, IDN
25.0392, 1905, Jul Average, Indonesia, IDN
24.8467, 1905, Aug Average, Indonesia, IDN
25.1518, 1905, Sep Average, Indonesia, IDN
25.8007, 1905, Oct Average, Indonesia, IDN
25.9525, 1905, Nov Average, Indonesia, IDN
25.956, 1905, Dec Average, Indonesia, IDN
25.8904, 1906, Jan Average, Indonesia, IDN
26.0507, 1906, Feb Average, Indonesia, IDN
25.7954, 1906, Mar Average, Indonesia, IDN
25.8951, 1906, Apr Average, Indonesia, IDN
26.3944, 1906, May Average, Indonesia, IDN
25.542, 1906, Jun Average, Indonesia, IDN
25.1419, 1906, Jul Average, Indonesia, IDN
24.9949, 1906, Aug Average, Indonesia, IDN
25.1415, 1906, Sep Average, Indonesia, IDN
25.1746, 1906, Oct Average, Indonesia, IDN
25.8607, 1906, Nov Average, Indonesia, IDN
25.3068, 1906, Dec Average, Indonesia, IDN
25.1599, 1907, Jan Average, Indonesia, IDN
25.0644, 1907, Feb Average, Indonesia, IDN
25.2028, 1907, Mar Average, Indonesia, IDN
25.4482, 1907, Apr Average, Indonesia, IDN
26.0617, 1907, May Average, Indonesia, IDN
25.1672, 1907, Jun Average, Indonesia, IDN
24.79, 1907, Jul Average, Indonesia, IDN
24.7528, 1907, Aug Average, Indonesia, IDN
25.5133, 1907, Sep Average, Indonesia, IDN
25.3757, 1907, Oct Average, Indonesia, IDN
25.9727, 1907, Nov Average, Indonesia, IDN
25.2391, 1907, Dec Average, Indonesia, IDN
25.4415, 1908, Jan Average, Indonesia, IDN
25.3532, 1908, Feb Average, Indonesia, IDN
25.6086, 1908, Mar Average, Indonesia, IDN
25.7145, 1908, Apr Average, Indonesia, IDN
26.0953, 1908, May Average, Indonesia, IDN
24.9695, 1908, Jun Average, Indonesia, IDN
25.3165, 1908, Jul Average, Indonesia, IDN
25.0336, 1908, Aug Average, Indonesia, IDN
25.6438, 1908, Sep Average, Indonesia, IDN
25.2196, 1908, Oct Average, Indonesia, IDN
25.9364, 1908, Nov Average, Indonesia, IDN
25.3392, 1908, Dec Average, Indonesia, IDN
25.6004, 1909, Jan Average, Indonesia, IDN
25.4715, 1909, Feb Average, Indonesia, IDN
25.4826, 1909, Mar Average, Indonesia, IDN
25.6339, 1909, Apr Average, Indonesia, IDN
26.1935, 1909, May Average, Indonesia, IDN
25.8992, 1909, Jun Average, Indonesia, IDN
25.0045, 1909, Jul Average, Indonesia, IDN
25.2967, 1909, Aug Average, Indonesia, IDN
25.121, 1909, Sep Average, Indonesia, IDN
25.4457, 1909, Oct Average, Indonesia, IDN
25.9237, 1909, Nov Average, Indonesia, IDN
25.2413, 1909, Dec Average, Indonesia, IDN
25.5279, 1910, Jan Average, Indonesia, IDN
25.3926, 1910, Feb Average, Indonesia, IDN
25.3385, 1910, Mar Average, Indonesia, IDN
25.3172, 1910, Apr Average, Indonesia, IDN
26.1433, 1910, May Average, Indonesia, IDN
25.2669, 1910, Jun Average, Indonesia, IDN
25.1798, 1910, Jul Average, Indonesia, IDN
25.131, 1910, Aug Average, Indonesia, IDN
25.7592, 1910, Sep Average, Indonesia, IDN
25.2405, 1910, Oct Average, Indonesia, IDN
25.9586, 1910, Nov Average, Indonesia, IDN
25.3601, 1910, Dec Average, Indonesia, IDN
25.5684, 1911, Jan Average, Indonesia, IDN
25.5904, 1911, Feb Average, Indonesia, IDN
25.8676, 1911, Mar Average, Indonesia, IDN
25.9051, 1911, Apr Average, Indonesia, IDN
26.112, 1911, May Average, Indonesia, IDN
25.4163, 1911, Jun Average, Indonesia, IDN
