Temperature - (Celsius), Year, Statistics, Country, ISO3
16.2337, 1901, Jan Average, India, IND
18.1292, 1901, Feb Average, India, IND
23.3869, 1901, Mar Average, India, IND
27.4298, 1901, Apr Average, India, IND
29.7121, 1901, May Average, India, IND
30.1526, 1901, Jun Average, India, IND
27.5394, 1901, Jul Average, India, IND
26.1974, 1901, Aug Average, India, IND
26.2971, 1901, Sep Average, India, IND
25.2159, 1901, Oct Average, India, IND
20.6131, 1901, Nov Average, India, IND
17.4976, 1901, Dec Average, India, IND
17.8293, 1902, Jan Average, India, IND
19.4771, 1902, Feb Average, India, IND
24.7868, 1902, Mar Average, India, IND
27.8089, 1902, Apr Average, India, IND
30.1774, 1902, May Average, India, IND
29.7199, 1902, Jun Average, India, IND
27.3214, 1902, Jul Average, India, IND
27.0636, 1902, Aug Average, India, IND
25.8856, 1902, Sep Average, India, IND
24.3879, 1902, Oct Average, India, IND
20.0777, 1902, Nov Average, India, IND
16.9854, 1902, Dec Average, India, IND
16.9786, 1903, Jan Average, India, IND
18.371, 1903, Feb Average, India, IND
22.5593, 1903, Mar Average, India, IND
27.0279, 1903, Apr Average, India, IND
29.3773, 1903, May Average, India, IND
30.0555, 1903, Jun Average, India, IND
27.7137, 1903, Jul Average, India, IND
26.2918, 1903, Aug Average, India, IND
26.154, 1903, Sep Average, India, IND
24.1921, 1903, Oct Average, India, IND
19.5321, 1903, Nov Average, India, IND
16.5969, 1903, Dec Average, India, IND
16.7579, 1904, Jan Average, India, IND
18.9178, 1904, Feb Average, India, IND
22.97, 1904, Mar Average, India, IND
28.0257, 1904, Apr Average, India, IND
29.4679, 1904, May Average, India, IND
28.8645, 1904, Jun Average, India, IND
26.5548, 1904, Jul Average, India, IND
26.2601, 1904, Aug Average, India, IND
25.9469, 1904, Sep Average, India, IND
24.4625, 1904, Oct Average, India, IND
19.9134, 1904, Nov Average, India, IND
17.301, 1904, Dec Average, India, IND
15.8504, 1905, Jan Average, India, IND
16.7396, 1905, Feb Average, India, IND
21.5774, 1905, Mar Average, India, IND
25.5911, 1905, Apr Average, India, IND
