Temperature - (Celsius), Year, Statistics, Country, ISO3
1.54109, 1901, Jan Average, Italy, ITA
0.35607, 1901, Feb Average, Italy, ITA
6.06705, 1901, Mar Average, Italy, ITA
10.2529, 1901, Apr Average, Italy, ITA
13.4703, 1901, May Average, Italy, ITA
18.587, 1901, Jun Average, Italy, ITA
20.4537, 1901, Jul Average, Italy, ITA
20.0018, 1901, Aug Average, Italy, ITA
17.2653, 1901, Sep Average, Italy, ITA
12.6627, 1901, Oct Average, Italy, ITA
6.52734, 1901, Nov Average, Italy, ITA
4.99041, 1901, Dec Average, Italy, ITA
4.02466, 1902, Jan Average, Italy, ITA
5.13619, 1902, Feb Average, Italy, ITA
6.73825, 1902, Mar Average, Italy, ITA
11.4459, 1902, Apr Average, Italy, ITA
10.8985, 1902, May Average, Italy, ITA
16.556, 1902, Jun Average, Italy, ITA
20.7634, 1902, Jul Average, Italy, ITA
20.1831, 1902, Aug Average, Italy, ITA
17.37, 1902, Sep Average, Italy, ITA
12.2684, 1902, Oct Average, Italy, ITA
6.66632, 1902, Nov Average, Italy, ITA
3.5114, 1902, Dec Average, Italy, ITA
2.87258, 1903, Jan Average, Italy, ITA
4.97098, 1903, Feb Average, Italy, ITA
7.52007, 1903, Mar Average, Italy, ITA
7.49589, 1903, Apr Average, Italy, ITA
13.8863, 1903, May Average, Italy, ITA
16.3906, 1903, Jun Average, Italy, ITA
19.5838, 1903, Jul Average, Italy, ITA
20.268, 1903, Aug Average, Italy, ITA
17.3071, 1903, Sep Average, Italy, ITA
13.1161, 1903, Oct Average, Italy, ITA
7.80945, 1903, Nov Average, Italy, ITA
4.78978, 1903, Dec Average, Italy, ITA
3.38334, 1904, Jan Average, Italy, ITA
5.32344, 1904, Feb Average, Italy, ITA
6.98351, 1904, Mar Average, Italy, ITA
11.0214, 1904, Apr Average, Italy, ITA
15.0144, 1904, May Average, Italy, ITA
18.9979, 1904, Jun Average, Italy, ITA
22.0998, 1904, Jul Average, Italy, ITA
20.7257, 1904, Aug Average, Italy, ITA
15.5376, 1904, Sep Average, Italy, ITA
12.2557, 1904, Oct Average, Italy, ITA
6.29475, 1904, Nov Average, Italy, ITA
4.2699, 1904, Dec Average, Italy, ITA
0.54881, 1905, Jan Average, Italy, ITA
2.7324, 1905, Feb Average, Italy, ITA
7.05491, 1905, Mar Average, Italy, ITA
9.81845, 1905, Apr Average, Italy, ITA
13.0705, 1905, May Average, Italy, ITA
17.7417, 1905, Jun Average, Italy, ITA
22.0098, 1905, Jul Average, Italy, ITA
20.5376, 1905, Aug Average, Italy, ITA
18.0628, 1905, Sep Average, Italy, ITA
9.51603, 1905, Oct Average, Italy, ITA
8.26269, 1905, Nov Average, Italy, ITA
4.55886, 1905, Dec Average, Italy, ITA
2.85279, 1906, Jan Average, Italy, ITA
2.97912, 1906, Feb Average, Italy, ITA
6.07425, 1906, Mar Average, Italy, ITA
9.43052, 1906, Apr Average, Italy, ITA
13.616, 1906, May Average, Italy, ITA
17.4256, 1906, Jun Average, Italy, ITA
20.265, 1906, Jul Average, Italy, ITA
20.7358, 1906, Aug Average, Italy, ITA
15.9956, 1906, Sep Average, Italy, ITA
13.1593, 1906, Oct Average, Italy, ITA
9.02485, 1906, Nov Average, Italy, ITA
2.66097, 1906, Dec Average, Italy, ITA
1.42189, 1907, Jan Average, Italy, ITA
2.06368, 1907, Feb Average, Italy, ITA
4.43934, 1907, Mar Average, Italy, ITA
8.18431, 1907, Apr Average, Italy, ITA
14.65, 1907, May Average, Italy, ITA
17.8323, 1907, Jun Average, Italy, ITA
19.0579, 1907, Jul Average, Italy, ITA
20.8125, 1907, Aug Average, Italy, ITA
17.5972, 1907, Sep Average, Italy, ITA
14.5438, 1907, Oct Average, Italy, ITA
8.35302, 1907, Nov Average, Italy, ITA
5.56309, 1907, Dec Average, Italy, ITA
2.38975, 1908, Jan Average, Italy, ITA
3.93273, 1908, Feb Average, Italy, ITA
5.3156, 1908, Mar Average, Italy, ITA
7.98305, 1908, Apr Average, Italy, ITA
15.9829, 1908, May Average, Italy, ITA
18.8616, 1908, Jun Average, Italy, ITA
19.9003, 1908, Jul Average, Italy, ITA
19.3513, 1908, Aug Average, Italy, ITA
15.8906, 1908, Sep Average, Italy, ITA
12.6965, 1908, Oct Average, Italy, ITA
6.1928, 1908, Nov Average, Italy, ITA
3.63492, 1908, Dec Average, Italy, ITA
1.424, 1909, Jan Average, Italy, ITA
1.09421, 1909, Feb Average, Italy, ITA
5.3939, 1909, Mar Average, Italy, ITA
10.7814, 1909, Apr Average, Italy, ITA
13.7202, 1909, May Average, Italy, ITA
16.6384, 1909, Jun Average, Italy, ITA
18.7259, 1909, Jul Average, Italy, ITA
19.9757, 1909, Aug Average, Italy, ITA
16.4769, 1909, Sep Average, Italy, ITA
13.5353, 1909, Oct Average, Italy, ITA
6.7047, 1909, Nov Average, Italy, ITA
6.10952, 1909, Dec Average, Italy, ITA
3.74432, 1910, Jan Average, Italy, ITA
4.97825, 1910, Feb Average, Italy, ITA
6.70706, 1910, Mar Average, Italy, ITA
9.50914, 1910, Apr Average, Italy, ITA
12.7232, 1910, May Average, Italy, ITA
17.6816, 1910, Jun Average, Italy, ITA
18.5392, 1910, Jul Average, Italy, ITA
19.5694, 1910, Aug Average, Italy, ITA
15.0886, 1910, Sep Average, Italy, ITA
13.2804, 1910, Oct Average, Italy, ITA
6.72176, 1910, Nov Average, Italy, ITA
6.54297, 1910, Dec Average, Italy, ITA
1.7025, 1911, Jan Average, Italy, ITA
3.00543, 1911, Feb Average, Italy, ITA
6.73465, 1911, Mar Average, Italy, ITA
9.24506, 1911, Apr Average, Italy, ITA
13.6325, 1911, May Average, Italy, ITA
17.3803, 1911, Jun Average, Italy, ITA
21.5238, 1911, Jul Average, Italy, ITA
21.9377, 1911, Aug Average, Italy, ITA
18.1994, 1911, Sep Average, Italy, ITA
12.9089, 1911, Oct Average, Italy, ITA
9.68668, 1911, Nov Average, Italy, ITA
6.08684, 1911, Dec Average, Italy, ITA
4.05285, 1912, Jan Average, Italy, ITA
6.62071, 1912, Feb Average, Italy, ITA
8.53617, 1912, Mar Average, Italy, ITA
8.52249, 1912, Apr Average, Italy, ITA
14.2823, 1912, May Average, Italy, ITA
17.7092, 1912, Jun Average, Italy, ITA
20.1599, 1912, Jul Average, Italy, ITA
18.4114, 1912, Aug Average, Italy, ITA
13.8729, 1912, Sep Average, Italy, ITA
11.2976, 1912, Oct Average, Italy, ITA
5.36865, 1912, Nov Average, Italy, ITA
4.88213, 1912, Dec Average, Italy, ITA
3.84605, 1913, Jan Average, Italy, ITA
3.26399, 1913, Feb Average, Italy, ITA
7.85781, 1913, Mar Average, Italy, ITA
9.64443, 1913, Apr Average, Italy, ITA
13.7381, 1913, May Average, Italy, ITA
17.8379, 1913, Jun Average, Italy, ITA
17.9197, 1913, Jul Average, Italy, ITA
19.0831, 1913, Aug Average, Italy, ITA
17.1139, 1913, Sep Average, Italy, ITA
13.6853, 1913, Oct Average, Italy, ITA
9.50366, 1913, Nov Average, Italy, ITA
4.35524, 1913, Dec Average, Italy, ITA
0.75134, 1914, Jan Average, Italy, ITA
5.33948, 1914, Feb Average, Italy, ITA
