Temperature - (Celsius), Year, Statistics, Country, ISO3
-0.4276, 1901, Jan Average, Japan, JPN
-2.0665, 1901, Feb Average, Japan, JPN
1.87808, 1901, Mar Average, Japan, JPN
9.00613, 1901, Apr Average, Japan, JPN
12.4066, 1901, May Average, Japan, JPN
16.6819, 1901, Jun Average, Japan, JPN
19.6012, 1901, Jul Average, Japan, JPN
22.3386, 1901, Aug Average, Japan, JPN
18.3291, 1901, Sep Average, Japan, JPN
13.1624, 1901, Oct Average, Japan, JPN
6.12666, 1901, Nov Average, Japan, JPN
0.09447, 1901, Dec Average, Japan, JPN
-2.645, 1902, Jan Average, Japan, JPN
-1.8026, 1902, Feb Average, Japan, JPN
3.50916, 1902, Mar Average, Japan, JPN
7.13059, 1902, Apr Average, Japan, JPN
12.2969, 1902, May Average, Japan, JPN
16.0624, 1902, Jun Average, Japan, JPN
19.0132, 1902, Jul Average, Japan, JPN
20.3662, 1902, Aug Average, Japan, JPN
18.7651, 1902, Sep Average, Japan, JPN
12.4636, 1902, Oct Average, Japan, JPN
7.7696, 1902, Nov Average, Japan, JPN
3.36457, 1902, Dec Average, Japan, JPN
0.40764, 1903, Jan Average, Japan, JPN
-0.7352, 1903, Feb Average, Japan, JPN
3.9932, 1903, Mar Average, Japan, JPN
9.23723, 1903, Apr Average, Japan, JPN
11.844, 1903, May Average, Japan, JPN
16.1827, 1903, Jun Average, Japan, JPN
19.6498, 1903, Jul Average, Japan, JPN
22.0004, 1903, Aug Average, Japan, JPN
19.4223, 1903, Sep Average, Japan, JPN
12.0441, 1903, Oct Average, Japan, JPN
5.64469, 1903, Nov Average, Japan, JPN
-0.3838, 1903, Dec Average, Japan, JPN
-2.8565, 1904, Jan Average, Japan, JPN
-0.2363, 1904, Feb Average, Japan, JPN
2.0366, 1904, Mar Average, Japan, JPN
9.05084, 1904, Apr Average, Japan, JPN
12.4766, 1904, May Average, Japan, JPN
18.1209, 1904, Jun Average, Japan, JPN
21.8349, 1904, Jul Average, Japan, JPN
22.5595, 1904, Aug Average, Japan, JPN
17.5777, 1904, Sep Average, Japan, JPN
12.2015, 1904, Oct Average, Japan, JPN
4.91223, 1904, Nov Average, Japan, JPN
1.45212, 1904, Dec Average, Japan, JPN
0.20383, 1905, Jan Average, Japan, JPN
-2.6418, 1905, Feb Average, Japan, JPN
1.59829, 1905, Mar Average, Japan, JPN
6.61705, 1905, Apr Average, Japan, JPN
12.8875, 1905, May Average, Japan, JPN
17.2369, 1905, Jun Average, Japan, JPN
20.975, 1905, Jul Average, Japan, JPN
20.2998, 1905, Aug Average, Japan, JPN
18.3175, 1905, Sep Average, Japan, JPN
12.5981, 1905, Oct Average, Japan, JPN
6.42882, 1905, Nov Average, Japan, JPN
2.79139, 1905, Dec Average, Japan, JPN
-2.6719, 1906, Jan Average, Japan, JPN
-2.2764, 1906, Feb Average, Japan, JPN
2.04141, 1906, Mar Average, Japan, JPN
7.90601, 1906, Apr Average, Japan, JPN
12.5955, 1906, May Average, Japan, JPN
15.6455, 1906, Jun Average, Japan, JPN
21.1863, 1906, Jul Average, Japan, JPN
21.7482, 1906, Aug Average, Japan, JPN
17.1833, 1906, Sep Average, Japan, JPN
11.997, 1906, Oct Average, Japan, JPN
5.03833, 1906, Nov Average, Japan, JPN
