Temperature - (Celsius), Year, Statistics, Country, ISO3
-29.268, 1901, Jan Average, Russia, RUS
-22.378, 1901, Feb Average, Russia, RUS
-15.53, 1901, Mar Average, Russia, RUS
-6.1767, 1901, Apr Average, Russia, RUS
2.52603, 1901, May Average, Russia, RUS
11.0834, 1901, Jun Average, Russia, RUS
14.1427, 1901, Jul Average, Russia, RUS
12.008, 1901, Aug Average, Russia, RUS
4.67951, 1901, Sep Average, Russia, RUS
-6.4812, 1901, Oct Average, Russia, RUS
-17.308, 1901, Nov Average, Russia, RUS
-26.783, 1901, Dec Average, Russia, RUS
-28.835, 1902, Jan Average, Russia, RUS
-24.389, 1902, Feb Average, Russia, RUS
-19.914, 1902, Mar Average, Russia, RUS
-9.7709, 1902, Apr Average, Russia, RUS
0.39964, 1902, May Average, Russia, RUS
9.78632, 1902, Jun Average, Russia, RUS
14.7079, 1902, Jul Average, Russia, RUS
11.4739, 1902, Aug Average, Russia, RUS
5.01936, 1902, Sep Average, Russia, RUS
-8.2628, 1902, Oct Average, Russia, RUS
-22.062, 1902, Nov Average, Russia, RUS
-27.556, 1902, Dec Average, Russia, RUS
-27.244, 1903, Jan Average, Russia, RUS
-20.479, 1903, Feb Average, Russia, RUS
-16.437, 1903, Mar Average, Russia, RUS
-7.6843, 1903, Apr Average, Russia, RUS
2.05665, 1903, May Average, Russia, RUS
9.90889, 1903, Jun Average, Russia, RUS
14.9618, 1903, Jul Average, Russia, RUS
11.4819, 1903, Aug Average, Russia, RUS
5.23789, 1903, Sep Average, Russia, RUS
-6.3489, 1903, Oct Average, Russia, RUS
-16.36, 1903, Nov Average, Russia, RUS
-27.245, 1903, Dec Average, Russia, RUS
-26.724, 1904, Jan Average, Russia, RUS
-25.614, 1904, Feb Average, Russia, RUS
-16.204, 1904, Mar Average, Russia, RUS
-7.258, 1904, Apr Average, Russia, RUS
2.11244, 1904, May Average, Russia, RUS
10.0392, 1904, Jun Average, Russia, RUS
13.6832, 1904, Jul Average, Russia, RUS
12.1117, 1904, Aug Average, Russia, RUS
4.42063, 1904, Sep Average, Russia, RUS
-5.1575, 1904, Oct Average, Russia, RUS
-15.065, 1904, Nov Average, Russia, RUS
-24.562, 1904, Dec Average, Russia, RUS
-25.252, 1905, Jan Average, Russia, RUS
-24.238, 1905, Feb Average, Russia, RUS
-17.887, 1905, Mar Average, Russia, RUS
-8.4847, 1905, Apr Average, Russia, RUS
1.83159, 1905, May Average, Russia, RUS
9.34612, 1905, Jun Average, Russia, RUS
14.0897, 1905, Jul Average, Russia, RUS
11.3806, 1905, Aug Average, Russia, RUS
5.56286, 1905, Sep Average, Russia, RUS
-5.3104, 1905, Oct Average, Russia, RUS
-18.109, 1905, Nov Average, Russia, RUS
-24.889, 1905, Dec Average, Russia, RUS
-30.016, 1906, Jan Average, Russia, RUS
-26.714, 1906, Feb Average, Russia, RUS
-15.774, 1906, Mar Average, Russia, RUS
-4.8676, 1906, Apr Average, Russia, RUS
2.76263, 1906, May Average, Russia, RUS
12.0004, 1906, Jun Average, Russia, RUS
14.2216, 1906, Jul Average, Russia, RUS
12.9711, 1906, Aug Average, Russia, RUS
5.5973, 1906, Sep Average, Russia, RUS
-4.2648, 1906, Oct Average, Russia, RUS
-19.609, 1906, Nov Average, Russia, RUS
-21.341, 1906, Dec Average, Russia, RUS
-30.033, 1907, Jan Average, Russia, RUS
-24.826, 1907, Feb Average, Russia, RUS
-16.672, 1907, Mar Average, Russia, RUS
-5.7976, 1907, Apr Average, Russia, RUS
1.92526, 1907, May Average, Russia, RUS
10.0887, 1907, Jun Average, Russia, RUS
14.4924, 1907, Jul Average, Russia, RUS
12.3501, 1907, Aug Average, Russia, RUS
5.99311, 1907, Sep Average, Russia, RUS
-4.4616, 1907, Oct Average, Russia, RUS
-19.599, 1907, Nov Average, Russia, RUS
-29.503, 1907, Dec Average, Russia, RUS
-30.689, 1908, Jan Average, Russia, RUS
-23.815, 1908, Feb Average, Russia, RUS
-20.123, 1908, Mar Average, Russia, RUS
-7.92, 1908, Apr Average, Russia, RUS
2.77528, 1908, May Average, Russia, RUS
11.4985, 1908, Jun Average, Russia, RUS
14.9848, 1908, Jul Average, Russia, RUS
11.9511, 1908, Aug Average, Russia, RUS
6.29237, 1908, Sep Average, Russia, RUS
-4.5382, 1908, Oct Average, Russia, RUS
-19.466, 1908, Nov Average, Russia, RUS
-27.389, 1908, Dec Average, Russia, RUS
-29.554, 1909, Jan Average, Russia, RUS
-24.728, 1909, Feb Average, Russia, RUS
-20.794, 1909, Mar Average, Russia, RUS
-7.9154, 1909, Apr Average, Russia, RUS
1.31174, 1909, May Average, Russia, RUS
10.3338, 1909, Jun Average, Russia, RUS
15.3057, 1909, Jul Average, Russia, RUS
12.7159, 1909, Aug Average, Russia, RUS
5.64571, 1909, Sep Average, Russia, RUS
-3.9992, 1909, Oct Average, Russia, RUS
-17.335, 1909, Nov Average, Russia, RUS
-24.637, 1909, Dec Average, Russia, RUS
-27.81, 1910, Jan Average, Russia, RUS
-22.398, 1910, Feb Average, Russia, RUS
-19.638, 1910, Mar Average, Russia, RUS
-7.4969, 1910, Apr Average, Russia, RUS
2.53168, 1910, May Average, Russia, RUS
10.3136, 1910, Jun Average, Russia, RUS
15.3588, 1910, Jul Average, Russia, RUS
12.6926, 1910, Aug Average, Russia, RUS
5.8518, 1910, Sep Average, Russia, RUS
-5.4503, 1910, Oct Average, Russia, RUS
-20.207, 1910, Nov Average, Russia, RUS
-27.152, 1910, Dec Average, Russia, RUS
-28.575, 1911, Jan Average, Russia, RUS
-25.517, 1911, Feb Average, Russia, RUS
-19.805, 1911, Mar Average, Russia, RUS
-6.8105, 1911, Apr Average, Russia, RUS
1.46765, 1911, May Average, Russia, RUS
10.6921, 1911, Jun Average, Russia, RUS
15.033, 1911, Jul Average, Russia, RUS
12.1087, 1911, Aug Average, Russia, RUS
4.43528, 1911, Sep Average, Russia, RUS
-4.7189, 1911, Oct Average, Russia, RUS
-15.811, 1911, Nov Average, Russia, RUS
-25.584, 1911, Dec Average, Russia, RUS
-26.572, 1912, Jan Average, Russia, RUS
-27.232, 1912, Feb Average, Russia, RUS
-21.008, 1912, Mar Average, Russia, RUS
-7.1303, 1912, Apr Average, Russia, RUS
2.4256, 1912, May Average, Russia, RUS
10.8805, 1912, Jun Average, Russia, RUS
13.3465, 1912, Jul Average, Russia, RUS
10.6519, 1912, Aug Average, Russia, RUS
4.68439, 1912, Sep Average, Russia, RUS
-9.4333, 1912, Oct Average, Russia, RUS
-18.92, 1912, Nov Average, Russia, RUS
-27.438, 1912, Dec Average, Russia, RUS
-28.92, 1913, Jan Average, Russia, RUS
-27.24, 1913, Feb Average, Russia, RUS
-15.596, 1913, Mar Average, Russia, RUS
-8.1387, 1913, Apr Average, Russia, RUS
1.65994, 1913, May Average, Russia, RUS
10.3828, 1913, Jun Average, Russia, RUS
13.9912, 1913, Jul Average, Russia, RUS
12.1301, 1913, Aug Average, Russia, RUS
5.18176, 1913, Sep Average, Russia, RUS
-5.8797, 1913, Oct Average, Russia, RUS
-18.032, 1913, Nov Average, Russia, RUS
-21.956, 1913, Dec Average, Russia, RUS
-26.169, 1914, Jan Average, Russia, RUS
-21.544, 1914, Feb Average, Russia, RUS
-19.566, 1914, Mar Average, Russia, RUS
-8.0622, 1914, Apr Average, Russia, RUS
2.58409, 1914, May Average, Russia, RUS
10.8097, 1914, Jun Average, Russia, RUS
14.2169, 1914, Jul Average, Russia, RUS
12.5367, 1914, Aug Average, Russia, RUS
5.62577, 1914, Sep Average, Russia, RUS
-5.604, 1914, Oct Average, Russia, RUS
-19.82, 1914, Nov Average, Russia, RUS
-23.088, 1914, Dec Average, Russia, RUS
-30.66, 1915, Jan Average, Russia, RUS
-25.973, 1915, Feb Average, Russia, RUS
