Temperature - (Celsius), Year, Statistics, Country, ISO3
14.6344, 1901, Jan Average, Saudi Arabia, SAU
17.8915, 1901, Feb Average, Saudi Arabia, SAU
21.6452, 1901, Mar Average, Saudi Arabia, SAU
24.8706, 1901, Apr Average, Saudi Arabia, SAU
28.7417, 1901, May Average, Saudi Arabia, SAU
31.1623, 1901, Jun Average, Saudi Arabia, SAU
32.2168, 1901, Jul Average, Saudi Arabia, SAU
31.9418, 1901, Aug Average, Saudi Arabia, SAU
30.6708, 1901, Sep Average, Saudi Arabia, SAU
26.0883, 1901, Oct Average, Saudi Arabia, SAU
20.9981, 1901, Nov Average, Saudi Arabia, SAU
17.9613, 1901, Dec Average, Saudi Arabia, SAU
15.5733, 1902, Jan Average, Saudi Arabia, SAU
18.2305, 1902, Feb Average, Saudi Arabia, SAU
21.4206, 1902, Mar Average, Saudi Arabia, SAU
24.6662, 1902, Apr Average, Saudi Arabia, SAU
28.3123, 1902, May Average, Saudi Arabia, SAU
30.9004, 1902, Jun Average, Saudi Arabia, SAU
30.9535, 1902, Jul Average, Saudi Arabia, SAU
31.3944, 1902, Aug Average, Saudi Arabia, SAU
30.2296, 1902, Sep Average, Saudi Arabia, SAU
25.1522, 1902, Oct Average, Saudi Arabia, SAU
19.2353, 1902, Nov Average, Saudi Arabia, SAU
15.1119, 1902, Dec Average, Saudi Arabia, SAU
13.6801, 1903, Jan Average, Saudi Arabia, SAU
15.155, 1903, Feb Average, Saudi Arabia, SAU
18.6256, 1903, Mar Average, Saudi Arabia, SAU
22.826, 1903, Apr Average, Saudi Arabia, SAU
28.3046, 1903, May Average, Saudi Arabia, SAU
30.6314, 1903, Jun Average, Saudi Arabia, SAU
30.5364, 1903, Jul Average, Saudi Arabia, SAU
32.065, 1903, Aug Average, Saudi Arabia, SAU
29.4846, 1903, Sep Average, Saudi Arabia, SAU
24.1036, 1903, Oct Average, Saudi Arabia, SAU
18.6859, 1903, Nov Average, Saudi Arabia, SAU
15.7939, 1903, Dec Average, Saudi Arabia, SAU
15.3926, 1904, Jan Average, Saudi Arabia, SAU
16.6849, 1904, Feb Average, Saudi Arabia, SAU
19.688, 1904, Mar Average, Saudi Arabia, SAU
23.075, 1904, Apr Average, Saudi Arabia, SAU
27.1338, 1904, May Average, Saudi Arabia, SAU
30.0017, 1904, Jun Average, Saudi Arabia, SAU
31.0212, 1904, Jul Average, Saudi Arabia, SAU
31.2909, 1904, Aug Average, Saudi Arabia, SAU
28.9527, 1904, Sep Average, Saudi Arabia, SAU
25.322, 1904, Oct Average, Saudi Arabia, SAU
20.6342, 1904, Nov Average, Saudi Arabia, SAU
15.4455, 1904, Dec Average, Saudi Arabia, SAU
13.8716, 1905, Jan Average, Saudi Arabia, SAU
14.7911, 1905, Feb Average, Saudi Arabia, SAU
18.3744, 1905, Mar Average, Saudi Arabia, SAU
23.7053, 1905, Apr Average, Saudi Arabia, SAU
27.923, 1905, May Average, Saudi Arabia, SAU
30.7063, 1905, Jun Average, Saudi Arabia, SAU
31.4721, 1905, Jul Average, Saudi Arabia, SAU
31.7874, 1905, Aug Average, Saudi Arabia, SAU
30.0093, 1905, Sep Average, Saudi Arabia, SAU
26.2904, 1905, Oct Average, Saudi Arabia, SAU
21.2592, 1905, Nov Average, Saudi Arabia, SAU
15.5771, 1905, Dec Average, Saudi Arabia, SAU
14.4323, 1906, Jan Average, Saudi Arabia, SAU
16.1575, 1906, Feb Average, Saudi Arabia, SAU
19.3978, 1906, Mar Average, Saudi Arabia, SAU
22.8537, 1906, Apr Average, Saudi Arabia, SAU
28.1842, 1906, May Average, Saudi Arabia, SAU
30.682, 1906, Jun Average, Saudi Arabia, SAU
31.2563, 1906, Jul Average, Saudi Arabia, SAU
31.1873, 1906, Aug Average, Saudi Arabia, SAU
28.843, 1906, Sep Average, Saudi Arabia, SAU
25.4594, 1906, Oct Average, Saudi Arabia, SAU
21.3372, 1906, Nov Average, Saudi Arabia, SAU
17.7312, 1906, Dec Average, Saudi Arabia, SAU
15.2228, 1907, Jan Average, Saudi Arabia, SAU
15.7354, 1907, Feb Average, Saudi Arabia, SAU
18.9888, 1907, Mar Average, Saudi Arabia, SAU
22.7306, 1907, Apr Average, Saudi Arabia, SAU
28.3464, 1907, May Average, Saudi Arabia, SAU
30.3613, 1907, Jun Average, Saudi Arabia, SAU
31.2276, 1907, Jul Average, Saudi Arabia, SAU
31.0993, 1907, Aug Average, Saudi Arabia, SAU
29.0178, 1907, Sep Average, Saudi Arabia, SAU
25.4035, 1907, Oct Average, Saudi Arabia, SAU
18.8771, 1907, Nov Average, Saudi Arabia, SAU
16.1492, 1907, Dec Average, Saudi Arabia, SAU
15.1055, 1908, Jan Average, Saudi Arabia, SAU
16.0082, 1908, Feb Average, Saudi Arabia, SAU
20.1821, 1908, Mar Average, Saudi Arabia, SAU
24.5118, 1908, Apr Average, Saudi Arabia, SAU
28.1136, 1908, May Average, Saudi Arabia, SAU
31.4855, 1908, Jun Average, Saudi Arabia, SAU
30.7769, 1908, Jul Average, Saudi Arabia, SAU
31.4653, 1908, Aug Average, Saudi Arabia, SAU
29.9621, 1908, Sep Average, Saudi Arabia, SAU
25.5206, 1908, Oct Average, Saudi Arabia, SAU
20.3925, 1908, Nov Average, Saudi Arabia, SAU
16.2316, 1908, Dec Average, Saudi Arabia, SAU
14.7295, 1909, Jan Average, Saudi Arabia, SAU
17.6299, 1909, Feb Average, Saudi Arabia, SAU
21.5458, 1909, Mar Average, Saudi Arabia, SAU
24.0722, 1909, Apr Average, Saudi Arabia, SAU
29.3441, 1909, May Average, Saudi Arabia, SAU
30.6066, 1909, Jun Average, Saudi Arabia, SAU
31.8895, 1909, Jul Average, Saudi Arabia, SAU
31.9297, 1909, Aug Average, Saudi Arabia, SAU
29.7105, 1909, Sep Average, Saudi Arabia, SAU
25.5396, 1909, Oct Average, Saudi Arabia, SAU
21.0987, 1909, Nov Average, Saudi Arabia, SAU
16.8537, 1909, Dec Average, Saudi Arabia, SAU
14.4911, 1910, Jan Average, Saudi Arabia, SAU
17.1115, 1910, Feb Average, Saudi Arabia, SAU
17.8382, 1910, Mar Average, Saudi Arabia, SAU
23.3474, 1910, Apr Average, Saudi Arabia, SAU
27.8933, 1910, May Average, Saudi Arabia, SAU
29.9215, 1910, Jun Average, Saudi Arabia, SAU
31.3912, 1910, Jul Average, Saudi Arabia, SAU
31.8244, 1910, Aug Average, Saudi Arabia, SAU
29.545, 1910, Sep Average, Saudi Arabia, SAU
24.1402, 1910, Oct Average, Saudi Arabia, SAU
19.8927, 1910, Nov Average, Saudi Arabia, SAU
14.8877, 1910, Dec Average, Saudi Arabia, SAU
12.7499, 1911, Jan Average, Saudi Arabia, SAU
14.2538, 1911, Feb Average, Saudi Arabia, SAU
17.9282, 1911, Mar Average, Saudi Arabia, SAU
22.7324, 1911, Apr Average, Saudi Arabia, SAU
27.5001, 1911, May Average, Saudi Arabia, SAU
29.5902, 1911, Jun Average, Saudi Arabia, SAU
31.2638, 1911, Jul Average, Saudi Arabia, SAU
30.9688, 1911, Aug Average, Saudi Arabia, SAU
28.5213, 1911, Sep Average, Saudi Arabia, SAU
24.8877, 1911, Oct Average, Saudi Arabia, SAU
20.0328, 1911, Nov Average, Saudi Arabia, SAU
16.8789, 1911, Dec Average, Saudi Arabia, SAU
14.4054, 1912, Jan Average, Saudi Arabia, SAU
16.8151, 1912, Feb Average, Saudi Arabia, SAU
19.8915, 1912, Mar Average, Saudi Arabia, SAU
23.3251, 1912, Apr Average, Saudi Arabia, SAU
27.2018, 1912, May Average, Saudi Arabia, SAU
31.0938, 1912, Jun Average, Saudi Arabia, SAU
30.7738, 1912, Jul Average, Saudi Arabia, SAU
30.5335, 1912, Aug Average, Saudi Arabia, SAU
29.1854, 1912, Sep Average, Saudi Arabia, SAU
24.9744, 1912, Oct Average, Saudi Arabia, SAU
20.6886, 1912, Nov Average, Saudi Arabia, SAU
15.6454, 1912, Dec Average, Saudi Arabia, SAU
14.8064, 1913, Jan Average, Saudi Arabia, SAU
15.2994, 1913, Feb Average, Saudi Arabia, SAU
18.19, 1913, Mar Average, Saudi Arabia, SAU
24.0457, 1913, Apr Average, Saudi Arabia, SAU
28.2047, 1913, May Average, Saudi Arabia, SAU
29.8554, 1913, Jun Average, Saudi Arabia, SAU
30.6109, 1913, Jul Average, Saudi Arabia, SAU
30.2137, 1913, Aug Average, Saudi Arabia, SAU
29.7309, 1913, Sep Average, Saudi Arabia, SAU
25.5258, 1913, Oct Average, Saudi Arabia, SAU
20.0575, 1913, Nov Average, Saudi Arabia, SAU
16.0814, 1913, Dec Average, Saudi Arabia, SAU
16.2009, 1914, Jan Average, Saudi Arabia, SAU
16.6355, 1914, Feb Average, Saudi Arabia, SAU
20.4398, 1914, Mar Average, Saudi Arabia, SAU
23.5428, 1914, Apr Average, Saudi Arabia, SAU
28.2851, 1914, May Average, Saudi Arabia, SAU
30.1546, 1914, Jun Average, Saudi Arabia, SAU
30.7739, 1914, Jul Average, Saudi Arabia, SAU
31.4904, 1914, Aug Average, Saudi Arabia, SAU
28.9896, 1914, Sep Average, Saudi Arabia, SAU
25.7505, 1914, Oct Average, Saudi Arabia, SAU
21.2881, 1914, Nov Average, Saudi Arabia, SAU
16.6508, 1914, Dec Average, Saudi Arabia, SAU
16.7476, 1915, Jan Average, Saudi Arabia, SAU
17.8359, 1915, Feb Average, Saudi Arabia, SAU
20.757, 1915, Mar Average, Saudi Arabia, SAU
23.863, 1915, Apr Average, Saudi Arabia, SAU
28.0696, 1915, May Average, Saudi Arabia, SAU
32.356, 1915, Jun Average, Saudi Arabia, SAU
31.6308, 1915, Jul Average, Saudi Arabia, SAU
32.1357, 1915, Aug Average, Saudi Arabia, SAU
30.6258, 1915, Sep Average, Saudi Arabia, SAU
25.5839, 1915, Oct Average, Saudi Arabia, SAU
21.2395, 1915, Nov Average, Saudi Arabia, SAU
17.1131, 1915, Dec Average, Saudi Arabia, SAU
14.8484, 1916, Jan Average, Saudi Arabia, SAU
16.3009, 1916, Feb Average, Saudi Arabia, SAU
21.6628, 1916, Mar Average, Saudi Arabia, SAU
23.5801, 1916, Apr Average, Saudi Arabia, SAU
29.3649, 1916, May Average, Saudi Arabia, SAU
32.0668, 1916, Jun Average, Saudi Arabia, SAU
32.5228, 1916, Jul Average, Saudi Arabia, SAU
31.9998, 1916, Aug Average, Saudi Arabia, SAU
29.3262, 1916, Sep Average, Saudi Arabia, SAU
24.1793, 1916, Oct Average, Saudi Arabia, SAU
21.8455, 1916, Nov Average, Saudi Arabia, SAU
17.3689, 1916, Dec Average, Saudi Arabia, SAU
15.7574, 1917, Jan Average, Saudi Arabia, SAU
17.5218, 1917, Feb Average, Saudi Arabia, SAU
19.9347, 1917, Mar Average, Saudi Arabia, SAU
25.0393, 1917, Apr Average, Saudi Arabia, SAU
27.7703, 1917, May Average, Saudi Arabia, SAU
30.6461, 1917, Jun Average, Saudi Arabia, SAU
32.2475, 1917, Jul Average, Saudi Arabia, SAU
32.1455, 1917, Aug Average, Saudi Arabia, SAU
30.0173, 1917, Sep Average, Saudi Arabia, SAU
24.6692, 1917, Oct Average, Saudi Arabia, SAU
22.0573, 1917, Nov Average, Saudi Arabia, SAU
16.0283, 1917, Dec Average, Saudi Arabia, SAU
14.9386, 1918, Jan Average, Saudi Arabia, SAU
16.5253, 1918, Feb Average, Saudi Arabia, SAU
19.1281, 1918, Mar Average, Saudi Arabia, SAU
23.144, 1918, Apr Average, Saudi Arabia, SAU
27.7285, 1918, May Average, Saudi Arabia, SAU
29.8894, 1918, Jun Average, Saudi Arabia, SAU
31.6014, 1918, Jul Average, Saudi Arabia, SAU
31.571, 1918, Aug Average, Saudi Arabia, SAU
30.0715, 1918, Sep Average, Saudi Arabia, SAU
27.1243, 1918, Oct Average, Saudi Arabia, SAU
22.0609, 1918, Nov Average, Saudi Arabia, SAU
16.9683, 1918, Dec Average, Saudi Arabia, SAU
17.2643, 1919, Jan Average, Saudi Arabia, SAU
18.3214, 1919, Feb Average, Saudi Arabia, SAU
20.7868, 1919, Mar Average, Saudi Arabia, SAU
24.4912, 1919, Apr Average, Saudi Arabia, SAU
27.7069, 1919, May Average, Saudi Arabia, SAU
29.7734, 1919, Jun Average, Saudi Arabia, SAU
31.2737, 1919, Jul Average, Saudi Arabia, SAU
