Temperature - (Celsius), Year, Statistics, Country, ISO3
22.6641, 1901, Jan Average, South Africa, ZAF
22.5865, 1901, Feb Average, South Africa, ZAF
19.6406, 1901, Mar Average, South Africa, ZAF
18.0724, 1901, Apr Average, South Africa, ZAF
13.1147, 1901, May Average, South Africa, ZAF
10.7957, 1901, Jun Average, South Africa, ZAF
9.97943, 1901, Jul Average, South Africa, ZAF
12.8821, 1901, Aug Average, South Africa, ZAF
14.415, 1901, Sep Average, South Africa, ZAF
17.1235, 1901, Oct Average, South Africa, ZAF
19.663, 1901, Nov Average, South Africa, ZAF
21.5958, 1901, Dec Average, South Africa, ZAF
21.2401, 1902, Jan Average, South Africa, ZAF
22.3957, 1902, Feb Average, South Africa, ZAF
20.3685, 1902, Mar Average, South Africa, ZAF
16.81, 1902, Apr Average, South Africa, ZAF
14.3392, 1902, May Average, South Africa, ZAF
9.99937, 1902, Jun Average, South Africa, ZAF
10.815, 1902, Jul Average, South Africa, ZAF
11.9976, 1902, Aug Average, South Africa, ZAF
14.4984, 1902, Sep Average, South Africa, ZAF
17.5246, 1902, Oct Average, South Africa, ZAF
18.7873, 1902, Nov Average, South Africa, ZAF
22.1015, 1902, Dec Average, South Africa, ZAF
22.5345, 1903, Jan Average, South Africa, ZAF
22.1368, 1903, Feb Average, South Africa, ZAF
20.1638, 1903, Mar Average, South Africa, ZAF
16.6156, 1903, Apr Average, South Africa, ZAF
13.4348, 1903, May Average, South Africa, ZAF
9.74854, 1903, Jun Average, South Africa, ZAF
10.126, 1903, Jul Average, South Africa, ZAF
12.1907, 1903, Aug Average, South Africa, ZAF
15.0986, 1903, Sep Average, South Africa, ZAF
16.8778, 1903, Oct Average, South Africa, ZAF
19.0121, 1903, Nov Average, South Africa, ZAF
21.7062, 1903, Dec Average, South Africa, ZAF
21.8704, 1904, Jan Average, South Africa, ZAF
21.6923, 1904, Feb Average, South Africa, ZAF
19.8611, 1904, Mar Average, South Africa, ZAF
17.1724, 1904, Apr Average, South Africa, ZAF
13.4577, 1904, May Average, South Africa, ZAF
10.8079, 1904, Jun Average, South Africa, ZAF
10.8185, 1904, Jul Average, South Africa, ZAF
12.084, 1904, Aug Average, South Africa, ZAF
14.6314, 1904, Sep Average, South Africa, ZAF
17.3332, 1904, Oct Average, South Africa, ZAF
19.8567, 1904, Nov Average, South Africa, ZAF
20.3639, 1904, Dec Average, South Africa, ZAF
22.4833, 1905, Jan Average, South Africa, ZAF
21.7009, 1905, Feb Average, South Africa, ZAF
19.7351, 1905, Mar Average, South Africa, ZAF
17.8252, 1905, Apr Average, South Africa, ZAF
13.167, 1905, May Average, South Africa, ZAF
9.90683, 1905, Jun Average, South Africa, ZAF
11.0745, 1905, Jul Average, South Africa, ZAF
11.2872, 1905, Aug Average, South Africa, ZAF
15.2679, 1905, Sep Average, South Africa, ZAF
18.1094, 1905, Oct Average, South Africa, ZAF
19.6602, 1905, Nov Average, South Africa, ZAF
21.8572, 1905, Dec Average, South Africa, ZAF
22.879, 1906, Jan Average, South Africa, ZAF
21.7964, 1906, Feb Average, South Africa, ZAF
20.0901, 1906, Mar Average, South Africa, ZAF
16.4089, 1906, Apr Average, South Africa, ZAF
13.6306, 1906, May Average, South Africa, ZAF
11.0733, 1906, Jun Average, South Africa, ZAF
9.69459, 1906, Jul Average, South Africa, ZAF
10.9283, 1906, Aug Average, South Africa, ZAF
14.7826, 1906, Sep Average, South Africa, ZAF
16.5906, 1906, Oct Average, South Africa, ZAF
19.474, 1906, Nov Average, South Africa, ZAF
20.8568, 1906, Dec Average, South Africa, ZAF
21.732, 1907, Jan Average, South Africa, ZAF
21.7382, 1907, Feb Average, South Africa, ZAF
20.6016, 1907, Mar Average, South Africa, ZAF
16.4236, 1907, Apr Average, South Africa, ZAF
12.3626, 1907, May Average, South Africa, ZAF
10.1989, 1907, Jun Average, South Africa, ZAF
10.1626, 1907, Jul Average, South Africa, ZAF
12.2245, 1907, Aug Average, South Africa, ZAF
15.112, 1907, Sep Average, South Africa, ZAF
16.7002, 1907, Oct Average, South Africa, ZAF
18.6908, 1907, Nov Average, South Africa, ZAF
20.5691, 1907, Dec Average, South Africa, ZAF
21.5842, 1908, Jan Average, South Africa, ZAF
22.0768, 1908, Feb Average, South Africa, ZAF
20.0755, 1908, Mar Average, South Africa, ZAF
15.3111, 1908, Apr Average, South Africa, ZAF
13.6411, 1908, May Average, South Africa, ZAF
10.324, 1908, Jun Average, South Africa, ZAF
10.4954, 1908, Jul Average, South Africa, ZAF
12.1557, 1908, Aug Average, South Africa, ZAF
15.4392, 1908, Sep Average, South Africa, ZAF
17.3741, 1908, Oct Average, South Africa, ZAF
19.3527, 1908, Nov Average, South Africa, ZAF
21.9357, 1908, Dec Average, South Africa, ZAF
22.3387, 1909, Jan Average, South Africa, ZAF
21.3789, 1909, Feb Average, South Africa, ZAF
19.3958, 1909, Mar Average, South Africa, ZAF
17.3209, 1909, Apr Average, South Africa, ZAF
13.3914, 1909, May Average, South Africa, ZAF
11.2318, 1909, Jun Average, South Africa, ZAF
10.6453, 1909, Jul Average, South Africa, ZAF
12.5321, 1909, Aug Average, South Africa, ZAF
15.3523, 1909, Sep Average, South Africa, ZAF
17.0802, 1909, Oct Average, South Africa, ZAF
19.9292, 1909, Nov Average, South Africa, ZAF
20.8046, 1909, Dec Average, South Africa, ZAF
22.1739, 1910, Jan Average, South Africa, ZAF
21.6034, 1910, Feb Average, South Africa, ZAF
20.3148, 1910, Mar Average, South Africa, ZAF
17.0719, 1910, Apr Average, South Africa, ZAF
13.5045, 1910, May Average, South Africa, ZAF
10.0282, 1910, Jun Average, South Africa, ZAF
10.3604, 1910, Jul Average, South Africa, ZAF
