Temperature - (Celsius), Year, Statistics, Country, ISO3
20.6078, 1991, Jan Average, Argentina, ARG
20.0149, 1991, Feb Average, Argentina, ARG
18.9456, 1991, Mar Average, Argentina, ARG
14.8802, 1991, Apr Average, Argentina, ARG
11.959, 1991, May Average, Argentina, ARG
8.1756, 1991, Jun Average, Argentina, ARG
7.28993, 1991, Jul Average, Argentina, ARG
8.97668, 1991, Aug Average, Argentina, ARG
12.493, 1991, Sep Average, Argentina, ARG
13.8637, 1991, Oct Average, Argentina, ARG
17.3465, 1991, Nov Average, Argentina, ARG
18.6552, 1991, Dec Average, Argentina, ARG
21.0054, 1992, Jan Average, Argentina, ARG
19.6117, 1992, Feb Average, Argentina, ARG
18.6981, 1992, Mar Average, Argentina, ARG
13.9453, 1992, Apr Average, Argentina, ARG
10.2134, 1992, May Average, Argentina, ARG
8.60625, 1992, Jun Average, Argentina, ARG
5.24201, 1992, Jul Average, Argentina, ARG
9.5294, 1992, Aug Average, Argentina, ARG
11.6078, 1992, Sep Average, Argentina, ARG
14.7128, 1992, Oct Average, Argentina, ARG
16.5091, 1992, Nov Average, Argentina, ARG
19.5419, 1992, Dec Average, Argentina, ARG
20.9474, 1993, Jan Average, Argentina, ARG
19.9835, 1993, Feb Average, Argentina, ARG
19.1928, 1993, Mar Average, Argentina, ARG
14.486, 1993, Apr Average, Argentina, ARG
10.302, 1993, May Average, Argentina, ARG
8.10868, 1993, Jun Average, Argentina, ARG
6.80646, 1993, Jul Average, Argentina, ARG
9.91542, 1993, Aug Average, Argentina, ARG
11.3827, 1993, Sep Average, Argentina, ARG
15.1105, 1993, Oct Average, Argentina, ARG
17.282, 1993, Nov Average, Argentina, ARG
20.0113, 1993, Dec Average, Argentina, ARG
21.223, 1994, Jan Average, Argentina, ARG
19.4316, 1994, Feb Average, Argentina, ARG
18.1475, 1994, Mar Average, Argentina, ARG
14.186, 1994, Apr Average, Argentina, ARG
12.4266, 1994, May Average, Argentina, ARG
9.84575, 1994, Jun Average, Argentina, ARG
7.60763, 1994, Jul Average, Argentina, ARG
9.82, 1994, Aug Average, Argentina, ARG
13.0016, 1994, Sep Average, Argentina, ARG
14.76, 1994, Oct Average, Argentina, ARG
18.078, 1994, Nov Average, Argentina, ARG
21.6559, 1994, Dec Average, Argentina, ARG
20.3774, 1995, Jan Average, Argentina, ARG
19.156, 1995, Feb Average, Argentina, ARG
17.7828, 1995, Mar Average, Argentina, ARG
14.2485, 1995, Apr Average, Argentina, ARG
11.0299, 1995, May Average, Argentina, ARG
7.90884, 1995, Jun Average, Argentina, ARG
6.73381, 1995, Jul Average, Argentina, ARG
8.37725, 1995, Aug Average, Argentina, ARG
12.2217, 1995, Sep Average, Argentina, ARG
14.8096, 1995, Oct Average, Argentina, ARG
18.5903, 1995, Nov Average, Argentina, ARG
22.0006, 1995, Dec Average, Argentina, ARG
20.4299, 1996, Jan Average, Argentina, ARG
19.3486, 1996, Feb Average, Argentina, ARG
18.5759, 1996, Mar Average, Argentina, ARG
13.9507, 1996, Apr Average, Argentina, ARG
11.8187, 1996, May Average, Argentina, ARG
6.47406, 1996, Jun Average, Argentina, ARG
6.83712, 1996, Jul Average, Argentina, ARG
10.6906, 1996, Aug Average, Argentina, ARG
11.8586, 1996, Sep Average, Argentina, ARG
15.5204, 1996, Oct Average, Argentina, ARG
18.403, 1996, Nov Average, Argentina, ARG
19.7288, 1996, Dec Average, Argentina, ARG
21.6139, 1997, Jan Average, Argentina, ARG
19.1154, 1997, Feb Average, Argentina, ARG
18.2583, 1997, Mar Average, Argentina, ARG
15.5438, 1997, Apr Average, Argentina, ARG
11.7114, 1997, May Average, Argentina, ARG
8.36209, 1997, Jun Average, Argentina, ARG
9.15932, 1997, Jul Average, Argentina, ARG
10.0269, 1997, Aug Average, Argentina, ARG
12.2806, 1997, Sep Average, Argentina, ARG
14.6439, 1997, Oct Average, Argentina, ARG
17.524, 1997, Nov Average, Argentina, ARG
19.6368, 1997, Dec Average, Argentina, ARG
20.4658, 1998, Jan Average, Argentina, ARG
18.7836, 1998, Feb Average, Argentina, ARG
17.0186, 1998, Mar Average, Argentina, ARG
13.9053, 1998, Apr Average, Argentina, ARG
11.5361, 1998, May Average, Argentina, ARG
8.97167, 1998, Jun Average, Argentina, ARG
9.60283, 1998, Jul Average, Argentina, ARG
9.4739, 1998, Aug Average, Argentina, ARG
10.7708, 1998, Sep Average, Argentina, ARG
16.0628, 1998, Oct Average, Argentina, ARG
17.8949, 1998, Nov Average, Argentina, ARG
20.2283, 1998, Dec Average, Argentina, ARG
20.3991, 1999, Jan Average, Argentina, ARG
20.6482, 1999, Feb Average, Argentina, ARG
17.7615, 1999, Mar Average, Argentina, ARG
12.9279, 1999, Apr Average, Argentina, ARG
10.4764, 1999, May Average, Argentina, ARG
7.27673, 1999, Jun Average, Argentina, ARG
6.72502, 1999, Jul Average, Argentina, ARG
9.61648, 1999, Aug Average, Argentina, ARG
12.9408, 1999, Sep Average, Argentina, ARG
15.2472, 1999, Oct Average, Argentina, ARG
17.3542, 1999, Nov Average, Argentina, ARG
19.8052, 1999, Dec Average, Argentina, ARG
21.2042, 2000, Jan Average, Argentina, ARG
19.473, 2000, Feb Average, Argentina, ARG
17.0282, 2000, Mar Average, Argentina, ARG
14.5946, 2000, Apr Average, Argentina, ARG
10.1832, 2000, May Average, Argentina, ARG
8.16384, 2000, Jun Average, Argentina, ARG
5.6623, 2000, Jul Average, Argentina, ARG
8.93691, 2000, Aug Average, Argentina, ARG
10.8196, 2000, Sep Average, Argentina, ARG
14.9053, 2000, Oct Average, Argentina, ARG
16.3921, 2000, Nov Average, Argentina, ARG
19.6262, 2000, Dec Average, Argentina, ARG
21.0206, 2001, Jan Average, Argentina, ARG
21.3507, 2001, Feb Average, Argentina, ARG
18.1422, 2001, Mar Average, Argentina, ARG
13.8114, 2001, Apr Average, Argentina, ARG
9.83762, 2001, May Average, Argentina, ARG
8.40546, 2001, Jun Average, Argentina, ARG
7.093, 2001, Jul Average, Argentina, ARG
10.5503, 2001, Aug Average, Argentina, ARG
11.4514, 2001, Sep Average, Argentina, ARG
15.3719, 2001, Oct Average, Argentina, ARG
17.1233, 2001, Nov Average, Argentina, ARG
20.32, 2001, Dec Average, Argentina, ARG
20.7501, 2002, Jan Average, Argentina, ARG
19.8967, 2002, Feb Average, Argentina, ARG
17.7539, 2002, Mar Average, Argentina, ARG
13.6359, 2002, Apr Average, Argentina, ARG
11.0363, 2002, May Average, Argentina, ARG
6.15263, 2002, Jun Average, Argentina, ARG
7.5003, 2002, Jul Average, Argentina, ARG
9.87068, 2002, Aug Average, Argentina, ARG
