Temperature - (Celsius), Year, Statistics, Country, ISO3
-26.045, 1991, Jan Average, Canada, CAN
-21.036, 1991, Feb Average, Canada, CAN
-17.792, 1991, Mar Average, Canada, CAN
-8.017, 1991, Apr Average, Canada, CAN
1.2486, 1991, May Average, Canada, CAN
8.49863, 1991, Jun Average, Canada, CAN
11.59, 1991, Jul Average, Canada, CAN
10.5824, 1991, Aug Average, Canada, CAN
3.77629, 1991, Sep Average, Canada, CAN
-5.4733, 1991, Oct Average, Canada, CAN
-14.711, 1991, Nov Average, Canada, CAN
-21.206, 1991, Dec Average, Canada, CAN
-22.319, 1992, Jan Average, Canada, CAN
-23.093, 1992, Feb Average, Canada, CAN
-16.191, 1992, Mar Average, Canada, CAN
-10.726, 1992, Apr Average, Canada, CAN
-1.0934, 1992, May Average, Canada, CAN
6.44914, 1992, Jun Average, Canada, CAN
10.1349, 1992, Jul Average, Canada, CAN
9.14015, 1992, Aug Average, Canada, CAN
2.35618, 1992, Sep Average, Canada, CAN
-4.4614, 1992, Oct Average, Canada, CAN
-13.408, 1992, Nov Average, Canada, CAN
-21.939, 1992, Dec Average, Canada, CAN
-23.408, 1993, Jan Average, Canada, CAN
-23.114, 1993, Feb Average, Canada, CAN
-16.475, 1993, Mar Average, Canada, CAN
-8.6535, 1993, Apr Average, Canada, CAN
1.17711, 1993, May Average, Canada, CAN
7.7323, 1993, Jun Average, Canada, CAN
11.4595, 1993, Jul Average, Canada, CAN
9.72543, 1993, Aug Average, Canada, CAN
3.16538, 1993, Sep Average, Canada, CAN
-3.8782, 1993, Oct Average, Canada, CAN
-15.153, 1993, Nov Average, Canada, CAN
-19.856, 1993, Dec Average, Canada, CAN
-26.802, 1994, Jan Average, Canada, CAN
-26.207, 1994, Feb Average, Canada, CAN
-16.623, 1994, Mar Average, Canada, CAN
-9.3534, 1994, Apr Average, Canada, CAN
1.05245, 1994, May Average, Canada, CAN
8.63782, 1994, Jun Average, Canada, CAN
12.2052, 1994, Jul Average, Canada, CAN
10.1797, 1994, Aug Average, Canada, CAN
4.65531, 1994, Sep Average, Canada, CAN
-2.1961, 1994, Oct Average, Canada, CAN
-13.056, 1994, Nov Average, Canada, CAN
-19.491, 1994, Dec Average, Canada, CAN
-21.556, 1995, Jan Average, Canada, CAN
-23.17, 1995, Feb Average, Canada, CAN
-18.469, 1995, Mar Average, Canada, CAN
-7.4833, 1995, Apr Average, Canada, CAN
0.92683, 1995, May Average, Canada, CAN
9.35252, 1995, Jun Average, Canada, CAN
11.2072, 1995, Jul Average, Canada, CAN
10.0106, 1995, Aug Average, Canada, CAN
4.23431, 1995, Sep Average, Canada, CAN
-3.7493, 1995, Oct Average, Canada, CAN
-14.621, 1995, Nov Average, Canada, CAN
-21.957, 1995, Dec Average, Canada, CAN
-27.103, 1996, Jan Average, Canada, CAN
-21.012, 1996, Feb Average, Canada, CAN
-19.204, 1996, Mar Average, Canada, CAN
-9.212, 1996, Apr Average, Canada, CAN
-0.9641, 1996, May Average, Canada, CAN
8.13306, 1996, Jun Average, Canada, CAN
11.6808, 1996, Jul Average, Canada, CAN
9.58337, 1996, Aug Average, Canada, CAN
4.1813, 1996, Sep Average, Canada, CAN
-5.496, 1996, Oct Average, Canada, CAN
-14.427, 1996, Nov Average, Canada, CAN
-20.368, 1996, Dec Average, Canada, CAN
-24.75, 1997, Jan Average, Canada, CAN
-22.087, 1997, Feb Average, Canada, CAN
-19.533, 1997, Mar Average, Canada, CAN
-9.5683, 1997, Apr Average, Canada, CAN
-0.4172, 1997, May Average, Canada, CAN
8.08011, 1997, Jun Average, Canada, CAN
11.8753, 1997, Jul Average, Canada, CAN
9.82408, 1997, Aug Average, Canada, CAN
4.63351, 1997, Sep Average, Canada, CAN
-5.165, 1997, Oct Average, Canada, CAN
-11.688, 1997, Nov Average, Canada, CAN
-17.085, 1997, Dec Average, Canada, CAN
-25.281, 1998, Jan Average, Canada, CAN
-19.185, 1998, Feb Average, Canada, CAN
-16.37, 1998, Mar Average, Canada, CAN
-5.8479, 1998, Apr Average, Canada, CAN
2.69854, 1998, May Average, Canada, CAN
9.22056, 1998, Jun Average, Canada, CAN
12.8029, 1998, Jul Average, Canada, CAN
11.3447, 1998, Aug Average, Canada, CAN
5.69249, 1998, Sep Average, Canada, CAN
-2.1663, 1998, Oct Average, Canada, CAN
-10.505, 1998, Nov Average, Canada, CAN
-18.317, 1998, Dec Average, Canada, CAN
-23.951, 1999, Jan Average, Canada, CAN
-19.867, 1999, Feb Average, Canada, CAN
-14.773, 1999, Mar Average, Canada, CAN
-7.1377, 1999, Apr Average, Canada, CAN
0.38315, 1999, May Average, Canada, CAN
7.9953, 1999, Jun Average, Canada, CAN
11.076, 1999, Jul Average, Canada, CAN
10.4447, 1999, Aug Average, Canada, CAN
4.81506, 1999, Sep Average, Canada, CAN
-4.4399, 1999, Oct Average, Canada, CAN
-11.639, 1999, Nov Average, Canada, CAN
-18.432, 1999, Dec Average, Canada, CAN
-23.767, 2000, Jan Average, Canada, CAN
-20.143, 2000, Feb Average, Canada, CAN
-14.731, 2000, Mar Average, Canada, CAN
-9.269, 2000, Apr Average, Canada, CAN
-0.5437, 2000, May Average, Canada, CAN
7.07799, 2000, Jun Average, Canada, CAN
11.9509, 2000, Jul Average, Canada, CAN
9.59975, 2000, Aug Average, Canada, CAN
3.44001, 2000, Sep Average, Canada, CAN
-3.8811, 2000, Oct Average, Canada, CAN
-12.423, 2000, Nov Average, Canada, CAN
-21.843, 2000, Dec Average, Canada, CAN
-20.382, 2001, Jan Average, Canada, CAN
-22.806, 2001, Feb Average, Canada, CAN
-16.292, 2001, Mar Average, Canada, CAN
-8.7747, 2001, Apr Average, Canada, CAN
0.70346, 2001, May Average, Canada, CAN
7.69781, 2001, Jun Average, Canada, CAN
11.9485, 2001, Jul Average, Canada, CAN
10.6851, 2001, Aug Average, Canada, CAN
5.46594, 2001, Sep Average, Canada, CAN
-3.8514, 2001, Oct Average, Canada, CAN
-11.9, 2001, Nov Average, Canada, CAN
-17.347, 2001, Dec Average, Canada, CAN
-22.522, 2002, Jan Average, Canada, CAN
-23.001, 2002, Feb Average, Canada, CAN
-20.418, 2002, Mar Average, Canada, CAN
-11.593, 2002, Apr Average, Canada, CAN
-1.5257, 2002, May Average, Canada, CAN
7.97074, 2002, Jun Average, Canada, CAN
11.5164, 2002, Jul Average, Canada, CAN
9.82803, 2002, Aug Average, Canada, CAN
4.86811, 2002, Sep Average, Canada, CAN
-4.0068, 2002, Oct Average, Canada, CAN
-12.222, 2002, Nov Average, Canada, CAN
-15.92, 2002, Dec Average, Canada, CAN
-21.163, 2003, Jan Average, Canada, CAN
-24.499, 2003, Feb Average, Canada, CAN
-19.449, 2003, Mar Average, Canada, CAN
-9.1842, 2003, Apr Average, Canada, CAN
0.95402, 2003, May Average, Canada, CAN
7.53927, 2003, Jun Average, Canada, CAN
12.1283, 2003, Jul Average, Canada, CAN
10.5406, 2003, Aug Average, Canada, CAN
4.98085, 2003, Sep Average, Canada, CAN
-1.9209, 2003, Oct Average, Canada, CAN
-13.107, 2003, Nov Average, Canada, CAN
-17.728, 2003, Dec Average, Canada, CAN
-26.04, 2004, Jan Average, Canada, CAN
-21.278, 2004, Feb Average, Canada, CAN
-19.104, 2004, Mar Average, Canada, CAN
-9.3776, 2004, Apr Average, Canada, CAN
-1.5075, 2004, May Average, Canada, CAN
7.2155, 2004, Jun Average, Canada, CAN
11.359, 2004, Jul Average, Canada, CAN
9.25925, 2004, Aug Average, Canada, CAN
3.74471, 2004, Sep Average, Canada, CAN
-3.8439, 2004, Oct Average, Canada, CAN
-12.985, 2004, Nov Average, Canada, CAN
-22.368, 2004, Dec Average, Canada, CAN
-24.408, 2005, Jan Average, Canada, CAN
-20.915, 2005, Feb Average, Canada, CAN
-16.11, 2005, Mar Average, Canada, CAN
-6.7211, 2005, Apr Average, Canada, CAN
1.10505, 2005, May Average, Canada, CAN
8.32033, 2005, Jun Average, Canada, CAN
11.251, 2005, Jul Average, Canada, CAN
10.1182, 2005, Aug Average, Canada, CAN
4.53055, 2005, Sep Average, Canada, CAN
-2.3815, 2005, Oct Average, Canada, CAN
-11.452, 2005, Nov Average, Canada, CAN
-17.529, 2005, Dec Average, Canada, CAN
-20.131, 2006, Jan Average, Canada, CAN
-19.681, 2006, Feb Average, Canada, CAN
-15.406, 2006, Mar Average, Canada, CAN
-6.7229, 2006, Apr Average, Canada, CAN
2.40538, 2006, May Average, Canada, CAN
9.25561, 2006, Jun Average, Canada, CAN
12.127, 2006, Jul Average, Canada, CAN
10.5296, 2006, Aug Average, Canada, CAN
5.58873, 2006, Sep Average, Canada, CAN
-2.9962, 2006, Oct Average, Canada, CAN
-14.24, 2006, Nov Average, Canada, CAN
-16.335, 2006, Dec Average, Canada, CAN
-21.003, 2007, Jan Average, Canada, CAN
-22.507, 2007, Feb Average, Canada, CAN
-19.143, 2007, Mar Average, Canada, CAN
-7.8465, 2007, Apr Average, Canada, CAN
-0.4438, 2007, May Average, Canada, CAN
8.14116, 2007, Jun Average, Canada, CAN
12.8729, 2007, Jul Average, Canada, CAN
9.85352, 2007, Aug Average, Canada, CAN
3.66926, 2007, Sep Average, Canada, CAN
-2.8281, 2007, Oct Average, Canada, CAN
