"","Temperature - (Celsius)","Year","Statistics","Country","ISO3"
"1",27.9029,1961,"Jan Average","Australia","AUS"
"2",27.102,1961,"Feb Average","Australia","AUS"
"3",25.6373,1961,"Mar Average","Australia","AUS"
"4",22.5122,1961,"Apr Average","Australia","AUS"
"5",17.4204,1961,"May Average","Australia","AUS"
"6",14.7775,1961,"Jun Average","Australia","AUS"
"7",13.2322,1961,"Jul Average","Australia","AUS"
"8",14.9156,1961,"Aug Average","Australia","AUS"
"9",19.8025,1961,"Sep Average","Australia","AUS"
"10",23.6339,1961,"Oct Average","Australia","AUS"
"11",25.2976,1961,"Nov Average","Australia","AUS"
"12",27.4355,1961,"Dec Average","Australia","AUS"
"13",27.602,1962,"Jan Average","Australia","AUS"
"14",27.1428,1962,"Feb Average","Australia","AUS"
"15",24.9911,1962,"Mar Average","Australia","AUS"
"16",21.6029,1962,"Apr Average","Australia","AUS"
"17",17.0157,1962,"May Average","Australia","AUS"
"18",16.3912,1962,"Jun Average","Australia","AUS"
"19",14.3947,1962,"Jul Average","Australia","AUS"
"20",15.2946,1962,"Aug Average","Australia","AUS"
"21",18.6379,1962,"Sep Average","Australia","AUS"
"22",22.1083,1962,"Oct Average","Australia","AUS"
"23",25.99,1962,"Nov Average","Australia","AUS"
"24",26.8161,1962,"Dec Average","Australia","AUS"
"25",27.1246,1963,"Jan Average","Australia","AUS"
"26",27.1846,1963,"Feb Average","Australia","AUS"
"27",25.8717,1963,"Mar Average","Australia","AUS"
"28",21.1134,1963,"Apr Average","Australia","AUS"
"29",18.0997,1963,"May Average","Australia","AUS"
"30",14.5185,1963,"Jun Average","Australia","AUS"
"31",13.5394,1963,"Jul Average","Australia","AUS"
"32",15.6429,1963,"Aug Average","Australia","AUS"
"33",18.8389,1963,"Sep Average","Australia","AUS"
"34",22.6546,1963,"Oct Average","Australia","AUS"
"35",25.1617,1963,"Nov Average","Australia","AUS"
"36",27.2154,1963,"Dec Average","Australia","AUS"
"37",27.5318,1964,"Jan Average","Australia","AUS"
"38",26.4796,1964,"Feb Average","Australia","AUS"
"39",25.6381,1964,"Mar Average","Australia","AUS"
"40",22.0299,1964,"Apr Average","Australia","AUS"
"41",17.5523,1964,"May Average","Australia","AUS"
"42",15.1977,1964,"Jun Average","Australia","AUS"
"43",14.8064,1964,"Jul Average","Australia","AUS"
"44",15.8325,1964,"Aug Average","Australia","AUS"
"45",19.3187,1964,"Sep Average","Australia","AUS"
"46",20.9474,1964,"Oct Average","Australia","AUS"
"47",24.6376,1964,"Nov Average","Australia","AUS"
"48",25.8078,1964,"Dec Average","Australia","AUS"
"49",27.7428,1965,"Jan Average","Australia","AUS"
"50",28.5175,1965,"Feb Average","Australia","AUS"
"51",25.293,1965,"Mar Average","Australia","AUS"
"52",21.3271,1965,"Apr Average","Australia","AUS"
"53",18.3382,1965,"May Average","Australia","AUS"
"54",15.1729,1965,"Jun Average","Australia","AUS"
"55",13.0195,1965,"Jul Average","Australia","AUS"
"56",15.9999,1965,"Aug Average","Australia","AUS"
"57",19.8278,1965,"Sep Average","Australia","AUS"
"58",23.3388,1965,"Oct Average","Australia","AUS"
"59",25.358,1965,"Nov Average","Australia","AUS"
"60",27.4251,1965,"Dec Average","Australia","AUS"
"61",27.5387,1966,"Jan Average","Australia","AUS"
"62",26.8971,1966,"Feb Average","Australia","AUS"
"63",25.3945,1966,"Mar Average","Australia","AUS"
"64",22.1106,1966,"Apr Average","Australia","AUS"
"65",16.8984,1966,"May Average","Australia","AUS"
"66",15.0635,1966,"Jun Average","Australia","AUS"
"67",13.53,1966,"Jul Average","Australia","AUS"
"68",14.7369,1966,"Aug Average","Australia","AUS"
"69",18.2889,1966,"Sep Average","Australia","AUS"
"70",21.0361,1966,"Oct Average","Australia","AUS"
"71",24.8905,1966,"Nov Average","Australia","AUS"
"72",25.9373,1966,"Dec Average","Australia","AUS"
"73",27.8155,1967,"Jan Average","Australia","AUS"
"74",26.4497,1967,"Feb Average","Australia","AUS"
"75",23.8227,1967,"Mar Average","Australia","AUS"
"76",22.4235,1967,"Apr Average","Australia","AUS"
"77",18.0506,1967,"May Average","Australia","AUS"
"78",14.8653,1967,"Jun Average","Australia","AUS"
"79",13.2966,1967,"Jul Average","Australia","AUS"
"80",14.7755,1967,"Aug Average","Australia","AUS"
"81",18.566,1967,"Sep Average","Australia","AUS"
"82",24.1231,1967,"Oct Average","Australia","AUS"
"83",25.5052,1967,"Nov Average","Australia","AUS"
"84",26.5303,1967,"Dec Average","Australia","AUS"
"85",28.2128,1968,"Jan Average","Australia","AUS"
"86",27.5345,1968,"Feb Average","Australia","AUS"
"87",25.5781,1968,"Mar Average","Australia","AUS"
