"","Temperature - (Celsius)","Year","Statistics","Country","ISO3"
"1",25.6757,1961,"Jan Average","Brazil","BRA"
"2",25.4984,1961,"Feb Average","Brazil","BRA"
"3",25.5365,1961,"Mar Average","Brazil","BRA"
"4",25.301,1961,"Apr Average","Brazil","BRA"
"5",24.4658,1961,"May Average","Brazil","BRA"
"6",23.2587,1961,"Jun Average","Brazil","BRA"
"7",23.5458,1961,"Jul Average","Brazil","BRA"
"8",25.1655,1961,"Aug Average","Brazil","BRA"
"9",26.2514,1961,"Sep Average","Brazil","BRA"
"10",26.1581,1961,"Oct Average","Brazil","BRA"
"11",26.0869,1961,"Nov Average","Brazil","BRA"
"12",25.4432,1961,"Dec Average","Brazil","BRA"
"13",25.5758,1962,"Jan Average","Brazil","BRA"
"14",25.6704,1962,"Feb Average","Brazil","BRA"
"15",25.6064,1962,"Mar Average","Brazil","BRA"
"16",24.8705,1962,"Apr Average","Brazil","BRA"
"17",23.9019,1962,"May Average","Brazil","BRA"
"18",22.9148,1962,"Jun Average","Brazil","BRA"
"19",22.5777,1962,"Jul Average","Brazil","BRA"
"20",24.4112,1962,"Aug Average","Brazil","BRA"
"21",25.8153,1962,"Sep Average","Brazil","BRA"
"22",25.2797,1962,"Oct Average","Brazil","BRA"
"23",26.0716,1962,"Nov Average","Brazil","BRA"
"24",25.7458,1962,"Dec Average","Brazil","BRA"
"25",25.8617,1963,"Jan Average","Brazil","BRA"
"26",25.3884,1963,"Feb Average","Brazil","BRA"
"27",25.6087,1963,"Mar Average","Brazil","BRA"
"28",25.1105,1963,"Apr Average","Brazil","BRA"
"29",23.9397,1963,"May Average","Brazil","BRA"
"30",23.0859,1963,"Jun Average","Brazil","BRA"
"31",23.6093,1963,"Jul Average","Brazil","BRA"
"32",24.896,1963,"Aug Average","Brazil","BRA"
"33",26.1908,1963,"Sep Average","Brazil","BRA"
"34",27.096,1963,"Oct Average","Brazil","BRA"
"35",26.2858,1963,"Nov Average","Brazil","BRA"
"36",25.9114,1963,"Dec Average","Brazil","BRA"
"37",25.8225,1964,"Jan Average","Brazil","BRA"
"38",26.0198,1964,"Feb Average","Brazil","BRA"
"39",25.5102,1964,"Mar Average","Brazil","BRA"
"40",25.3251,1964,"Apr Average","Brazil","BRA"
"41",24.0306,1964,"May Average","Brazil","BRA"
"42",22.9162,1964,"Jun Average","Brazil","BRA"
"43",22.9876,1964,"Jul Average","Brazil","BRA"
"44",24.602,1964,"Aug Average","Brazil","BRA"
"45",25.3985,1964,"Sep Average","Brazil","BRA"
"46",25.1414,1964,"Oct Average","Brazil","BRA"
"47",25.1479,1964,"Nov Average","Brazil","BRA"
"48",25.279,1964,"Dec Average","Brazil","BRA"
"49",25.4036,1965,"Jan Average","Brazil","BRA"
"50",25.5993,1965,"Feb Average","Brazil","BRA"
"51",24.8157,1965,"Mar Average","Brazil","BRA"
"52",24.7844,1965,"Apr Average","Brazil","BRA"
"53",24.4066,1965,"May Average","Brazil","BRA"
"54",23.8641,1965,"Jun Average","Brazil","BRA"
"55",23.5337,1965,"Jul Average","Brazil","BRA"
"56",24.592,1965,"Aug Average","Brazil","BRA"
"57",25.8618,1965,"Sep Average","Brazil","BRA"
"58",25.9486,1965,"Oct Average","Brazil","BRA"
"59",25.8345,1965,"Nov Average","Brazil","BRA"
"60",25.9419,1965,"Dec Average","Brazil","BRA"
"61",26.1386,1966,"Jan Average","Brazil","BRA"
"62",26.0293,1966,"Feb Average","Brazil","BRA"
"63",25.7159,1966,"Mar Average","Brazil","BRA"
"64",25.2121,1966,"Apr Average","Brazil","BRA"
"65",24.5689,1966,"May Average","Brazil","BRA"
"66",23.8725,1966,"Jun Average","Brazil","BRA"
"67",23.5716,1966,"Jul Average","Brazil","BRA"
"68",24.0519,1966,"Aug Average","Brazil","BRA"
"69",24.979,1966,"Sep Average","Brazil","BRA"
"70",26.1427,1966,"Oct Average","Brazil","BRA"
"71",25.8076,1966,"Nov Average","Brazil","BRA"
"72",25.9908,1966,"Dec Average","Brazil","BRA"
"73",25.726,1967,"Jan Average","Brazil","BRA"
"74",25.5474,1967,"Feb Average","Brazil","BRA"
"75",25.2475,1967,"Mar Average","Brazil","BRA"
"76",24.9026,1967,"Apr Average","Brazil","BRA"
"77",24.7259,1967,"May Average","Brazil","BRA"
"78",23.1971,1967,"Jun Average","Brazil","BRA"
"79",23.4257,1967,"Jul Average","Brazil","BRA"
"80",24.7802,1967,"Aug Average","Brazil","BRA"
"81",25.7606,1967,"Sep Average","Brazil","BRA"
"82",26.2729,1967,"Oct Average","Brazil","BRA"
"83",25.6561,1967,"Nov Average","Brazil","BRA"
"84",25.715,1967,"Dec Average","Brazil","BRA"
"85",25.4964,1968,"Jan Average","Brazil","BRA"
"86",25.3294,1968,"Feb Average","Brazil","BRA"
"87",25.134,1968,"Mar Average","Brazil","BRA"
"88",24.2358,1968,"Apr Average","Brazil","BRA"
"89",22.9304,1968,"May Average","Brazil","BRA"
"90",23.17,1968,"Jun Average","Brazil","BRA"
"91",23.4204,1968,"Jul Average","Brazil","BRA"
"92",24.2339,1968,"Aug Average","Brazil","BRA"
"93",24.7632,1968,"Sep Average","Brazil","BRA"
"94",25.9717,1968,"Oct Average","Brazil","BRA"
"95",26.1075,1968,"Nov Average","Brazil","BRA"
"96",25.7588,1968,"Dec Average","Brazil","BRA"
"97",25.875,1969,"Jan Average","Brazil","BRA"
"98",26.2337,1969,"Feb Average","Brazil","BRA"
"99",26.0486,1969,"Mar Average","Brazil","BRA"
"100",25.4637,1969,"Apr Average","Brazil","BRA"
"101",24.8865,1969,"May Average","Brazil","BRA"
"102",23.8625,1969,"Jun Average","Brazil","BRA"
"103",23.6474,1969,"Jul Average","Brazil","BRA"
"104",24.479,1969,"Aug Average","Brazil","BRA"
"105",25.9805,1969,"Sep Average","Brazil","BRA"
"106",25.7028,1969,"Oct Average","Brazil","BRA"
"107",26.308,1969,"Nov Average","Brazil","BRA"
"108",25.5473,1969,"Dec Average","Brazil","BRA"
"109",25.8234,1970,"Jan Average","Brazil","BRA"
"110",25.8572,1970,"Feb Average","Brazil","BRA"
"111",25.6739,1970,"Mar Average","Brazil","BRA"
"112",25.4267,1970,"Apr Average","Brazil","BRA"
"113",24.8149,1970,"May Average","Brazil","BRA"
"114",23.9376,1970,"Jun Average","Brazil","BRA"
"115",23.3812,1970,"Jul Average","Brazil","BRA"
"116",24.2707,1970,"Aug Average","Brazil","BRA"
"117",25.2236,1970,"Sep Average","Brazil","BRA"
"118",25.9472,1970,"Oct Average","Brazil","BRA"
"119",25.5904,1970,"Nov Average","Brazil","BRA"
"120",26.1844,1970,"Dec Average","Brazil","BRA"
"121",25.6139,1971,"Jan Average","Brazil","BRA"
"122",25.2859,1971,"Feb Average","Brazil","BRA"
"123",25.3592,1971,"Mar Average","Brazil","BRA"
"124",24.4084,1971,"Apr Average","Brazil","BRA"
"125",23.4828,1971,"May Average","Brazil","BRA"
"126",22.5684,1971,"Jun Average","Brazil","BRA"
"127",23.022,1971,"Jul Average","Brazil","BRA"
"128",23.8244,1971,"Aug Average","Brazil","BRA"
"129",24.9519,1971,"Sep Average","Brazil","BRA"
"130",24.7553,1971,"Oct Average","Brazil","BRA"
"131",25.116,1971,"Nov Average","Brazil","BRA"
"132",25.7265,1971,"Dec Average","Brazil","BRA"
"133",25.2003,1972,"Jan Average","Brazil","BRA"
"134",25.2349,1972,"Feb Average","Brazil","BRA"
"135",25.5643,1972,"Mar Average","Brazil","BRA"
"136",24.4832,1972,"Apr Average","Brazil","BRA"
"137",24.5186,1972,"May Average","Brazil","BRA"
"138",24.3302,1972,"Jun Average","Brazil","BRA"
"139",23.601,1972,"Jul Average","Brazil","BRA"
"140",24.1567,1972,"Aug Average","Brazil","BRA"
"141",25.2934,1972,"Sep Average","Brazil","BRA"
"142",25.773,1972,"Oct Average","Brazil","BRA"
"143",26.126,1972,"Nov Average","Brazil","BRA"
"144",26.1176,1972,"Dec Average","Brazil","BRA"
"145",26.4473,1973,"Jan Average","Brazil","BRA"
"146",26.323,1973,"Feb Average","Brazil","BRA"
"147",26.0942,1973,"Mar Average","Brazil","BRA"
"148",25.819,1973,"Apr Average","Brazil","BRA"
"149",24.2352,1973,"May Average","Brazil","BRA"
"150",23.9831,1973,"Jun Average","Brazil","BRA"
"151",22.8785,1973,"Jul Average","Brazil","BRA"
"152",23.6984,1973,"Aug Average","Brazil","BRA"
"153",24.7812,1973,"Sep Average","Brazil","BRA"
"154",25.7597,1973,"Oct Average","Brazil","BRA"
"155",25.4344,1973,"Nov Average","Brazil","BRA"
"156",25.5076,1973,"Dec Average","Brazil","BRA"
"157",25.2484,1974,"Jan Average","Brazil","BRA"
"158",25.3404,1974,"Feb Average","Brazil","BRA"
"159",24.7578,1974,"Mar Average","Brazil","BRA"
"160",24.6087,1974,"Apr Average","Brazil","BRA"
"161",23.7818,1974,"May Average","Brazil","BRA"
"162",22.9627,1974,"Jun Average","Brazil","BRA"
"163",22.7203,1974,"Jul Average","Brazil","BRA"
"164",23.8054,1974,"Aug Average","Brazil","BRA"
"165",24.8112,1974,"Sep Average","Brazil","BRA"
"166",25.0914,1974,"Oct Average","Brazil","BRA"
"167",25.298,1974,"Nov Average","Brazil","BRA"
