"","Temperature - (Celsius)","Year","Statistics","Country","ISO3"
"1",-24.571,1961,"Jan Average","Canada","CAN"
"2",-22.812,1961,"Feb Average","Canada","CAN"
"3",-20.402,1961,"Mar Average","Canada","CAN"
"4",-9.99,1961,"Apr Average","Canada","CAN"
"5",-1.0889,1961,"May Average","Canada","CAN"
"6",7.98074,1961,"Jun Average","Canada","CAN"
"7",11.8307,1961,"Jul Average","Canada","CAN"
"8",9.95905,1961,"Aug Average","Canada","CAN"
"9",2.35583,1961,"Sep Average","Canada","CAN"
"10",-5.5373,1961,"Oct Average","Canada","CAN"
"11",-13.965,1961,"Nov Average","Canada","CAN"
"12",-22.447,1961,"Dec Average","Canada","CAN"
"13",-25.147,1962,"Jan Average","Canada","CAN"
"14",-26.176,1962,"Feb Average","Canada","CAN"
"15",-17.012,1962,"Mar Average","Canada","CAN"
"16",-10.372,1962,"Apr Average","Canada","CAN"
"17",-1.5125,1962,"May Average","Canada","CAN"
"18",7.66347,1962,"Jun Average","Canada","CAN"
"19",11.1933,1962,"Jul Average","Canada","CAN"
"20",9.97706,1962,"Aug Average","Canada","CAN"
"21",3.81487,1962,"Sep Average","Canada","CAN"
"22",-2.9192,1962,"Oct Average","Canada","CAN"
"23",-13.328,1962,"Nov Average","Canada","CAN"
"24",-19.902,1962,"Dec Average","Canada","CAN"
"25",-25.084,1963,"Jan Average","Canada","CAN"
"26",-22.26,1963,"Feb Average","Canada","CAN"
"27",-20.755,1963,"Mar Average","Canada","CAN"
"28",-8.0559,1963,"Apr Average","Canada","CAN"
"29",-0.9699,1963,"May Average","Canada","CAN"
"30",6.93811,1963,"Jun Average","Canada","CAN"
"31",11.3588,1963,"Jul Average","Canada","CAN"
"32",9.88815,1963,"Aug Average","Canada","CAN"
"33",3.34786,1963,"Sep Average","Canada","CAN"
"34",-2.2787,1963,"Oct Average","Canada","CAN"
"35",-13.216,1963,"Nov Average","Canada","CAN"
"36",-20.425,1963,"Dec Average","Canada","CAN"
"37",-23.948,1964,"Jan Average","Canada","CAN"
"38",-21.172,1964,"Feb Average","Canada","CAN"
"39",-23.057,1964,"Mar Average","Canada","CAN"
"40",-11.352,1964,"Apr Average","Canada","CAN"
"41",-0.3296,1964,"May Average","Canada","CAN"
"42",6.59702,1964,"Jun Average","Canada","CAN"
"43",10.9128,1964,"Jul Average","Canada","CAN"
"44",9.13159,1964,"Aug Average","Canada","CAN"
"45",3.02751,1964,"Sep Average","Canada","CAN"
"46",-4.2525,1964,"Oct Average","Canada","CAN"
"47",-14.059,1964,"Nov Average","Canada","CAN"
"48",-23.655,1964,"Dec Average","Canada","CAN"
"49",-25.537,1965,"Jan Average","Canada","CAN"
"50",-25.93,1965,"Feb Average","Canada","CAN"
"51",-18.356,1965,"Mar Average","Canada","CAN"
"52",-9.518,1965,"Apr Average","Canada","CAN"
"53",0.26096,1965,"May Average","Canada","CAN"
"54",6.39495,1965,"Jun Average","Canada","CAN"
"55",10.4211,1965,"Jul Average","Canada","CAN"
"56",9.09029,1965,"Aug Average","Canada","CAN"
"57",1.67912,1965,"Sep Average","Canada","CAN"
"58",-4.8344,1965,"Oct Average","Canada","CAN"
"59",-14.348,1965,"Nov Average","Canada","CAN"
"60",-20.488,1965,"Dec Average","Canada","CAN"
"61",-28.367,1966,"Jan Average","Canada","CAN"
"62",-22.301,1966,"Feb Average","Canada","CAN"
"63",-17.737,1966,"Mar Average","Canada","CAN"
"64",-11.156,1966,"Apr Average","Canada","CAN"
"65",-0.0794,1966,"May Average","Canada","CAN"
"66",7.36513,1966,"Jun Average","Canada","CAN"
"67",11.3856,1966,"Jul Average","Canada","CAN"
"68",9.94965,1966,"Aug Average","Canada","CAN"
"69",4.80353,1966,"Sep Average","Canada","CAN"
"70",-5.0467,1966,"Oct Average","Canada","CAN"
"71",-17.123,1966,"Nov Average","Canada","CAN"
"72",-20.502,1966,"Dec Average","Canada","CAN"
"73",-24.572,1967,"Jan Average","Canada","CAN"
"74",-26.08,1967,"Feb Average","Canada","CAN"
"75",-20.939,1967,"Mar Average","Canada","CAN"
"76",-11.68,1967,"Apr Average","Canada","CAN"
"77",-0.4472,1967,"May Average","Canada","CAN"
"78",6.86649,1967,"Jun Average","Canada","CAN"
"79",10.7277,1967,"Jul Average","Canada","CAN"
"80",9.82366,1967,"Aug Average","Canada","CAN"
"81",4.30979,1967,"Sep Average","Canada","CAN"
"82",-3.7117,1967,"Oct Average","Canada","CAN"
"83",-14.394,1967,"Nov Average","Canada","CAN"
"84",-19.074,1967,"Dec Average","Canada","CAN"
"85",-25.867,1968,"Jan Average","Canada","CAN"
"86",-22.834,1968,"Feb Average","Canada","CAN"
"87",-16.238,1968,"Mar Average","Canada","CAN"
"88",-9.5142,1968,"Apr Average","Canada","CAN"
"89",-0.4307,1968,"May Average","Canada","CAN"
"90",6.8734,1968,"Jun Average","Canada","CAN"
"91",10.209,1968,"Jul Average","Canada","CAN"
"92",8.38413,1968,"Aug Average","Canada","CAN"
"93",4.70434,1968,"Sep Average","Canada","CAN"
"94",-2.2533,1968,"Oct Average","Canada","CAN"
"95",-13.354,1968,"Nov Average","Canada","CAN"
"96",-22.107,1968,"Dec Average","Canada","CAN"
"97",-26.245,1969,"Jan Average","Canada","CAN"
"98",-20.471,1969,"Feb Average","Canada","CAN"
"99",-18.649,1969,"Mar Average","Canada","CAN"
"100",-8.8256,1969,"Apr Average","Canada","CAN"
"101",-0.8253,1969,"May Average","Canada","CAN"
"102",6.10342,1969,"Jun Average","Canada","CAN"
"103",10.7491,1969,"Jul Average","Canada","CAN"
"104",9.96338,1969,"Aug Average","Canada","CAN"
"105",3.23964,1969,"Sep Average","Canada","CAN"
"106",-3.7603,1969,"Oct Average","Canada","CAN"
"107",-13.472,1969,"Nov Average","Canada","CAN"
"108",-16.841,1969,"Dec Average","Canada","CAN"
"109",-24.875,1970,"Jan Average","Canada","CAN"
"110",-22.899,1970,"Feb Average","Canada","CAN"
"111",-17.491,1970,"Mar Average","Canada","CAN"
"112",-10.191,1970,"Apr Average","Canada","CAN"
"113",-1.5701,1970,"May Average","Canada","CAN"
"114",7.58099,1970,"Jun Average","Canada","CAN"
"115",11.5285,1970,"Jul Average","Canada","CAN"
"116",10.0692,1970,"Aug Average","Canada","CAN"
"117",3.29204,1970,"Sep Average","Canada","CAN"
"118",-3.6619,1970,"Oct Average","Canada","CAN"
"119",-13.886,1970,"Nov Average","Canada","CAN"
"120",-24.38,1970,"Dec Average","Canada","CAN"
"121",-26.33,1971,"Jan Average","Canada","CAN"
"122",-22.421,1971,"Feb Average","Canada","CAN"
"123",-17.93,1971,"Mar Average","Canada","CAN"
"124",-8.9378,1971,"Apr Average","Canada","CAN"
"125",0.53579,1971,"May Average","Canada","CAN"
