"","Temperature....Celsius.","Year","Statistics","Country","ISO3"
"1",-8.9863,1961," Jan Average"," China"," CHN"
"2",-5.8511,1961," Feb Average"," China"," CHN"
"3",0.65124,1961," Mar Average"," China"," CHN"
"4",8.44423,1961," Apr Average"," China"," CHN"
"5",12.8587,1961," May Average"," China"," CHN"
"6",17.7942,1961," Jun Average"," China"," CHN"
"7",19.9692,1961," Jul Average"," China"," CHN"
"8",18.5865,1961," Aug Average"," China"," CHN"
"9",14.0901,1961," Sep Average"," China"," CHN"
"10",7.26981,1961," Oct Average"," China"," CHN"
"11",-0.0938,1961," Nov Average"," China"," CHN"
"12",-7.0976,1961," Dec Average"," China"," CHN"
"13",-9.3311,1962," Jan Average"," China"," CHN"
"14",-5.1364,1962," Feb Average"," China"," CHN"
"15",-0.083,1962," Mar Average"," China"," CHN"
"16",6.99097,1962," Apr Average"," China"," CHN"
"17",12.9599,1962," May Average"," China"," CHN"
"18",17.0661,1962," Jun Average"," China"," CHN"
"19",19.7165,1962," Jul Average"," China"," CHN"
"20",18.5478,1962," Aug Average"," China"," CHN"
"21",14.2668,1962," Sep Average"," China"," CHN"
"22",7.14313,1962," Oct Average"," China"," CHN"
"23",-1.8258,1962," Nov Average"," China"," CHN"
"24",-6.331,1962," Dec Average"," China"," CHN"
"25",-9.5469,1963," Jan Average"," China"," CHN"
"26",-5.4424,1963," Feb Average"," China"," CHN"
"27",1.74298,1963," Mar Average"," China"," CHN"
"28",6.91957,1963," Apr Average"," China"," CHN"
"29",13.4731,1963," May Average"," China"," CHN"
"30",17.0433,1963," Jun Average"," China"," CHN"
"31",19.4417,1963," Jul Average"," China"," CHN"
"32",18.8807,1963," Aug Average"," China"," CHN"
"33",14.3273,1963," Sep Average"," China"," CHN"
"34",7.0424,1963," Oct Average"," China"," CHN"
"35",-0.1879,1963," Nov Average"," China"," CHN"
"36",-6.6137,1963," Dec Average"," China"," CHN"
"37",-8.7225,1964," Jan Average"," China"," CHN"
"38",-8.8843,1964," Feb Average"," China"," CHN"
"39",0.71378,1964," Mar Average"," China"," CHN"
"40",8.4706,1964," Apr Average"," China"," CHN"
"41",12.8326,1964," May Average"," China"," CHN"
"42",16.6306,1964," Jun Average"," China"," CHN"
"43",19.1949,1964," Jul Average"," China"," CHN"
"44",18.5855,1964," Aug Average"," China"," CHN"
"45",13.825,1964," Sep Average"," China"," CHN"
"46",7.30177,1964," Oct Average"," China"," CHN"
"47",-0.3577,1964," Nov Average"," China"," CHN"
"48",-6.8968,1964," Dec Average"," China"," CHN"
"49",-7.8405,1965," Jan Average"," China"," CHN"
"50",-6.0055,1965," Feb Average"," China"," CHN"
"51",-0.4051,1965," Mar Average"," China"," CHN"
"52",7.12027,1965," Apr Average"," China"," CHN"
"53",13.24,1965," May Average"," China"," CHN"
"54",17.1951,1965," Jun Average"," China"," CHN"
"55",19.2078,1965," Jul Average"," China"," CHN"
"56",17.8315,1965," Aug Average"," China"," CHN"
"57",13.5826,1965," Sep Average"," China"," CHN"
"58",7.73884,1965," Oct Average"," China"," CHN"
"59",-0.3812,1965," Nov Average"," China"," CHN"
"60",-7.8575,1965," Dec Average"," China"," CHN"
"61",-8.1246,1966," Jan Average"," China"," CHN"
"62",-4.3329,1966," Feb Average"," China"," CHN"
"63",0.94131,1966," Mar Average"," China"," CHN"
"64",6.87355,1966," Apr Average"," China"," CHN"
"65",12.788,1966," May Average"," China"," CHN"
"66",17.1235,1966," Jun Average"," China"," CHN"
"67",19.3095,1966," Jul Average"," China"," CHN"
"68",19.0461,1966," Aug Average"," China"," CHN"
"69",13.4872,1966," Sep Average"," China"," CHN"
"70",7.1454,1966," Oct Average"," China"," CHN"
"71",-1.2295,1966," Nov Average"," China"," CHN"
"72",-8.107,1966," Dec Average"," China"," CHN"
"73",-9.4485,1967," Jan Average"," China"," CHN"
"74",-6.721,1967," Feb Average"," China"," CHN"
"75",0.31989,1967," Mar Average"," China"," CHN"
"76",7.24837,1967," Apr Average"," China"," CHN"
"77",13.9474,1967," May Average"," China"," CHN"
"78",16.8732,1967," Jun Average"," China"," CHN"
"79",19.4921,1967," Jul Average"," China"," CHN"
"80",18.8829,1967," Aug Average"," China"," CHN"
"81",13.3343,1967," Sep Average"," China"," CHN"
"82",7.09258,1967," Oct Average"," China"," CHN"
"83",-2.579,1967," Nov Average"," China"," CHN"
"84",-8.7894,1967," Dec Average"," China"," CHN"
"85",-9.0934,1968," Jan Average"," China"," CHN"
"86",-8.4304,1968," Feb Average"," China"," CHN"
"87",1.37812,1968," Mar Average"," China"," CHN"
