"","Temperature....Celsius.","Year","Statistics","Country","ISO3"
"1",-0.8515,1961," Jan Average"," Germany"," DEU"
"2",4.32521,1961," Feb Average"," Germany"," DEU"
"3",6.38867,1961," Mar Average"," Germany"," DEU"
"4",10.7017,1961," Apr Average"," Germany"," DEU"
"5",10.504,1961," May Average"," Germany"," DEU"
"6",16.1911,1961," Jun Average"," Germany"," DEU"
"7",15.4469,1961," Jul Average"," Germany"," DEU"
"8",16.1292,1961," Aug Average"," Germany"," DEU"
"9",16.6428,1961," Sep Average"," Germany"," DEU"
"10",10.8277,1961," Oct Average"," Germany"," DEU"
"11",3.87583,1961," Nov Average"," Germany"," DEU"
"12",-0.6854,1961," Dec Average"," Germany"," DEU"
"13",1.56864,1962," Jan Average"," Germany"," DEU"
"14",0.42346,1962," Feb Average"," Germany"," DEU"
"15",0.60173,1962," Mar Average"," Germany"," DEU"
"16",8.36919,1962," Apr Average"," Germany"," DEU"
"17",9.92039,1962," May Average"," Germany"," DEU"
"18",14.3177,1962," Jun Average"," Germany"," DEU"
"19",15.2665,1962," Jul Average"," Germany"," DEU"
"20",16.2822,1962," Aug Average"," Germany"," DEU"
"21",12.8211,1962," Sep Average"," Germany"," DEU"
"22",9.27548,1962," Oct Average"," Germany"," DEU"
"23",2.82667,1962," Nov Average"," Germany"," DEU"
"24",-3.1206,1962," Dec Average"," Germany"," DEU"
"25",-7.2633,1963," Jan Average"," Germany"," DEU"
"26",-5.4575,1963," Feb Average"," Germany"," DEU"
"27",2.68816,1963," Mar Average"," Germany"," DEU"
"28",8.51753,1963," Apr Average"," Germany"," DEU"
"29",12.021,1963," May Average"," Germany"," DEU"
"30",15.9452,1963," Jun Average"," Germany"," DEU"
"31",17.9514,1963," Jul Average"," Germany"," DEU"
"32",16.327,1963," Aug Average"," Germany"," DEU"
"33",14.1364,1963," Sep Average"," Germany"," DEU"
"34",8.4963,1963," Oct Average"," Germany"," DEU"
"35",7.38511,1963," Nov Average"," Germany"," DEU"
"36",-2.937,1963," Dec Average"," Germany"," DEU"
"37",-2.3693,1964," Jan Average"," Germany"," DEU"
"38",0.55895,1964," Feb Average"," Germany"," DEU"
"39",0.87795,1964," Mar Average"," Germany"," DEU"
"40",8.81678,1964," Apr Average"," Germany"," DEU"
"41",13.6159,1964," May Average"," Germany"," DEU"
"42",17.0476,1964," Jun Average"," Germany"," DEU"
"43",18.1528,1964," Jul Average"," Germany"," DEU"
"44",16.2824,1964," Aug Average"," Germany"," DEU"
"45",14.0763,1964," Sep Average"," Germany"," DEU"
"46",7.2904,1964," Oct Average"," Germany"," DEU"
"47",5.01066,1964," Nov Average"," Germany"," DEU"
"48",0.46236,1964," Dec Average"," Germany"," DEU"
"49",1.0244,1965," Jan Average"," Germany"," DEU"
"50",-1.6934,1965," Feb Average"," Germany"," DEU"
"51",2.65566,1965," Mar Average"," Germany"," DEU"
"52",6.9217,1965," Apr Average"," Germany"," DEU"
"53",11.1188,1965," May Average"," Germany"," DEU"
"54",15.6023,1965," Jun Average"," Germany"," DEU"
"55",15.1929,1965," Jul Average"," Germany"," DEU"
"56",15.3703,1965," Aug Average"," Germany"," DEU"
"57",13.1873,1965," Sep Average"," Germany"," DEU"
"58",8.70173,1965," Oct Average"," Germany"," DEU"
"59",1.44589,1965," Nov Average"," Germany"," DEU"
"60",2.19459,1965," Dec Average"," Germany"," DEU"
"61",-2.8191,1966," Jan Average"," Germany"," DEU"
"62",3.28408,1966," Feb Average"," Germany"," DEU"
"63",3.53344,1966," Mar Average"," Germany"," DEU"
"64",8.66779,1966," Apr Average"," Germany"," DEU"
"65",12.997,1966," May Average"," Germany"," DEU"
"66",16.9452,1966," Jun Average"," Germany"," DEU"
"67",15.8211,1966," Jul Average"," Germany"," DEU"
"68",15.8388,1966," Aug Average"," Germany"," DEU"
"69",13.7336,1966," Sep Average"," Germany"," DEU"
"70",11.24,1966," Oct Average"," Germany"," DEU"
"71",2.37993,1966," Nov Average"," Germany"," DEU"
"72",1.73361,1966," Dec Average"," Germany"," DEU"
"73",0.40641,1967," Jan Average"," Germany"," DEU"
