"","Temperature....Celsius.","Year","Statistics","Country","ISO3"
"1",3.16961,1961," Jan Average"," France"," FRA"
"2",7.34383,1961," Feb Average"," France"," FRA"
"3",8.07103,1961," Mar Average"," France"," FRA"
"4",11.7598,1961," Apr Average"," France"," FRA"
"5",12.5315,1961," May Average"," France"," FRA"
"6",16.7146,1961," Jun Average"," France"," FRA"
"7",17.7418,1961," Jul Average"," France"," FRA"
"8",17.8555,1961," Aug Average"," France"," FRA"
"9",18.5682,1961," Sep Average"," France"," FRA"
"10",12.2888,1961," Oct Average"," France"," FRA"
"11",6.19707,1961," Nov Average"," France"," FRA"
"12",4.35235,1961," Dec Average"," France"," FRA"
"13",4.69997,1962," Jan Average"," France"," FRA"
"14",3.43905,1962," Feb Average"," France"," FRA"
"15",3.82236,1962," Mar Average"," France"," FRA"
"16",9.08865,1962," Apr Average"," France"," FRA"
"17",11.5158,1962," May Average"," France"," FRA"
"18",15.8442,1962," Jun Average"," France"," FRA"
"19",17.6795,1962," Jul Average"," France"," FRA"
"20",18.7108,1962," Aug Average"," France"," FRA"
"21",15.4448,1962," Sep Average"," France"," FRA"
"22",11.7763,1962," Oct Average"," France"," FRA"
"23",5.01708,1962," Nov Average"," France"," FRA"
"24",0.91417,1962," Dec Average"," France"," FRA"
"25",-1.7497,1963," Jan Average"," France"," FRA"
"26",-0.609,1963," Feb Average"," France"," FRA"
"27",6.29772,1963," Mar Average"," France"," FRA"
"28",9.63992,1963," Apr Average"," France"," FRA"
"29",12.1601,1963," May Average"," France"," FRA"
"30",15.7891,1963," Jun Average"," France"," FRA"
"31",18.5954,1963," Jul Average"," France"," FRA"
"32",16.4073,1963," Aug Average"," France"," FRA"
"33",15.0938,1963," Sep Average"," France"," FRA"
"34",11.1728,1963," Oct Average"," France"," FRA"
"35",9.19442,1963," Nov Average"," France"," FRA"
"36",0.89365,1963," Dec Average"," France"," FRA"
"37",0.67696,1964," Jan Average"," France"," FRA"
"38",5.04595,1964," Feb Average"," France"," FRA"
"39",5.39934,1964," Mar Average"," France"," FRA"
"40",9.56292,1964," Apr Average"," France"," FRA"
"41",14.5938,1964," May Average"," France"," FRA"
"42",16.9058,1964," Jun Average"," France"," FRA"
"43",19.7614,1964," Jul Average"," France"," FRA"
"44",18.2525,1964," Aug Average"," France"," FRA"
"45",16.7165,1964," Sep Average"," France"," FRA"
"46",9.54793,1964," Oct Average"," France"," FRA"
"47",6.79665,1964," Nov Average"," France"," FRA"
"48",2.80064,1964," Dec Average"," France"," FRA"
"49",3.39792,1965," Jan Average"," France"," FRA"
"50",1.32532,1965," Feb Average"," France"," FRA"
"51",6.46908,1965," Mar Average"," France"," FRA"
"52",8.67083,1965," Apr Average"," France"," FRA"
"53",12.7091,1965," May Average"," France"," FRA"
"54",16.1955,1965," Jun Average"," France"," FRA"
"55",16.7105,1965," Jul Average"," France"," FRA"
"56",17.0563,1965," Aug Average"," France"," FRA"
"57",13.6086,1965," Sep Average"," France"," FRA"
"58",12.009,1965," Oct Average"," France"," FRA"
"59",6.26721,1965," Nov Average"," France"," FRA"
"60",5.64021,1965," Dec Average"," France"," FRA"
"61",2.25897,1966," Jan Average"," France"," FRA"
"62",7.74801,1966," Feb Average"," France"," FRA"
"63",5.9979,1966," Mar Average"," France"," FRA"
"64",10.4911,1966," Apr Average"," France"," FRA"
"65",13.1363,1966," May Average"," France"," FRA"
"66",17.0347,1966," Jun Average"," France"," FRA"
"67",16.7447,1966," Jul Average"," France"," FRA"
"68",17.109,1966," Aug Average"," France"," FRA"
"69",16.4977,1966," Sep Average"," France"," FRA"
"70",12.7616,1966," Oct Average"," France"," FRA"
"71",4.81994,1966," Nov Average"," France"," FRA"
