"","Temperature....Celsius.","Year","Statistics","Country","ISO3"
"1",25.3947,1961," Jan Average"," Indonesia"," IDN"
"2",25.7323,1961," Feb Average"," Indonesia"," IDN"
"3",25.9874,1961," Mar Average"," Indonesia"," IDN"
"4",26.0448,1961," Apr Average"," Indonesia"," IDN"
"5",25.9864,1961," May Average"," Indonesia"," IDN"
"6",25.2469,1961," Jun Average"," Indonesia"," IDN"
"7",24.9706,1961," Jul Average"," Indonesia"," IDN"
"8",25.0286,1961," Aug Average"," Indonesia"," IDN"
"9",25.2884,1961," Sep Average"," Indonesia"," IDN"
"10",25.763,1961," Oct Average"," Indonesia"," IDN"
"11",25.9283,1961," Nov Average"," Indonesia"," IDN"
"12",25.911,1961," Dec Average"," Indonesia"," IDN"
"13",25.3387,1962," Jan Average"," Indonesia"," IDN"
"14",25.2544,1962," Feb Average"," Indonesia"," IDN"
"15",25.5018,1962," Mar Average"," Indonesia"," IDN"
"16",25.7846,1962," Apr Average"," Indonesia"," IDN"
"17",25.86,1962," May Average"," Indonesia"," IDN"
"18",25.458,1962," Jun Average"," Indonesia"," IDN"
"19",25.4092,1962," Jul Average"," Indonesia"," IDN"
"20",24.9688,1962," Aug Average"," Indonesia"," IDN"
"21",25.5038,1962," Sep Average"," Indonesia"," IDN"
"22",26.0599,1962," Oct Average"," Indonesia"," IDN"
"23",26.0714,1962," Nov Average"," Indonesia"," IDN"
"24",25.6819,1962," Dec Average"," Indonesia"," IDN"
"25",24.9713,1963," Jan Average"," Indonesia"," IDN"
"26",25.2258,1963," Feb Average"," Indonesia"," IDN"
"27",25.5272,1963," Mar Average"," Indonesia"," IDN"
"28",26.0676,1963," Apr Average"," Indonesia"," IDN"
"29",25.9966,1963," May Average"," Indonesia"," IDN"
"30",25.7304,1963," Jun Average"," Indonesia"," IDN"
"31",25.1329,1963," Jul Average"," Indonesia"," IDN"
"32",25.0798,1963," Aug Average"," Indonesia"," IDN"
"33",25.6274,1963," Sep Average"," Indonesia"," IDN"
"34",26.0202,1963," Oct Average"," Indonesia"," IDN"
"35",26.2902,1963," Nov Average"," Indonesia"," IDN"
"36",26.0413,1963," Dec Average"," Indonesia"," IDN"
"37",26.1057,1964," Jan Average"," Indonesia"," IDN"
"38",25.9232,1964," Feb Average"," Indonesia"," IDN"
"39",25.8071,1964," Mar Average"," Indonesia"," IDN"
"40",26.1254,1964," Apr Average"," Indonesia"," IDN"
"41",26.1464,1964," May Average"," Indonesia"," IDN"
"42",25.4765,1964," Jun Average"," Indonesia"," IDN"
"43",25.0958,1964," Jul Average"," Indonesia"," IDN"
"44",25.2261,1964," Aug Average"," Indonesia"," IDN"
"45",25.6556,1964," Sep Average"," Indonesia"," IDN"
"46",25.5669,1964," Oct Average"," Indonesia"," IDN"
"47",25.4845,1964," Nov Average"," Indonesia"," IDN"
"48",25.3464,1964," Dec Average"," Indonesia"," IDN"
"49",24.9616,1965," Jan Average"," Indonesia"," IDN"
"50",25.4699,1965," Feb Average"," Indonesia"," IDN"
"51",25.4964,1965," Mar Average"," Indonesia"," IDN"
"52",25.5369,1965," Apr Average"," Indonesia"," IDN"
"53",25.7397,1965," May Average"," Indonesia"," IDN"
"54",25.4788,1965," Jun Average"," Indonesia"," IDN"
"55",24.9256,1965," Jul Average"," Indonesia"," IDN"
"56",25.0721,1965," Aug Average"," Indonesia"," IDN"
"57",25.5204,1965," Sep Average"," Indonesia"," IDN"
"58",26.0035,1965," Oct Average"," Indonesia"," IDN"
"59",26.3975,1965," Nov Average"," Indonesia"," IDN"
"60",25.9504,1965," Dec Average"," Indonesia"," IDN"
"61",25.6955,1966," Jan Average"," Indonesia"," IDN"
"62",25.7917,1966," Feb Average"," Indonesia"," IDN"
"63",25.9101,1966," Mar Average"," Indonesia"," IDN"
"64",26.2722,1966," Apr Average"," Indonesia"," IDN"
"65",26.1694,1966," May Average"," Indonesia"," IDN"
"66",25.5001,1966," Jun Average"," Indonesia"," IDN"
"67",25.0554,1966," Jul Average"," Indonesia"," IDN"
"68",25.3719,1966," Aug Average"," Indonesia"," IDN"
"69",25.8942,1966," Sep Average"," Indonesia"," IDN"
"70",25.9016,1966," Oct Average"," Indonesia"," IDN"
"71",25.9884,1966," Nov Average"," Indonesia"," IDN"
"72",25.7086,1966," Dec Average"," Indonesia"," IDN"
"73",25.4227,1967," Jan Average"," Indonesia"," IDN"
"74",25.3306,1967," Feb Average"," Indonesia"," IDN"
"75",25.5837,1967," Mar Average"," Indonesia"," IDN"
"76",25.6889,1967," Apr Average"," Indonesia"," IDN"
"77",25.7711,1967," May Average"," Indonesia"," IDN"
"78",25.436,1967," Jun Average"," Indonesia"," IDN"
"79",25.0536,1967," Jul Average"," Indonesia"," IDN"
"80",25.4262,1967," Aug Average"," Indonesia"," IDN"
"81",25.5027,1967," Sep Average"," Indonesia"," IDN"
"82",25.913,1967," Oct Average"," Indonesia"," IDN"
"83",25.9341,1967," Nov Average"," Indonesia"," IDN"
"84",25.6752,1967," Dec Average"," Indonesia"," IDN"
"85",25.3661,1968," Jan Average"," Indonesia"," IDN"
"86",25.1887,1968," Feb Average"," Indonesia"," IDN"
"87",25.7399,1968," Mar Average"," Indonesia"," IDN"
"88",25.8057,1968," Apr Average"," Indonesia"," IDN"
"89",25.8708,1968," May Average"," Indonesia"," IDN"
"90",25.7051,1968," Jun Average"," Indonesia"," IDN"
"91",25.2854,1968," Jul Average"," Indonesia"," IDN"
"92",25.2978,1968," Aug Average"," Indonesia"," IDN"
"93",25.6951,1968," Sep Average"," Indonesia"," IDN"
"94",25.8595,1968," Oct Average"," Indonesia"," IDN"
"95",25.9362,1968," Nov Average"," Indonesia"," IDN"
"96",25.8129,1968," Dec Average"," Indonesia"," IDN"
"97",25.8503,1969," Jan Average"," Indonesia"," IDN"
"98",25.8746,1969," Feb Average"," Indonesia"," IDN"
"99",26.2029,1969," Mar Average"," Indonesia"," IDN"
"100",26.3137,1969," Apr Average"," Indonesia"," IDN"
"101",26.3354,1969," May Average"," Indonesia"," IDN"
"102",25.7466,1969," Jun Average"," Indonesia"," IDN"
"103",25.4004,1969," Jul Average"," Indonesia"," IDN"
"104",25.3551,1969," Aug Average"," Indonesia"," IDN"
"105",25.7021,1969," Sep Average"," Indonesia"," IDN"
"106",26.015,1969," Oct Average"," Indonesia"," IDN"
"107",26.0904,1969," Nov Average"," Indonesia"," IDN"
"108",25.7598,1969," Dec Average"," Indonesia"," IDN"
"109",25.8956,1970," Jan Average"," Indonesia"," IDN"
"110",25.9265,1970," Feb Average"," Indonesia"," IDN"
"111",26.1694,1970," Mar Average"," Indonesia"," IDN"
"112",26.1885,1970," Apr Average"," Indonesia"," IDN"
"113",26.1271,1970," May Average"," Indonesia"," IDN"
"114",25.7935,1970," Jun Average"," Indonesia"," IDN"
"115",25.216,1970," Jul Average"," Indonesia"," IDN"
"116",25.33,1970," Aug Average"," Indonesia"," IDN"
"117",25.6458,1970," Sep Average"," Indonesia"," IDN"
"118",26.0633,1970," Oct Average"," Indonesia"," IDN"
"119",25.9197,1970," Nov Average"," Indonesia"," IDN"
"120",25.6614,1970," Dec Average"," Indonesia"," IDN"
"121",25.2633,1971," Jan Average"," Indonesia"," IDN"
"122",25.279,1971," Feb Average"," Indonesia"," IDN"
"123",25.5865,1971," Mar Average"," Indonesia"," IDN"
"124",26.0089,1971," Apr Average"," Indonesia"," IDN"
"125",26.0196,1971," May Average"," Indonesia"," IDN"
"126",25.4471,1971," Jun Average"," Indonesia"," IDN"
"127",25.1823,1971," Jul Average"," Indonesia"," IDN"
"128",25.1862,1971," Aug Average"," Indonesia"," IDN"
"129",25.8472,1971," Sep Average"," Indonesia"," IDN"
"130",25.8907,1971," Oct Average"," Indonesia"," IDN"
"131",25.5844,1971," Nov Average"," Indonesia"," IDN"
"132",25.6795,1971," Dec Average"," Indonesia"," IDN"
"133",25.1414,1972," Jan Average"," Indonesia"," IDN"
"134",25.6906,1972," Feb Average"," Indonesia"," IDN"
"135",25.531,1972," Mar Average"," Indonesia"," IDN"
"136",25.8538,1972," Apr Average"," Indonesia"," IDN"
"137",26.0355,1972," May Average"," Indonesia"," IDN"
"138",25.6443,1972," Jun Average"," Indonesia"," IDN"
"139",25.6932,1972," Jul Average"," Indonesia"," IDN"
"140",25.5893,1972," Aug Average"," Indonesia"," IDN"
"141",25.7133,1972," Sep Average"," Indonesia"," IDN"
"142",26.235,1972," Oct Average"," Indonesia"," IDN"
