"","Temperature....Celsius.","Year","Statistics","Country","ISO3"
"1",17.5506,1961," Jan Average"," India"," IND"
"2",18.0161,1961," Feb Average"," India"," IND"
"3",24.4366,1961," Mar Average"," India"," IND"
"4",27.7383,1961," Apr Average"," India"," IND"
"5",29.8674,1961," May Average"," India"," IND"
"6",28.7364,1961," Jun Average"," India"," IND"
"7",26.6544,1961," Jul Average"," India"," IND"
"8",26.4048,1961," Aug Average"," India"," IND"
"9",25.8586,1961," Sep Average"," India"," IND"
"10",24.0431,1961," Oct Average"," India"," IND"
"11",19.8914,1961," Nov Average"," India"," IND"
"12",16.1946,1961," Dec Average"," India"," IND"
"13",15.8896,1962," Jan Average"," India"," IND"
"14",19.2871,1962," Feb Average"," India"," IND"
"15",23.2915,1962," Mar Average"," India"," IND"
"16",27.5722,1962," Apr Average"," India"," IND"
"17",29.6757,1962," May Average"," India"," IND"
"18",29.465,1962," Jun Average"," India"," IND"
"19",27.3009,1962," Jul Average"," India"," IND"
"20",26.3145,1962," Aug Average"," India"," IND"
"21",25.7634,1962," Sep Average"," India"," IND"
"22",23.8674,1962," Oct Average"," India"," IND"
"23",20.4659,1962," Nov Average"," India"," IND"
"24",17.3874,1962," Dec Average"," India"," IND"
"25",16.4235,1963," Jan Average"," India"," IND"
"26",19.9842,1963," Feb Average"," India"," IND"
"27",23.2749,1963," Mar Average"," India"," IND"
"28",26.6874,1963," Apr Average"," India"," IND"
"29",29.1314,1963," May Average"," India"," IND"
"30",28.9062,1963," Jun Average"," India"," IND"
"31",27.3485,1963," Jul Average"," India"," IND"
"32",26.2158,1963," Aug Average"," India"," IND"
"33",26.0511,1963," Sep Average"," India"," IND"
"34",24.8361,1963," Oct Average"," India"," IND"
"35",21.4075,1963," Nov Average"," India"," IND"
"36",17.8104,1963," Dec Average"," India"," IND"
"37",16.3115,1964," Jan Average"," India"," IND"
"38",19.349,1964," Feb Average"," India"," IND"
"39",24.7353,1964," Mar Average"," India"," IND"
"40",28.3064,1964," Apr Average"," India"," IND"
"41",29.5288,1964," May Average"," India"," IND"
"42",29.1793,1964," Jun Average"," India"," IND"
"43",26.5296,1964," Jul Average"," India"," IND"
"44",26.234,1964," Aug Average"," India"," IND"
"45",25.8807,1964," Sep Average"," India"," IND"
"46",24.6707,1964," Oct Average"," India"," IND"
"47",20.1125,1964," Nov Average"," India"," IND"
"48",17.313,1964," Dec Average"," India"," IND"
"49",17.797,1965," Jan Average"," India"," IND"
"50",19.1494,1965," Feb Average"," India"," IND"
"51",22.9229,1965," Mar Average"," India"," IND"
"52",26.5548,1965," Apr Average"," India"," IND"
"53",29.6577,1965," May Average"," India"," IND"
"54",29.7863,1965," Jun Average"," India"," IND"
"55",26.9696,1965," Jul Average"," India"," IND"
"56",26.3588,1965," Aug Average"," India"," IND"
"57",26.067,1965," Sep Average"," India"," IND"
"58",25.0315,1965," Oct Average"," India"," IND"
"59",21.3274,1965," Nov Average"," India"," IND"
"60",17.5754,1965," Dec Average"," India"," IND"
"61",17.4375,1966," Jan Average"," India"," IND"
"62",20.7818,1966," Feb Average"," India"," IND"
"63",23.68,1966," Mar Average"," India"," IND"
"64",27.7211,1966," Apr Average"," India"," IND"
"65",29.9934,1966," May Average"," India"," IND"
"66",29.1927,1966," Jun Average"," India"," IND"
"67",27.7501,1966," Jul Average"," India"," IND"
"68",26.4905,1966," Aug Average"," India"," IND"
"69",26.02,1966," Sep Average"," India"," IND"
"70",24.7671,1966," Oct Average"," India"," IND"
"71",21.3311,1966," Nov Average"," India"," IND"
"72",17.1643,1966," Dec Average"," India"," IND"
"73",16.5412,1967," Jan Average"," India"," IND"
"74",20.2321,1967," Feb Average"," India"," IND"
"75",22.6945,1967," Mar Average"," India"," IND"
"76",26.9448,1967," Apr Average"," India"," IND"
"77",29.8047,1967," May Average"," India"," IND"
"78",29.4837,1967," Jun Average"," India"," IND"
"79",27.0905,1967," Jul Average"," India"," IND"
"80",26.0341,1967," Aug Average"," India"," IND"
"81",25.7858,1967," Sep Average"," India"," IND"
"82",24.2369,1967," Oct Average"," India"," IND"
"83",20.4051,1967," Nov Average"," India"," IND"
"84",18.0765,1967," Dec Average"," India"," IND"
"85",16.1942,1968," Jan Average"," India"," IND"
"86",18.1868,1968," Feb Average"," India"," IND"
"87",23.3135,1968," Mar Average"," India"," IND"
"88",26.8662,1968," Apr Average"," India"," IND"
"89",29.319,1968," May Average"," India"," IND"
"90",29.2352,1968," Jun Average"," India"," IND"
"91",27.017,1968," Jul Average"," India"," IND"
"92",26.3897,1968," Aug Average"," India"," IND"
"93",26.6949,1968," Sep Average"," India"," IND"
"94",24.207,1968," Oct Average"," India"," IND"
"95",20.8071,1968," Nov Average"," India"," IND"
"96",17.7401,1968," Dec Average"," India"," IND"
"97",16.9204,1969," Jan Average"," India"," IND"
"98",19.7826,1969," Feb Average"," India"," IND"
"99",25.1796,1969," Mar Average"," India"," IND"
"100",27.9954,1969," Apr Average"," India"," IND"
"101",29.4931,1969," May Average"," India"," IND"
"102",29.6878,1969," Jun Average"," India"," IND"
"103",27.085,1969," Jul Average"," India"," IND"
"104",26.2723,1969," Aug Average"," India"," IND"
"105",25.9909,1969," Sep Average"," India"," IND"
"106",24.894,1969," Oct Average"," India"," IND"
"107",21.8238,1969," Nov Average"," India"," IND"
"108",17.8913,1969," Dec Average"," India"," IND"
"109",17.2352,1970," Jan Average"," India"," IND"
"110",19.3393,1970," Feb Average"," India"," IND"
"111",23.5005,1970," Mar Average"," India"," IND"
