"","Temperature....Celsius.","Year","Statistics","Country","ISO3"
"1",3.49812,1961," Jan Average"," Italy"," ITA"
"2",5.86485,1961," Feb Average"," Italy"," ITA"
"3",8.0356,1961," Mar Average"," Italy"," ITA"
"4",12.2504,1961," Apr Average"," Italy"," ITA"
"5",13.7478,1961," May Average"," Italy"," ITA"
"6",18.3645,1961," Jun Average"," Italy"," ITA"
"7",19.7505,1961," Jul Average"," Italy"," ITA"
"8",20.3101,1961," Aug Average"," Italy"," ITA"
"9",19.11,1961," Sep Average"," Italy"," ITA"
"10",13.7392,1961," Oct Average"," Italy"," ITA"
"11",9.00414,1961," Nov Average"," Italy"," ITA"
"12",4.74976,1961," Dec Average"," Italy"," ITA"
"13",4.6976,1962," Jan Average"," Italy"," ITA"
"14",3.62557,1962," Feb Average"," Italy"," ITA"
"15",5.01237,1962," Mar Average"," Italy"," ITA"
"16",9.98213,1962," Apr Average"," Italy"," ITA"
"17",13.3113,1962," May Average"," Italy"," ITA"
"18",17.0394,1962," Jun Average"," Italy"," ITA"
"19",19.9188,1962," Jul Average"," Italy"," ITA"
"20",21.7163,1962," Aug Average"," Italy"," ITA"
"21",17.8226,1962," Sep Average"," Italy"," ITA"
"22",13.4865,1962," Oct Average"," Italy"," ITA"
"23",7.8217,1962," Nov Average"," Italy"," ITA"
"24",2.5958,1962," Dec Average"," Italy"," ITA"
"25",0.99969,1963," Jan Average"," Italy"," ITA"
"26",1.93367,1963," Feb Average"," Italy"," ITA"
"27",5.69461,1963," Mar Average"," Italy"," ITA"
"28",10.4783,1963," Apr Average"," Italy"," ITA"
"29",13.7624,1963," May Average"," Italy"," ITA"
"30",17.64,1963," Jun Average"," Italy"," ITA"
"31",21.2324,1963," Jul Average"," Italy"," ITA"
"32",20.1004,1963," Aug Average"," Italy"," ITA"
"33",17.4484,1963," Sep Average"," Italy"," ITA"
"34",12.3568,1963," Oct Average"," Italy"," ITA"
"35",10.8334,1963," Nov Average"," Italy"," ITA"
"36",4.29633,1963," Dec Average"," Italy"," ITA"
"37",1.85827,1964," Jan Average"," Italy"," ITA"
"38",4.46818,1964," Feb Average"," Italy"," ITA"
"39",6.69036,1964," Mar Average"," Italy"," ITA"
"40",10.4446,1964," Apr Average"," Italy"," ITA"
"41",14.8893,1964," May Average"," Italy"," ITA"
"42",19.1567,1964," Jun Average"," Italy"," ITA"
"43",20.7996,1964," Jul Average"," Italy"," ITA"
"44",19.8528,1964," Aug Average"," Italy"," ITA"
"45",17.1363,1964," Sep Average"," Italy"," ITA"
"46",12.3797,1964," Oct Average"," Italy"," ITA"
"47",8.8649,1964," Nov Average"," Italy"," ITA"
"48",4.75012,1964," Dec Average"," Italy"," ITA"
"49",4.02291,1965," Jan Average"," Italy"," ITA"
"50",1.62555,1965," Feb Average"," Italy"," ITA"
"51",6.43984,1965," Mar Average"," Italy"," ITA"
"52",8.82988,1965," Apr Average"," Italy"," ITA"
"53",13.2464,1965," May Average"," Italy"," ITA"
"54",17.747,1965," Jun Average"," Italy"," ITA"
"55",20.0995,1965," Jul Average"," Italy"," ITA"
"56",19.1962,1965," Aug Average"," Italy"," ITA"
"57",16.0702,1965," Sep Average"," Italy"," ITA"
"58",12.7507,1965," Oct Average"," Italy"," ITA"
"59",8.69898,1965," Nov Average"," Italy"," ITA"
"60",5.46951,1965," Dec Average"," Italy"," ITA"
"61",2.14029,1966," Jan Average"," Italy"," ITA"
"62",7.39807,1966," Feb Average"," Italy"," ITA"
"63",6.40368,1966," Mar Average"," Italy"," ITA"
"64",11.2073,1966," Apr Average"," Italy"," ITA"
"65",14.2908,1966," May Average"," Italy"," ITA"
"66",18.651,1966," Jun Average"," Italy"," ITA"
"67",19.2644,1966," Jul Average"," Italy"," ITA"
"68",19.4778,1966," Aug Average"," Italy"," ITA"
"69",17.6423,1966," Sep Average"," Italy"," ITA"
"70",14.8302,1966," Oct Average"," Italy"," ITA"
"71",6.65239,1966," Nov Average"," Italy"," ITA"
"72",4.15977,1966," Dec Average"," Italy"," ITA"
"73",2.61966,1967," Jan Average"," Italy"," ITA"
"74",4.4473,1967," Feb Average"," Italy"," ITA"
"75",7.74259,1967," Mar Average"," Italy"," ITA"
"76",9.33609,1967," Apr Average"," Italy"," ITA"
"77",14.2246,1967," May Average"," Italy"," ITA"
"78",16.6528,1967," Jun Average"," Italy"," ITA"
"79",21.322,1967," Jul Average"," Italy"," ITA"
"80",20.7357,1967," Aug Average"," Italy"," ITA"
"81",17.0908,1967," Sep Average"," Italy"," ITA"
"82",14.121,1967," Oct Average"," Italy"," ITA"
"83",9.41159,1967," Nov Average"," Italy"," ITA"
"84",3.99006,1967," Dec Average"," Italy"," ITA"
"85",2.06576,1968," Jan Average"," Italy"," ITA"
"86",5.64003,1968," Feb Average"," Italy"," ITA"
"87",7.02948,1968," Mar Average"," Italy"," ITA"
"88",11.2344,1968," Apr Average"," Italy"," ITA"
"89",14.34,1968," May Average"," Italy"," ITA"
"90",17.299,1968," Jun Average"," Italy"," ITA"
"91",20.1116,1968," Jul Average"," Italy"," ITA"
"92",18.6249,1968," Aug Average"," Italy"," ITA"
"93",16.6422,1968," Sep Average"," Italy"," ITA"
"94",13.254,1968," Oct Average"," Italy"," ITA"
"95",8.79846,1968," Nov Average"," Italy"," ITA"
"96",4.01589,1968," Dec Average"," Italy"," ITA"
"97",3.4154,1969," Jan Average"," Italy"," ITA"
"98",3.55494,1969," Feb Average"," Italy"," ITA"
"99",6.6336,1969," Mar Average"," Italy"," ITA"
"100",9.45353,1969," Apr Average"," Italy"," ITA"
"101",15.3712,1969," May Average"," Italy"," ITA"
"102",16.3941,1969," Jun Average"," Italy"," ITA"
"103",19.8809,1969," Jul Average"," Italy"," ITA"
"104",19.6988,1969," Aug Average"," Italy"," ITA"
"105",17.4573,1969," Sep Average"," Italy"," ITA"
"106",13.4598,1969," Oct Average"," Italy"," ITA"
"107",9.39313,1969," Nov Average"," Italy"," ITA"
"108",2.5983,1969," Dec Average"," Italy"," ITA"
"109",4.79661,1970," Jan Average"," Italy"," ITA"
"110",4.3598,1970," Feb Average"," Italy"," ITA"
"111",5.58432,1970," Mar Average"," Italy"," ITA"
"112",9.04692,1970," Apr Average"," Italy"," ITA"
"113",12.4543,1970," May Average"," Italy"," ITA"
"114",18.5585,1970," Jun Average"," Italy"," ITA"
"115",19.8936,1970," Jul Average"," Italy"," ITA"
"116",20.4125,1970," Aug Average"," Italy"," ITA"
"117",18.0209,1970," Sep Average"," Italy"," ITA"
"118",12.0893,1970," Oct Average"," Italy"," ITA"
"119",9.18488,1970," Nov Average"," Italy"," ITA"
"120",4.2631,1970," Dec Average"," Italy"," ITA"
"121",4.21723,1971," Jan Average"," Italy"," ITA"
"122",4.39386,1971," Feb Average"," Italy"," ITA"
"123",4.33121,1971," Mar Average"," Italy"," ITA"
"124",11.058,1971," Apr Average"," Italy"," ITA"
"125",14.7473,1971," May Average"," Italy"," ITA"
"126",16.869,1971," Jun Average"," Italy"," ITA"
"127",20.7956,1971," Jul Average"," Italy"," ITA"
"128",22.2144,1971," Aug Average"," Italy"," ITA"
"129",16.1608,1971," Sep Average"," Italy"," ITA"
"130",12.1271,1971," Oct Average"," Italy"," ITA"
"131",7.77804,1971," Nov Average"," Italy"," ITA"
"132",4.538,1971," Dec Average"," Italy"," ITA"
"133",4.43646,1972," Jan Average"," Italy"," ITA"
"134",6.5411,1972," Feb Average"," Italy"," ITA"
"135",8.45249,1972," Mar Average"," Italy"," ITA"
"136",9.86165,1972," Apr Average"," Italy"," ITA"
"137",13.3005,1972," May Average"," Italy"," ITA"
"138",17.6068,1972," Jun Average"," Italy"," ITA"
"139",19.7974,1972," Jul Average"," Italy"," ITA"
"140",19.3105,1972," Aug Average"," Italy"," ITA"
"141",14.8456,1972," Sep Average"," Italy"," ITA"
"142",11.0646,1972," Oct Average"," Italy"," ITA"
"143",8.35847,1972," Nov Average"," Italy"," ITA"
"144",5.0786,1972," Dec Average"," Italy"," ITA"
"145",4.20134,1973," Jan Average"," Italy"," ITA"
"146",4.03336,1973," Feb Average"," Italy"," ITA"
"147",5.6638,1973," Mar Average"," Italy"," ITA"
"148",8.03563,1973," Apr Average"," Italy"," ITA"
"149",14.5381,1973," May Average"," Italy"," ITA"
"150",18.3679,1973," Jun Average"," Italy"," ITA"
"151",20.5044,1973," Jul Average"," Italy"," ITA"
"152",21.005,1973," Aug Average"," Italy"," ITA"
"153",18.3819,1973," Sep Average"," Italy"," ITA"
"154",12.7582,1973," Oct Average"," Italy"," ITA"
"155",7.41597,1973," Nov Average"," Italy"," ITA"
"156",4.28517,1973," Dec Average"," Italy"," ITA"
"157",5.51647,1974," Jan Average"," Italy"," ITA"
"158",6.34312,1974," Feb Average"," Italy"," ITA"
"159",7.70099,1974," Mar Average"," Italy"," ITA"
"160",9.33156,1974," Apr Average"," Italy"," ITA"
"161",13.4638,1974," May Average"," Italy"," ITA"
"162",17.0846,1974," Jun Average"," Italy"," ITA"
"163",20.1041,1974," Jul Average"," Italy"," ITA"
"164",21.2247,1974," Aug Average"," Italy"," ITA"
"165",17.3022,1974," Sep Average"," Italy"," ITA"
"166",9.64013,1974," Oct Average"," Italy"," ITA"
"167",7.58094,1974," Nov Average"," Italy"," ITA"
"168",4.88341,1974," Dec Average"," Italy"," ITA"
"169",4.66785,1975," Jan Average"," Italy"," ITA"
"170",4.51185,1975," Feb Average"," Italy"," ITA"
"171",6.70823,1975," Mar Average"," Italy"," ITA"
"172",9.85425,1975," Apr Average"," Italy"," ITA"
"173",14.1409,1975," May Average"," Italy"," ITA"
"174",16.8409,1975," Jun Average"," Italy"," ITA"
"175",20.45,1975," Jul Average"," Italy"," ITA"
"176",20.1227,1975," Aug Average"," Italy"," ITA"
"177",18.7786,1975," Sep Average"," Italy"," ITA"
"178",12.2208,1975," Oct Average"," Italy"," ITA"
"179",7.64319,1975," Nov Average"," Italy"," ITA"
"180",4.76046,1975," Dec Average"," Italy"," ITA"
"181",3.51862,1976," Jan Average"," Italy"," ITA"
"182",5.3009,1976," Feb Average"," Italy"," ITA"
"183",5.60585,1976," Mar Average"," Italy"," ITA"
"184",9.46419,1976," Apr Average"," Italy"," ITA"
"185",14.3847,1976," May Average"," Italy"," ITA"
"186",18.5092,1976," Jun Average"," Italy"," ITA"
"187",20.5387,1976," Jul Average"," Italy"," ITA"
"188",18.1423,1976," Aug Average"," Italy"," ITA"
"189",15.4491,1976," Sep Average"," Italy"," ITA"
"190",13.1836,1976," Oct Average"," Italy"," ITA"
"191",8.08674,1976," Nov Average"," Italy"," ITA"
"192",4.78212,1976," Dec Average"," Italy"," ITA"
"193",4.78834,1977," Jan Average"," Italy"," ITA"
"194",6.61331,1977," Feb Average"," Italy"," ITA"
"195",8.53861,1977," Mar Average"," Italy"," ITA"
"196",9.30509,1977," Apr Average"," Italy"," ITA"
"197",13.822,1977," May Average"," Italy"," ITA"
"198",17.2449,1977," Jun Average"," Italy"," ITA"
"199",20.2116,1977," Jul Average"," Italy"," ITA"
"200",19.2699,1977," Aug Average"," Italy"," ITA"
"201",15.8618,1977," Sep Average"," Italy"," ITA"
"202",13.5421,1977," Oct Average"," Italy"," ITA"
"203",8.39595,1977," Nov Average"," Italy"," ITA"
"204",4.47835,1977," Dec Average"," Italy"," ITA"
"205",3.9896,1978," Jan Average"," Italy"," ITA"
"206",4.29303,1978," Feb Average"," Italy"," ITA"
"207",7.18678,1978," Mar Average"," Italy"," ITA"
"208",8.82299,1978," Apr Average"," Italy"," ITA"
"209",12.6861,1978," May Average"," Italy"," ITA"
"210",17.3245,1978," Jun Average"," Italy"," ITA"
"211",19.2988,1978," Jul Average"," Italy"," ITA"
"212",19.5062,1978," Aug Average"," Italy"," ITA"
"213",16.5781,1978," Sep Average"," Italy"," ITA"
"214",12.2585,1978," Oct Average"," Italy"," ITA"
"215",6.36981,1978," Nov Average"," Italy"," ITA"
"216",5.52706,1978," Dec Average"," Italy"," ITA"
"217",2.47147,1979," Jan Average"," Italy"," ITA"
"218",5.4536,1979," Feb Average"," Italy"," ITA"
"219",7.6614,1979," Mar Average"," Italy"," ITA"
"220",8.73808,1979," Apr Average"," Italy"," ITA"
"221",14.3618,1979," May Average"," Italy"," ITA"
"222",18.9751,1979," Jun Average"," Italy"," ITA"
"223",20.1819,1979," Jul Average"," Italy"," ITA"
"224",19.7017,1979," Aug Average"," Italy"," ITA"
"225",16.9954,1979," Sep Average"," Italy"," ITA"
"226",13.4565,1979," Oct Average"," Italy"," ITA"
"227",7.61218,1979," Nov Average"," Italy"," ITA"
"228",5.86998,1979," Dec Average"," Italy"," ITA"
"229",3.18231,1980," Jan Average"," Italy"," ITA"
"230",5.25959,1980," Feb Average"," Italy"," ITA"
"231",6.85683,1980," Mar Average"," Italy"," ITA"
"232",8.22255,1980," Apr Average"," Italy"," ITA"
"233",12.1708,1980," May Average"," Italy"," ITA"
"234",16.5712,1980," Jun Average"," Italy"," ITA"
"235",18.8625,1980," Jul Average"," Italy"," ITA"
"236",21.0588,1980," Aug Average"," Italy"," ITA"
"237",17.9542,1980," Sep Average"," Italy"," ITA"
"238",12.5976,1980," Oct Average"," Italy"," ITA"
"239",7.77106,1980," Nov Average"," Italy"," ITA"
"240",3.06914,1980," Dec Average"," Italy"," ITA"
"241",1.70726,1981," Jan Average"," Italy"," ITA"
"242",3.12936,1981," Feb Average"," Italy"," ITA"
"243",8.26673,1981," Mar Average"," Italy"," ITA"
"244",10.8487,1981," Apr Average"," Italy"," ITA"
"245",13.7659,1981," May Average"," Italy"," ITA"
"246",18.4541,1981," Jun Average"," Italy"," ITA"
"247",19.4005,1981," Jul Average"," Italy"," ITA"
"248",20.352,1981," Aug Average"," Italy"," ITA"
"249",17.7617,1981," Sep Average"," Italy"," ITA"
"250",13.4391,1981," Oct Average"," Italy"," ITA"
"251",6.61353,1981," Nov Average"," Italy"," ITA"
"252",4.94986,1981," Dec Average"," Italy"," ITA"
"253",4.42538,1982," Jan Average"," Italy"," ITA"
"254",3.51552,1982," Feb Average"," Italy"," ITA"
"255",6.08484,1982," Mar Average"," Italy"," ITA"
"256",9.65596,1982," Apr Average"," Italy"," ITA"
"257",14.5284,1982," May Average"," Italy"," ITA"
"258",19.448,1982," Jun Average"," Italy"," ITA"
"259",21.8611,1982," Jul Average"," Italy"," ITA"
"260",20.6846,1982," Aug Average"," Italy"," ITA"
"261",19.3041,1982," Sep Average"," Italy"," ITA"
"262",13.4555,1982," Oct Average"," Italy"," ITA"
"263",9.18206,1982," Nov Average"," Italy"," ITA"
"264",5.74992,1982," Dec Average"," Italy"," ITA"
"265",4.18856,1983," Jan Average"," Italy"," ITA"
