"","Temperature....Celsius.","Year","Statistics","Country","ISO3"
"1",-2.3867,1961," Jan Average"," Japan"," JPN"
"2",-1.2917,1961," Feb Average"," Japan"," JPN"
"3",3.11604,1961," Mar Average"," Japan"," JPN"
"4",9.55502,1961," Apr Average"," Japan"," JPN"
"5",14.5514,1961," May Average"," Japan"," JPN"
"6",18.2455,1961," Jun Average"," Japan"," JPN"
"7",23.287,1961," Jul Average"," Japan"," JPN"
"8",23.4603,1961," Aug Average"," Japan"," JPN"
"9",21.1096,1961," Sep Average"," Japan"," JPN"
"10",14.3174,1961," Oct Average"," Japan"," JPN"
"11",8.0422,1961," Nov Average"," Japan"," JPN"
"12",2.22907,1961," Dec Average"," Japan"," JPN"
"13",-1.016,1962," Jan Average"," Japan"," JPN"
"14",-0.3614,1962," Feb Average"," Japan"," JPN"
"15",2.5174,1962," Mar Average"," Japan"," JPN"
"16",9.15273,1962," Apr Average"," Japan"," JPN"
"17",13.9337,1962," May Average"," Japan"," JPN"
"18",17.1216,1962," Jun Average"," Japan"," JPN"
"19",21.8209,1962," Jul Average"," Japan"," JPN"
"20",23.1097,1962," Aug Average"," Japan"," JPN"
"21",19.6474,1962," Sep Average"," Japan"," JPN"
"22",12.3903,1962," Oct Average"," Japan"," JPN"
"23",6.75343,1962," Nov Average"," Japan"," JPN"
"24",2.36564,1962," Dec Average"," Japan"," JPN"
"25",-2.4622,1963," Jan Average"," Japan"," JPN"
"26",-1.4596,1963," Feb Average"," Japan"," JPN"
"27",2.63411,1963," Mar Average"," Japan"," JPN"
"28",9.22808,1963," Apr Average"," Japan"," JPN"
"29",14.3374,1963," May Average"," Japan"," JPN"
"30",17.8553,1963," Jun Average"," Japan"," JPN"
"31",21.9444,1963," Jul Average"," Japan"," JPN"
"32",22.5076,1963," Aug Average"," Japan"," JPN"
"33",17.7146,1963," Sep Average"," Japan"," JPN"
"34",12.3953,1963," Oct Average"," Japan"," JPN"
"35",7.37301,1963," Nov Average"," Japan"," JPN"
"36",2.82775,1963," Dec Average"," Japan"," JPN"
"37",0.05381,1964," Jan Average"," Japan"," JPN"
"38",-2.0327,1964," Feb Average"," Japan"," JPN"
"39",2.45918,1964," Mar Average"," Japan"," JPN"
"40",10.4406,1964," Apr Average"," Japan"," JPN"
"41",14.3255,1964," May Average"," Japan"," JPN"
"42",17.1355,1964," Jun Average"," Japan"," JPN"
"43",21.7172,1964," Jul Average"," Japan"," JPN"
"44",23.493,1964," Aug Average"," Japan"," JPN"
"45",18.5976,1964," Sep Average"," Japan"," JPN"
"46",12.4605,1964," Oct Average"," Japan"," JPN"
"47",6.798,1964," Nov Average"," Japan"," JPN"
"48",2.02314,1964," Dec Average"," Japan"," JPN"
"49",-0.7036,1965," Jan Average"," Japan"," JPN"
"50",-0.915,1965," Feb Average"," Japan"," JPN"
"51",1.19721,1965," Mar Average"," Japan"," JPN"
"52",6.71313,1965," Apr Average"," Japan"," JPN"
"53",13.4678,1965," May Average"," Japan"," JPN"
"54",17.5157,1965," Jun Average"," Japan"," JPN"
"55",20.6487,1965," Jul Average"," Japan"," JPN"
"56",22.8552,1965," Aug Average"," Japan"," JPN"
"57",18.1278,1965," Sep Average"," Japan"," JPN"
"58",12.3885,1965," Oct Average"," Japan"," JPN"
"59",7.5314,1965," Nov Average"," Japan"," JPN"
"60",1.48916,1965," Dec Average"," Japan"," JPN"
"61",-1.3999,1966," Jan Average"," Japan"," JPN"
"62",0.61125,1966," Feb Average"," Japan"," JPN"
"63",3.98056,1966," Mar Average"," Japan"," JPN"
"64",8.48169,1966," Apr Average"," Japan"," JPN"
"65",13.1987,1966," May Average"," Japan"," JPN"
"66",16.7771,1966," Jun Average"," Japan"," JPN"
"67",20.7873,1966," Jul Average"," Japan"," JPN"
"68",23.1408,1966," Aug Average"," Japan"," JPN"
"69",18.6152,1966," Sep Average"," Japan"," JPN"
"70",13.7079,1966," Oct Average"," Japan"," JPN"
"71",7.2299,1966," Nov Average"," Japan"," JPN"
"72",0.10522,1966," Dec Average"," Japan"," JPN"
"73",-2.0304,1967," Jan Average"," Japan"," JPN"
"74",-1.1728,1967," Feb Average"," Japan"," JPN"
"75",3.4218,1967," Mar Average"," Japan"," JPN"
"76",9.04634,1967," Apr Average"," Japan"," JPN"
"77",14.8888,1967," May Average"," Japan"," JPN"
"78",18.1863,1967," Jun Average"," Japan"," JPN"
"79",22.1136,1967," Jul Average"," Japan"," JPN"
"80",23.7039,1967," Aug Average"," Japan"," JPN"
"81",18.8604,1967," Sep Average"," Japan"," JPN"
"82",12.5947,1967," Oct Average"," Japan"," JPN"
"83",6.78476,1967," Nov Average"," Japan"," JPN"
"84",0.42087,1967," Dec Average"," Japan"," JPN"
"85",-0.9681,1968," Jan Average"," Japan"," JPN"
"86",-2.4111,1968," Feb Average"," Japan"," JPN"
"87",3.74219,1968," Mar Average"," Japan"," JPN"
"88",8.98945,1968," Apr Average"," Japan"," JPN"
"89",13.0142,1968," May Average"," Japan"," JPN"
"90",17.6433,1968," Jun Average"," Japan"," JPN"
"91",21.4164,1968," Jul Average"," Japan"," JPN"
"92",22.3416,1968," Aug Average"," Japan"," JPN"
