"","Temperature....Celsius.","Year","Statistics","Country","ISO3"
"1",-4.6735,1961," Jan Average"," Korea  Republic of"," KOR"
"2",-1.2405,1961," Feb Average"," Korea  Republic of"," KOR"
"3",4.88025,1961," Mar Average"," Korea  Republic of"," KOR"
"4",10.8268,1961," Apr Average"," Korea  Republic of"," KOR"
"5",15.8191,1961," May Average"," Korea  Republic of"," KOR"
"6",20.2925,1961," Jun Average"," Korea  Republic of"," KOR"
"7",25.2005,1961," Jul Average"," Korea  Republic of"," KOR"
"8",24.9022,1961," Aug Average"," Korea  Republic of"," KOR"
"9",20.1292,1961," Sep Average"," Korea  Republic of"," KOR"
"10",14.252,1961," Oct Average"," Korea  Republic of"," KOR"
"11",7.61993,1961," Nov Average"," Korea  Republic of"," KOR"
"12",-0.441,1961," Dec Average"," Korea  Republic of"," KOR"
"13",-3.6245,1962," Jan Average"," Korea  Republic of"," KOR"
"14",-0.5344,1962," Feb Average"," Korea  Republic of"," KOR"
"15",3.2707,1962," Mar Average"," Korea  Republic of"," KOR"
"16",9.29581,1962," Apr Average"," Korea  Republic of"," KOR"
"17",16.2023,1962," May Average"," Korea  Republic of"," KOR"
"18",19.5385,1962," Jun Average"," Korea  Republic of"," KOR"
"19",23.8155,1962," Jul Average"," Korea  Republic of"," KOR"
"20",23.7483,1962," Aug Average"," Korea  Republic of"," KOR"
"21",18.6713,1962," Sep Average"," Korea  Republic of"," KOR"
"22",12.1305,1962," Oct Average"," Korea  Republic of"," KOR"
"23",5.23422,1962," Nov Average"," Korea  Republic of"," KOR"
"24",0.83264,1962," Dec Average"," Korea  Republic of"," KOR"
"25",-7.7691,1963," Jan Average"," Korea  Republic of"," KOR"
"26",-2.7462,1963," Feb Average"," Korea  Republic of"," KOR"
"27",4.17734,1963," Mar Average"," Korea  Republic of"," KOR"
"28",9.65245,1963," Apr Average"," Korea  Republic of"," KOR"
"29",15.1049,1963," May Average"," Korea  Republic of"," KOR"
"30",18.6408,1963," Jun Average"," Korea  Republic of"," KOR"
"31",23.4036,1963," Jul Average"," Korea  Republic of"," KOR"
"32",23.8115,1963," Aug Average"," Korea  Republic of"," KOR"
