"","Temperature....Celsius.","Year","Statistics","Country","ISO3"
"1",14.3094,1961," Jan Average"," Mexico"," MEX"
"2",16.199,1961," Feb Average"," Mexico"," MEX"
"3",18.7395,1961," Mar Average"," Mexico"," MEX"
"4",21.4639,1961," Apr Average"," Mexico"," MEX"
"5",24.0846,1961," May Average"," Mexico"," MEX"
"6",24.9117,1961," Jun Average"," Mexico"," MEX"
"7",24.4703,1961," Jul Average"," Mexico"," MEX"
"8",24.5296,1961," Aug Average"," Mexico"," MEX"
"9",23.5743,1961," Sep Average"," Mexico"," MEX"
"10",21.0586,1961," Oct Average"," Mexico"," MEX"
"11",16.8809,1961," Nov Average"," Mexico"," MEX"
"12",15.6813,1961," Dec Average"," Mexico"," MEX"
"13",14.0428,1962," Jan Average"," Mexico"," MEX"
"14",18.0539,1962," Feb Average"," Mexico"," MEX"
"15",17.3911,1962," Mar Average"," Mexico"," MEX"
"16",21.3964,1962," Apr Average"," Mexico"," MEX"
"17",23.551,1962," May Average"," Mexico"," MEX"
"18",24.7889,1962," Jun Average"," Mexico"," MEX"
"19",25.3495,1962," Jul Average"," Mexico"," MEX"
"20",25.7459,1962," Aug Average"," Mexico"," MEX"
"21",24.1226,1962," Sep Average"," Mexico"," MEX"
"22",22.1019,1962," Oct Average"," Mexico"," MEX"
"23",18.1399,1962," Nov Average"," Mexico"," MEX"
"24",15.3724,1962," Dec Average"," Mexico"," MEX"
"25",14.5536,1963," Jan Average"," Mexico"," MEX"
"26",16.25,1963," Feb Average"," Mexico"," MEX"
"27",19.1077,1963," Mar Average"," Mexico"," MEX"
"28",22.1845,1963," Apr Average"," Mexico"," MEX"
"29",23.7841,1963," May Average"," Mexico"," MEX"
"30",25.1331,1963," Jun Average"," Mexico"," MEX"
"31",25.1734,1963," Jul Average"," Mexico"," MEX"
"32",24.9131,1963," Aug Average"," Mexico"," MEX"
"33",23.8409,1963," Sep Average"," Mexico"," MEX"
"34",21.2049,1963," Oct Average"," Mexico"," MEX"
"35",17.8757,1963," Nov Average"," Mexico"," MEX"
"36",14.1807,1963," Dec Average"," Mexico"," MEX"
"37",14.0262,1964," Jan Average"," Mexico"," MEX"
"38",14.9671,1964," Feb Average"," Mexico"," MEX"
"39",18.0843,1964," Mar Average"," Mexico"," MEX"
"40",21.8881,1964," Apr Average"," Mexico"," MEX"
"41",23.503,1964," May Average"," Mexico"," MEX"
"42",24.4247,1964," Jun Average"," Mexico"," MEX"
"43",25.1988,1964," Jul Average"," Mexico"," MEX"
"44",25.1984,1964," Aug Average"," Mexico"," MEX"
"45",23.6763,1964," Sep Average"," Mexico"," MEX"
"46",20.5251,1964," Oct Average"," Mexico"," MEX"
"47",17.6433,1964," Nov Average"," Mexico"," MEX"
"48",15.1053,1964," Dec Average"," Mexico"," MEX"
"49",15.476,1965," Jan Average"," Mexico"," MEX"
"50",15.095,1965," Feb Average"," Mexico"," MEX"
"51",17.307,1965," Mar Average"," Mexico"," MEX"
"52",21.5141,1965," Apr Average"," Mexico"," MEX"
"53",23.2809,1965," May Average"," Mexico"," MEX"
"54",24.5633,1965," Jun Average"," Mexico"," MEX"
"55",25.0123,1965," Jul Average"," Mexico"," MEX"
"56",24.4015,1965," Aug Average"," Mexico"," MEX"
"57",23.7507,1965," Sep Average"," Mexico"," MEX"
"58",20.6662,1965," Oct Average"," Mexico"," MEX"
"59",19.207,1965," Nov Average"," Mexico"," MEX"
"60",15.8249,1965," Dec Average"," Mexico"," MEX"
"61",13.491,1966," Jan Average"," Mexico"," MEX"
"62",14.5478,1966," Feb Average"," Mexico"," MEX"
"63",17.7599,1966," Mar Average"," Mexico"," MEX"
"64",21.1964,1966," Apr Average"," Mexico"," MEX"
"65",23.376,1966," May Average"," Mexico"," MEX"
"66",24.5725,1966," Jun Average"," Mexico"," MEX"
"67",25.2183,1966," Jul Average"," Mexico"," MEX"
"68",24.5325,1966," Aug Average"," Mexico"," MEX"
"69",23.5459,1966," Sep Average"," Mexico"," MEX"
"70",20.4064,1966," Oct Average"," Mexico"," MEX"
"71",18.0002,1966," Nov Average"," Mexico"," MEX"
"72",14.7233,1966," Dec Average"," Mexico"," MEX"
"73",14.2734,1967," Jan Average"," Mexico"," MEX"
"74",16.0346,1967," Feb Average"," Mexico"," MEX"
"75",19.427,1967," Mar Average"," Mexico"," MEX"
"76",21.6511,1967," Apr Average"," Mexico"," MEX"
"77",23.4038,1967," May Average"," Mexico"," MEX"
"78",24.8117,1967," Jun Average"," Mexico"," MEX"
"79",25.1199,1967," Jul Average"," Mexico"," MEX"
"80",24.0799,1967," Aug Average"," Mexico"," MEX"
"81",22.6279,1967," Sep Average"," Mexico"," MEX"
"82",20.5015,1967," Oct Average"," Mexico"," MEX"
"83",18.1342,1967," Nov Average"," Mexico"," MEX"
"84",14.8959,1967," Dec Average"," Mexico"," MEX"
"85",14.7349,1968," Jan Average"," Mexico"," MEX"
"86",15.5529,1968," Feb Average"," Mexico"," MEX"
"87",16.7393,1968," Mar Average"," Mexico"," MEX"
"88",20.5826,1968," Apr Average"," Mexico"," MEX"
"89",23.481,1968," May Average"," Mexico"," MEX"
"90",24.6728,1968," Jun Average"," Mexico"," MEX"
"91",24.0981,1968," Jul Average"," Mexico"," MEX"
"92",24.0198,1968," Aug Average"," Mexico"," MEX"
"93",22.8604,1968," Sep Average"," Mexico"," MEX"
"94",21.4302,1968," Oct Average"," Mexico"," MEX"
"95",17.2637,1968," Nov Average"," Mexico"," MEX"
"96",15.1625,1968," Dec Average"," Mexico"," MEX"
"97",15.9704,1969," Jan Average"," Mexico"," MEX"
"98",16.5192,1969," Feb Average"," Mexico"," MEX"
"99",16.8497,1969," Mar Average"," Mexico"," MEX"
"100",21.6466,1969," Apr Average"," Mexico"," MEX"
"101",23.3282,1969," May Average"," Mexico"," MEX"
"102",25.2272,1969," Jun Average"," Mexico"," MEX"
"103",25.7037,1969," Jul Average"," Mexico"," MEX"
"104",25.2088,1969," Aug Average"," Mexico"," MEX"
"105",23.7696,1969," Sep Average"," Mexico"," MEX"
"106",21.2756,1969," Oct Average"," Mexico"," MEX"
"107",17.255,1969," Nov Average"," Mexico"," MEX"
"108",15.5487,1969," Dec Average"," Mexico"," MEX"
"109",14.1205,1970," Jan Average"," Mexico"," MEX"
"110",16.0018,1970," Feb Average"," Mexico"," MEX"
"111",17.5709,1970," Mar Average"," Mexico"," MEX"
"112",21.1874,1970," Apr Average"," Mexico"," MEX"
"113",22.6596,1970," May Average"," Mexico"," MEX"
"114",24.7227,1970," Jun Average"," Mexico"," MEX"
"115",24.9416,1970," Jul Average"," Mexico"," MEX"
"116",25.0854,1970," Aug Average"," Mexico"," MEX"
"117",23.1077,1970," Sep Average"," Mexico"," MEX"
"118",20.4537,1970," Oct Average"," Mexico"," MEX"
"119",16.971,1970," Nov Average"," Mexico"," MEX"
"120",16.5971,1970," Dec Average"," Mexico"," MEX"
"121",15.9394,1971," Jan Average"," Mexico"," MEX"
"122",16.4789,1971," Feb Average"," Mexico"," MEX"
