"X","Temperature....Celsius.","Year","Statistics","Country","ISO3"
1,-27.183,1961," Jan Average"," Russia"," RUS"
2,-22.6,1961," Feb Average"," Russia"," RUS"
3,-15.074,1961," Mar Average"," Russia"," RUS"
4,-7.2277,1961," Apr Average"," Russia"," RUS"
5,2.45741,1961," May Average"," Russia"," RUS"
6,10.6099,1961," Jun Average"," Russia"," RUS"
7,14.5858,1961," Jul Average"," Russia"," RUS"
8,11.6628,1961," Aug Average"," Russia"," RUS"
9,5.77884,1961," Sep Average"," Russia"," RUS"
10,-5.7358,1961," Oct Average"," Russia"," RUS"
11,-17.337,1961," Nov Average"," Russia"," RUS"
12,-24.696,1961," Dec Average"," Russia"," RUS"
13,-23.124,1962," Jan Average"," Russia"," RUS"
14,-21.011,1962," Feb Average"," Russia"," RUS"
15,-16.37,1962," Mar Average"," Russia"," RUS"
16,-5.1207,1962," Apr Average"," Russia"," RUS"
17,3.68899,1962," May Average"," Russia"," RUS"
18,10.124,1962," Jun Average"," Russia"," RUS"
19,15.0821,1962," Jul Average"," Russia"," RUS"
20,11.8004,1962," Aug Average"," Russia"," RUS"
21,5.37385,1962," Sep Average"," Russia"," RUS"
22,-5.5281,1962," Oct Average"," Russia"," RUS"
23,-18.038,1962," Nov Average"," Russia"," RUS"
24,-24.372,1962," Dec Average"," Russia"," RUS"
25,-25.314,1963," Jan Average"," Russia"," RUS"
26,-21.936,1963," Feb Average"," Russia"," RUS"
27,-18.714,1963," Mar Average"," Russia"," RUS"
28,-8.3531,1963," Apr Average"," Russia"," RUS"
29,2.18322,1963," May Average"," Russia"," RUS"
30,9.98705,1963," Jun Average"," Russia"," RUS"
31,14.6432,1963," Jul Average"," Russia"," RUS"
32,12.1414,1963," Aug Average"," Russia"," RUS"
33,5.51048,1963," Sep Average"," Russia"," RUS"
34,-4.2525,1963," Oct Average"," Russia"," RUS"
35,-16.095,1963," Nov Average"," Russia"," RUS"
36,-24.382,1963," Dec Average"," Russia"," RUS"
37,-26.766,1964," Jan Average"," Russia"," RUS"
