"","Temperature....Celsius.","Year","Statistics","Country","ISO3"
"1",16.2637,1961," Jan Average"," Saudi Arabia"," SAU"
"2",16.587,1961," Feb Average"," Saudi Arabia"," SAU"
"3",19.44,1961," Mar Average"," Saudi Arabia"," SAU"
"4",23.6216,1961," Apr Average"," Saudi Arabia"," SAU"
"5",28.7153,1961," May Average"," Saudi Arabia"," SAU"
"6",31.5536,1961," Jun Average"," Saudi Arabia"," SAU"
"7",31.8334,1961," Jul Average"," Saudi Arabia"," SAU"
"8",32.1182,1961," Aug Average"," Saudi Arabia"," SAU"
"9",28.7053,1961," Sep Average"," Saudi Arabia"," SAU"
"10",25.0382,1961," Oct Average"," Saudi Arabia"," SAU"
"11",20.0182,1961," Nov Average"," Saudi Arabia"," SAU"
"12",16.9377,1961," Dec Average"," Saudi Arabia"," SAU"
"13",15.5353,1962," Jan Average"," Saudi Arabia"," SAU"
"14",17.9664,1962," Feb Average"," Saudi Arabia"," SAU"
"15",21.8944,1962," Mar Average"," Saudi Arabia"," SAU"
"16",24.4054,1962," Apr Average"," Saudi Arabia"," SAU"
"17",29.0007,1962," May Average"," Saudi Arabia"," SAU"
"18",31.8386,1962," Jun Average"," Saudi Arabia"," SAU"
"19",32.3664,1962," Jul Average"," Saudi Arabia"," SAU"
"20",32.763,1962," Aug Average"," Saudi Arabia"," SAU"
"21",30.584,1962," Sep Average"," Saudi Arabia"," SAU"
"22",26.2971,1962," Oct Average"," Saudi Arabia"," SAU"
"23",21.8531,1962," Nov Average"," Saudi Arabia"," SAU"
"24",17.6877,1962," Dec Average"," Saudi Arabia"," SAU"
"25",17.4373,1963," Jan Average"," Saudi Arabia"," SAU"
"26",19.653,1963," Feb Average"," Saudi Arabia"," SAU"
"27",20.2792,1963," Mar Average"," Saudi Arabia"," SAU"
"28",24.9103,1963," Apr Average"," Saudi Arabia"," SAU"
"29",27.0874,1963," May Average"," Saudi Arabia"," SAU"
"30",31.6769,1963," Jun Average"," Saudi Arabia"," SAU"
"31",32.4855,1963," Jul Average"," Saudi Arabia"," SAU"
"32",32.5703,1963," Aug Average"," Saudi Arabia"," SAU"
"33",30.4156,1963," Sep Average"," Saudi Arabia"," SAU"
"34",26.8135,1963," Oct Average"," Saudi Arabia"," SAU"
"35",20.7536,1963," Nov Average"," Saudi Arabia"," SAU"
