"","Temperature....Celsius.","Year","Statistics","Country","ISO3"
"1",22.5465,1961," Jan Average"," South Africa"," ZAF"
"2",22.9144,1961," Feb Average"," South Africa"," ZAF"
"3",21.206,1961," Mar Average"," South Africa"," ZAF"
"4",17.9566,1961," Apr Average"," South Africa"," ZAF"
"5",13.6349,1961," May Average"," South Africa"," ZAF"
"6",11.9935,1961," Jun Average"," South Africa"," ZAF"
"7",11.9884,1961," Jul Average"," South Africa"," ZAF"
"8",12.2542,1961," Aug Average"," South Africa"," ZAF"
"9",16.6843,1961," Sep Average"," South Africa"," ZAF"
"10",17.6506,1961," Oct Average"," South Africa"," ZAF"
"11",20.6208,1961," Nov Average"," South Africa"," ZAF"
"12",21.354,1961," Dec Average"," South Africa"," ZAF"
"13",23.181,1962," Jan Average"," South Africa"," ZAF"
"14",22.4477,1962," Feb Average"," South Africa"," ZAF"
"15",21.1065,1962," Mar Average"," South Africa"," ZAF"
"16",17.349,1962," Apr Average"," South Africa"," ZAF"
"17",13.8609,1962," May Average"," South Africa"," ZAF"
"18",11.3258,1962," Jun Average"," South Africa"," ZAF"
"19",11.4587,1962," Jul Average"," South Africa"," ZAF"
"20",13.3631,1962," Aug Average"," South Africa"," ZAF"
"21",16.6041,1962," Sep Average"," South Africa"," ZAF"
"22",19.1471,1962," Oct Average"," South Africa"," ZAF"
"23",20.1172,1962," Nov Average"," South Africa"," ZAF"
"24",22.773,1962," Dec Average"," South Africa"," ZAF"
"25",22.5187,1963," Jan Average"," South Africa"," ZAF"
"26",22.6412,1963," Feb Average"," South Africa"," ZAF"
"27",20.2575,1963," Mar Average"," South Africa"," ZAF"
"28",16.7278,1963," Apr Average"," South Africa"," ZAF"
"29",13.4214,1963," May Average"," South Africa"," ZAF"
"30",10.9958,1963," Jun Average"," South Africa"," ZAF"
"31",10.0364,1963," Jul Average"," South Africa"," ZAF"
"32",12.6616,1963," Aug Average"," South Africa"," ZAF"
"33",17.9246,1963," Sep Average"," South Africa"," ZAF"
"34",19.3742,1963," Oct Average"," South Africa"," ZAF"
"35",20.9728,1963," Nov Average"," South Africa"," ZAF"
"36",22.6126,1963," Dec Average"," South Africa"," ZAF"
"37",23.2038,1964," Jan Average"," South Africa"," ZAF"
"38",22.995,1964," Feb Average"," South Africa"," ZAF"
"39",22.4728,1964," Mar Average"," South Africa"," ZAF"
"40",17.3876,1964," Apr Average"," South Africa"," ZAF"
"41",14.5388,1964," May Average"," South Africa"," ZAF"
"42",9.75095,1964," Jun Average"," South Africa"," ZAF"
"43",9.96877,1964," Jul Average"," South Africa"," ZAF"
"44",12.155,1964," Aug Average"," South Africa"," ZAF"
"45",15.5917,1964," Sep Average"," South Africa"," ZAF"
"46",17.9449,1964," Oct Average"," South Africa"," ZAF"
"47",19.8634,1964," Nov Average"," South Africa"," ZAF"
"48",21.7009,1964," Dec Average"," South Africa"," ZAF"
"49",23.0295,1965," Jan Average"," South Africa"," ZAF"
"50",23.0398,1965," Feb Average"," South Africa"," ZAF"
"51",21.2316,1965," Mar Average"," South Africa"," ZAF"
"52",17.3234,1965," Apr Average"," South Africa"," ZAF"
"53",13.9648,1965," May Average"," South Africa"," ZAF"
"54",9.3293,1965," Jun Average"," South Africa"," ZAF"
"55",11.1701,1965," Jul Average"," South Africa"," ZAF"
"56",13.991,1965," Aug Average"," South Africa"," ZAF"
"57",16.7271,1965," Sep Average"," South Africa"," ZAF"
"58",17.0734,1965," Oct Average"," South Africa"," ZAF"
"59",19.9959,1965," Nov Average"," South Africa"," ZAF"
"60",22.0533,1965," Dec Average"," South Africa"," ZAF"
"61",24.2403,1966," Jan Average"," South Africa"," ZAF"
"62",21.2736,1966," Feb Average"," South Africa"," ZAF"
"63",21.3813,1966," Mar Average"," South Africa"," ZAF"
"64",17.4055,1966," Apr Average"," South Africa"," ZAF"
"65",14.0489,1966," May Average"," South Africa"," ZAF"
"66",12.1812,1966," Jun Average"," South Africa"," ZAF"
"67",10.8808,1966," Jul Average"," South Africa"," ZAF"
"68",13.2682,1966," Aug Average"," South Africa"," ZAF"
"69",15.4852,1966," Sep Average"," South Africa"," ZAF"
"70",19.1118,1966," Oct Average"," South Africa"," ZAF"
"71",21.1096,1966," Nov Average"," South Africa"," ZAF"
"72",23.0523,1966," Dec Average"," South Africa"," ZAF"
"73",22.625,1967," Jan Average"," South Africa"," ZAF"
"74",22.1152,1967," Feb Average"," South Africa"," ZAF"
"75",20.4406,1967," Mar Average"," South Africa"," ZAF"
"76",16.5488,1967," Apr Average"," South Africa"," ZAF"
"77",14.0057,1967," May Average"," South Africa"," ZAF"
"78",10.6227,1967," Jun Average"," South Africa"," ZAF"
"79",9.54846,1967," Jul Average"," South Africa"," ZAF"
"80",12.7118,1967," Aug Average"," South Africa"," ZAF"
